A0471	艱難梭菌引起的小腸結腸炎，復發性
L89311	右臀部壓瘡，第 1 期
L89312	右臀部壓瘡，第 2 期
L89313	右臀部壓瘡，第 3 期
L89314	右臀部壓瘡，第 4 期
L89316	壓力引起的右臀部深部組織損傷
L89321	左臀部壓瘡，1期
L89322	左臀部壓瘡，2期
L89323	左臀部壓瘡，第 3 期
L89324	左臀部壓瘡，第 4 期
L89326	壓力性左臀部深部組織損傷
L8941	背部、臀部和臀部鄰近部位的壓瘡，第 1 期
L8942	背部、臀部和臀部相鄰部位的壓瘡，第 2 期
L8943	背部、臀部和臀部鄰近部位的壓瘡，第 3 期
L8944	背部、臀部和臀部鄰近部位的壓瘡，第 4 期
L8946	壓力引起的背部、臀部和臀部相鄰部位的深部組織損傷
L89501	未特指的腳踝壓瘡，第 1 期
L89502	未特指的腳踝壓瘡，第 2 期
L89503	未特指的腳踝壓瘡，第 3 期
L89504	未特指的腳踝壓瘡，第 4 期
L89506	未特指踝關節的壓力引起的深部組織損傷
L89511	右腳踝壓瘡，1期
L89512	右腳踝壓瘡，第 2 期
L89513	右腳踝壓瘡，第 3 期
L89514	右腳踝壓瘡，第 4 期
L89516	壓力性右腳踝深部組織損傷
L89521	左腳踝壓瘡，1期
L89522	左腳踝壓瘡，第 2 期
L89523	左腳踝壓瘡，第 3 期
L89524	左腳踝壓瘡，第 4 期
L89526	壓力性左腳踝深部組織損傷
L89601	未特指的足跟壓瘡，第 1 期
L89602	未特指的足跟壓瘡，第 2 期
L89603	不明足跟壓瘡，第 3 期
L89604	不明足跟壓瘡，第 4 期
L89606	未特指的足跟壓力引起的深部組織損傷
L89611	右腳跟壓瘡，1期
L89612	右腳跟壓瘡，2期
L89613	右腳跟壓瘡，第 3 期
L89614	右腳跟壓瘡，第 4 期
L89616	壓力引起的右腳跟深部組織損傷
L89621	左腳跟壓瘡，1期
L89622	左腳跟壓瘡，2期
L89623	左腳跟壓瘡，第 3 期
L89624	左腳跟壓瘡，第 4 期
L89626	壓力性左足跟深部組織損傷
L89811	頭部壓瘡，1期
L89812	頭部壓瘡，2期
L89813	頭部壓瘡，第 3 期
L89814	頭部壓瘡，第 4 期
L89816	壓力引起的頭部深部組織損傷
L89891	其他部位壓瘡，1期
L89892	其他部位壓瘡，2期
L89893	其他部位壓瘡，第 3 期
L89894	其他部位壓瘡，第 4 期
L89896	其他部位的壓力引起的深部組織損傷
L8991	未明確部位的壓瘡，第 1 期
L8992	未明確部位的壓瘡，第 2 期
L8993	未明確部位的壓瘡，第 3 期
L8994	未明確部位的壓瘡，第 4 期
L8996	未指定部位的壓力誘發的深部組織損傷
L97105	未特指的大腿非壓力性慢性潰瘍，肌肉受累，無壞死證據
L97106	未特指的大腿非壓力性慢性潰瘍伴骨受累，無壞死證據
L97108	具有其他指定嚴重程度的未指定大腿的非壓力性慢性潰瘍
L97115	右大腿非壓迫性慢性潰瘍，肌肉受累，無壞死跡象
L97116	右大腿非壓迫性慢性潰瘍伴骨受累，無壞死證據
L97118	其他特定嚴重程度的右大腿非壓迫性慢性潰瘍
L97125	左大腿非壓迫性慢性潰瘍，肌肉受累，無壞死跡象
L97126	左大腿非壓迫性慢性潰瘍伴骨受累，無壞死證據
L97128	其他特定嚴重程度的左大腿非壓迫性慢性潰瘍
L9720	未特指的小腿非壓迫性慢性潰瘍
L97205	未特指小腿肌肉受累無壞死證據的非壓力性慢性潰瘍
L97206	未特指小腿骨受累無壞死證據的非壓力性慢性潰瘍
L97208	具有其他指定嚴重程度的未指定小牛的非壓力性慢性潰瘍
L97215	右小腿非壓迫性慢性潰瘍，肌肉受累，無壞死證據
L97216	右小腿非壓力性慢性潰瘍伴骨受累，無壞死證據
L97218	其他特定嚴重程度的右小腿非壓力性慢性潰瘍
L97225	左小腿非壓迫性慢性潰瘍，肌肉受累，無壞死跡象
L97226	左小腿非壓迫性慢性潰瘍伴骨受累，無壞死跡象
L97228	具有其他特定嚴重程度的左小腿非壓迫性慢性潰瘍
L97305	未特指的踝關節非壓力性慢性潰瘍伴肌肉受累，無壞死證據
L97306	未特指的踝關節非壓力性慢性潰瘍伴骨受累，無壞死證據
L97308	具有其他指定嚴重程度的未指定腳踝的非壓力性慢性潰瘍
L97315	右腳踝非壓迫性慢性潰瘍伴肌肉受累，無壞死證據
L97316	右腳踝非壓迫性慢性潰瘍伴骨受累，無壞死證據
L97318	其他特定嚴重程度的右腳踝非壓迫性慢性潰瘍
L97325	左腳踝非壓迫性慢性潰瘍伴肌肉受累，無壞死證據
L97326	左腳踝非壓迫性慢性潰瘍伴骨受累，無壞死證據
L97328	其他特定嚴重程度的左腳踝非壓迫性慢性潰瘍
L97405	未特指的足跟和中足非壓力性慢性潰瘍，肌肉受累，無壞死證據
L97406	未特指的足跟和中足非壓力性慢性潰瘍伴骨骼受累，無壞死證據
L97408	具有其他特定嚴重程度的未指明的足跟和中足的非壓力性慢性潰瘍
L97415	右腳跟和中足非壓力性慢性潰瘍，肌肉受累，無壞死證據
L97416	右腳後跟和中足非壓力性慢性潰瘍伴骨受累，無壞死證據
L97418	其他特定嚴重程度的右腳跟和中足非壓力性慢性潰瘍
L97425	左足跟和中足非壓力性慢性潰瘍，肌肉受累，無壞死跡象
L97426	左腳後跟和中足非壓力性慢性潰瘍伴骨骼受累，無壞死證據
L97428	具有其他特定嚴重程度的左足跟和中足非壓力性慢性潰瘍
L97505	未特指的足部其他部位的非壓力性慢性潰瘍伴肌肉受累，無壞死證據
L97506	未特指的足部其他部位的非壓力性慢性潰瘍伴骨受累，無壞死證據
L97508	具有其他指定嚴重程度的未指定足部其他部位的非壓力性慢性潰瘍
L97515	右腳其他部位非壓迫性慢性潰瘍，肌肉受累，無壞死跡象
L97516	右腳其他部位非壓迫性慢性潰瘍伴骨受累，無壞死跡象
L97518	其他特定嚴重程度的右腳其他部位的非壓迫性慢性潰瘍
L97525	左腳其他部位非壓迫性慢性潰瘍，肌肉受累，無壞死跡象
L97526	左腳其他部位非壓迫性慢性潰瘍伴骨受累，無壞死跡象
L97528	其他指定嚴重程度的左腳其他部位非壓迫性慢性潰瘍
L97805	未特指小腿其他部位的非壓力性慢性潰瘍，肌肉受累，無壞死證據
L97806	未特指的小腿其他部位的非壓力性慢性潰瘍伴骨骼受累，無壞死證據
L97808	其他指定嚴重程度的未指定小腿其他部位的非壓力性慢性潰瘍
L97815	右小腿其他部位非壓迫性慢性潰瘍，肌肉受累，無壞死跡象
L97816	右小腿其他部位非壓迫性慢性潰瘍伴骨受累，無壞死證據
L97818	其他特定嚴重程度的右小腿其他部位的非壓迫性慢性潰瘍
L97825	左小腿其他部位非壓迫性慢性潰瘍，肌肉受累，無壞死跡象
L97826	左小腿其他部位非壓迫性慢性潰瘍伴骨受累，無壞死跡象
L97828	其他指定嚴重程度的左小腿其他部位非壓迫性慢性潰瘍
L97905	未指定小腿未指定部分的非壓力性慢性潰瘍，肌肉受累，無壞死證據
L97906	未指定小腿未指定部分的非壓力性慢性潰瘍伴骨骼受累，無壞死證據
L97908	具有其他指定嚴重程度的未指定小腿未指定部分的非壓力性慢性潰瘍
L97915	右小腿未明確部分的非壓力性慢性潰瘍，肌肉受累，無壞死證據
L97916	右小腿未特指部分的非壓力性慢性潰瘍伴骨受累，無壞死證據
L97918	右小腿未明確部分的非壓力性慢性潰瘍，具有其他指定的嚴重程度
L97925	左小腿未明確部分的非壓力性慢性潰瘍，肌肉受累，無壞死證據
L97926	左小腿未特指部分的非壓力性慢性潰瘍伴骨受累，無壞死證據
L97928	左小腿未明確部分的非壓力性慢性潰瘍，具有其他指定的嚴重程度
L98415	肌肉受累且無壞死證據的臀部非壓迫性慢性潰瘍
L98416	臀部非壓迫性慢性潰瘍伴骨受累，無壞死證據
L98418	其他特定嚴重程度的臀部非壓迫性慢性潰瘍
L98425	無壞死跡象的肌肉受累背部非壓力性慢性潰瘍
L98426	無壞死證據的骨受累背部非壓力性慢性潰瘍
L98428	其他特定嚴重程度的背部非壓力性慢性潰瘍
L98495	其他部位皮膚的非壓力性慢性潰瘍，肌肉受累，無壞死證據
L98496	其他部位皮膚非壓力性慢性潰瘍伴骨受累，無壞死證據
L98498	其他指定嚴重程度的其他部位皮膚的非壓力性慢性潰瘍
L987	過多和多餘的皮膚和皮下組織
M0001	葡萄球菌性關節炎，肩
M01X	分類在它處的傳染病和寄生蟲病中的關節直接感染
M01X0	分類在它處的傳染病和寄生蟲病中未明確關節的直接感染
M01X1	分類在它處的傳染病和寄生蟲病中肩關節的直接感染
M01X11	分類在它處的傳染病和寄生蟲病中右肩的直接感染
M01X12	分類在它處的傳染病和寄生蟲病中左肩的直接感染
M01X19	分類在它處的傳染病和寄生蟲病中未明確肩部的直接感染
M01X2	分類在它處的傳染病和寄生蟲病中肘部的直接感染
M01X21	分類在它處的傳染病和寄生蟲病中右肘的直接感染
M01X22	分類在它處的傳染病和寄生蟲病中的左肘直接感染
M01X29	分類在它處的傳染病和寄生蟲病中未特指的肘部直接感染
M01X3	分類在它處的傳染病和寄生蟲病中腕部的直接感染
M01X31	分類在它處的傳染病和寄生蟲病中右腕的直接感染
M01X32	分類在它處的傳染病和寄生蟲病中左腕的直接感染
M01X39	分類在它處的傳染病和寄生蟲病中未明確手腕的直接感染
M01X4	分類在它處的傳染病和寄生蟲病中的手直接感染
M01X41	分類在它處的傳染病和寄生蟲病中右手的直接感染
M01X42	分類在它處的傳染病和寄生蟲病中左手的直接感染
M01X49	分類在它處的傳染病和寄生蟲病中未特指的手的直接感染
M01X5	分類在它處的傳染病和寄生蟲病中的髖部直接感染
M01X51	分類在它處的傳染病和寄生蟲病中右髖的直接感染
M01X52	分類在它處的傳染病和寄生蟲病中左髖的直接感染
M01X59	分類在它處的傳染病和寄生蟲病中未特指的髖關節直接感染
M01X6	分類在它處的傳染病和寄生蟲病中膝關節的直接感染
M01X61	分類在它處的傳染病和寄生蟲病中右膝的直接感染
M01X62	分類在它處的傳染病和寄生蟲病中的左膝直接感染
M01X69	分類在它處的傳染病和寄生蟲病中未特指的膝關節的直接感染
M01X7	分類在它處的傳染病和寄生蟲病中踝和足的直接感染
M01X71	分類在它處的傳染病和寄生蟲病中右腳踝和足的直接感染
M01X72	分類在它處的傳染病和寄生蟲病中左腳踝和足的直接感染
M01X79	分類在它處的傳染病和寄生蟲病中未特指的腳踝和足部的直接感染
M01X8	分類在它處的傳染病和寄生蟲病中椎骨的直接感染
M01X9	分類在它處的傳染病和寄生蟲病中多個關節的直接感染
M0201	腸道旁路術後關節病，肩
M029	反應性關節病，未明確
M04	自身炎症綜合徵
M041	週期性發熱綜合徵
M042	Cryopyrin 相關的周期性綜合徵
M048	其他自身炎症綜合徵
M049	自身炎症綜合徵，未明確
M0571	類風濕關節炎伴肩部類風濕因子，無器官或系統受累
M057A	類風濕性關節炎伴其他特定部位的類風濕因子，無器官或系統受累
M058A	具有其他特定部位類風濕因子的其他類風濕性關節炎
M060A	無類風濕因子的類風濕性關節炎，其他指定部位
M068A	其他指定的類風濕性關節炎，其他指定的部位
M0802	未特指的幼年型肘部類風濕性關節炎
M080A	未指明的幼年型類風濕性關節炎，其他指明的部位
M082A	全身性發作的幼年型類風濕性關節炎，其他指定部位
M084A	少關節型幼年類風濕性關節炎，其他指定部位
M0888	其他幼年關節炎，其他指定部位
M089A	幼年性關節炎，未指明的，其他指明的部位
M1A	慢性痛風
M1A0	特發性慢性痛風
M1A00	特發性慢性痛風，未指定部位
M1A01	特發性慢性痛風，肩
M1A011	特發性慢性痛風，右肩
M1A012	特發性慢性痛風，左肩
M1A019	特發性慢性痛風，不明肩
M1A02	特發性慢性痛風、肘關節
M1A021	特發性慢性痛風，右肘
M1A022	特發性慢性痛風，左肘
M1A029	特發性慢性痛風，不明肘
M1A03	特發性慢性痛風，手腕
M1A031	特發性慢性痛風，右手腕
M1A032	特發性慢性痛風，左手腕
M1A039	特發性慢性痛風，不明手腕
M1A04	特發性慢性痛風，手
M1A041	特發性慢性痛風，右手
M1A042	特發性慢性痛風，左手
M1A049	特發性慢性痛風，不明手
M1A05	特發性慢性痛風，髖關節
M1A051	特發性慢性痛風，右髖
M1A052	特發性慢性痛風，左髖
M1A059	特發性慢性痛風，未明確的髖關節
M1A06	特發性慢性痛風，膝蓋
M1A061	特發性慢性痛風，右膝
M1A062	特發性慢性痛風，左膝
M1A069	特發性慢性痛風，不明膝
M1A07	特發性慢性痛風、腳踝和足部
M1A071	特發性慢性痛風，右腳踝和足
M1A072	特發性慢性痛風，左腳踝和足
M1A079	特發性慢性痛風，未明確的腳踝和足
M1A08	特發性慢性痛風，椎骨
M1A09	特發性慢性痛風，多部位
M1A1	鉛誘發的慢性痛風
M1A10	鉛誘發的慢性痛風，未指定部位
M1A11	鉛引起的慢性痛風，肩
M1A111	鉛誘發的慢性痛風，右肩
M1A112	鉛引起的慢性痛風，左肩
M1A119	鉛誘發的慢性痛風，不明肩
M1A12	鉛誘發的慢性痛風、肘關節
M1A121	鉛引起的慢性痛風，右肘
M1A122	鉛引起的慢性痛風，左肘
M1A129	鉛誘發的慢性痛風，未明確的肘部
M1A13	鉛引起的慢性痛風，手腕
M1A131	鉛引起的慢性痛風，右手腕
M1A132	鉛引起的慢性痛風，左手腕
M1A139	鉛誘發的慢性痛風，未指明的手腕
M1A14	鉛引起的慢性痛風，手
M1A141	鉛誘發的慢性痛風，右手
M1A142	鉛誘發的慢性痛風，左手
M1A149	鉛誘發的慢性痛風，不明手
M1A15	鉛引起的慢性痛風，髖關節
M1A151	鉛誘發的慢性痛風，右髖
M1A152	鉛誘發的慢性痛風，左髖
M1A159	鉛誘發的慢性痛風，未特指的髖關節
M1A16	鉛引起的慢性痛風，膝蓋
M1A161	鉛引起的慢性痛風，右膝
M1A162	鉛誘發的慢性痛風，左膝
M1A169	鉛誘發的慢性痛風，未指明的膝蓋
M1A17	鉛誘發的慢性痛風、腳踝和足部
M1A171	鉛誘發的慢性痛風，右腳踝和足部
M1A172	鉛誘發的慢性痛風，左腳踝和足部
M1A179	鉛誘發的慢性痛風，未明確的腳踝和足部
M1A18	鉛引起的慢性痛風、椎骨
M1A19	鉛誘發的慢性痛風，多部位
M1A2	藥物性慢性痛風
M1A20	藥物引起的慢性痛風，未指定部位
M1A21	藥物性慢性痛風，肩
M1A211	藥物性慢性痛風，右肩
M1A212	藥物性慢性痛風，左肩
M1A219	藥物引起的慢性痛風，未明確的肩部
M1A22	藥物性慢性痛風、肘關節
M1A221	藥物性慢性痛風，右肘
M1A222	藥物性慢性痛風，左肘
M1A229	藥物引起的慢性痛風，未明確的肘部
M1A23	藥物性慢性痛風、手腕
M1A231	藥物性慢性痛風，右手腕
M1A232	藥物引起的慢性痛風，左手腕
M1A239	藥物引起的慢性痛風，不明手腕
M1A24	藥物性慢性痛風，手
M1A241	藥物引起的慢性痛風，右手
M1A242	藥物引起的慢性痛風，左手
M1A249	藥物性慢性痛風，不明手
M1A25	藥物引起的慢性痛風，髖關節
M1A251	藥物引起的慢性痛風，右髖
M1A252	藥物引起的慢性痛風，左髖
M1A259	藥物引起的慢性痛風，未明確的髖關節
M1A26	藥物性慢性痛風、膝關節
M1A261	藥物性慢性痛風，右膝
M1A262	藥物引起的慢性痛風，左膝
M1A269	藥物引起的慢性痛風，未明確的膝蓋
M1A27	藥物引起的慢性痛風、腳踝和足部
M1A271	藥物引起的慢性痛風，右腳踝和足部
M1A272	藥物引起的慢性痛風，左腳踝和足部
M1A279	藥物引起的慢性痛風，未明確的腳踝和足部
M1A28	藥物引起的慢性痛風、椎骨
M1A29	藥物性慢性痛風，多部位
M1A3	腎功能損害引起的慢性痛風
M1A30	腎功能不全引起的慢性痛風，不明部位
M1A31	腎功能損害引起的慢性痛風，肩
M1A311	腎功能損害引起的慢性痛風，右肩
M1A312	腎功能損害引起的慢性痛風，左肩
M1A319	腎功能損害引起的慢性痛風，不明肩
M1A32	腎功能損害引起的慢性痛風，肘部
M1A321	腎功能損害引起的慢性痛風，右肘
M1A322	腎功能損害引起的慢性痛風，左肘
M1A329	腎功能損害引起的慢性痛風，不明肘
M1A33	腎功能損害引起的慢性痛風，手腕
M1A331	腎功能損害引起的慢性痛風，右手腕
M1A332	腎功能損害引起的慢性痛風，左手腕
M1A339	腎功能損害引起的慢性痛風，不明手腕
M1A34	腎功能損害引起的慢性痛風，手
M1A341	腎功能損害引起的慢性痛風，右手
M1A342	左手腎功能損害引起的慢性痛風
M1A349	腎功能不全引起的慢性痛風，不明手
M1A35	腎功能損害引起的慢性痛風，髖關節
M1A351	腎功能損害引起的慢性痛風，右髖
M1A352	腎功能損害引起的慢性痛風，左髖
M1A359	腎功能不全引起的慢性痛風，未明確的髖關節
M1A36	腎功能不全、膝關節慢性痛風
M1A361	腎功能損害引起的慢性痛風，右膝
M1A362	腎功能損害引起的慢性痛風，左膝
M1A369	腎功能不全引起的慢性痛風，不明膝
M1A37	由於腎功能損害、腳踝和足部引起的慢性痛風
M1A371	腎功能損害引起的慢性痛風，右腳踝和足部
M1A372	腎功能損害引起的慢性痛風，左腳踝和足部
M1A379	由於腎功能損害、未明確的腳踝和足部引起的慢性痛風
M1A38	由於腎功能損害、椎骨引起的慢性痛風
M1A39	腎功能損害引起的慢性痛風，多部位
M1A4	其他繼發性慢性痛風
M1A40	其他未明確部位的繼發性慢性痛風
M1A41	其他繼發性慢性痛風、肩
M1A411	其他繼發性慢性痛風，右肩
M1A412	其他繼發性慢性痛風，左肩
M1A419	其他繼發性慢性痛風，未特指的肩部
M1A42	其他繼發性慢性痛風、肘關節
M1A421	其他繼發性慢性痛風、右肘
M1A422	其他繼發性慢性痛風，左肘
M1A429	其他繼發性慢性痛風、未特指的肘部
M1A43	其他繼發性慢性痛風、手腕
M1A431	其他繼發性慢性痛風，右手腕
M1A432	其他繼發性慢性痛風，左手腕
M1A439	其他繼發性慢性痛風，未特指的手腕
M1A44	其他繼發性慢性痛風、手
M1A441	其他繼發性慢性痛風，右手
M1A442	其他繼發性慢性痛風，左手
M1A449	其他繼發性慢性痛風，未特指的手
M1A45	其他繼發性慢性痛風、髖
M1A451	其他繼發性慢性痛風，右髖
M1A452	其他繼發性慢性痛風，左髖
M1A459	其他繼發性慢性痛風，未明確的髖關節痛風
M1A46	其他繼發性慢性痛風、膝關節
M1A461	其他繼發性慢性痛風，右膝
M1A462	其他繼發性慢性痛風，左膝
M1A469	其他繼發性慢性痛風，未特指的膝關節
M1A47	其他繼發性慢性痛風、腳踝和足
M1A471	其他繼發性慢性痛風，右腳踝和足
M1A472	其他繼發性慢性痛風、左腳踝和足
M1A479	其他繼發性慢性痛風，未明確的腳踝和足
M1A48	其他繼發性慢性痛風、椎骨
M1A49	其他繼發性慢性痛風，多部位
M1A9	慢性痛風，未明確
M1002	特發性痛風、肘關節
M1117	家族性軟骨鈣質沉著症，腳踝和足部
M1208	慢性風濕後關節病 [Jaccoud]，其他指定部位
M1228	絨毛結節性滑膜炎（色素沉著），其他指定部位
M1238	回文風濕病，其他指定部位
M1258	創傷性關節病，其他指定部位
M1288	其他特定關節病，未在別處分類，其他指定部位
M1388	其他指定的關節炎，其他部位
M146	Charcôt 的關節
M1460	Charcôt 的聯合地點，未指明
M1461	Charcôt 關節，肩部
M14611	Charcôt 關節，右肩
M14612	Charcôt 關節，左肩
M14619	Charcôt 關節，未指明的肩部
M1462	Charcôt 關節，肘部
M14621	Charcôt 關節，右肘
M14622	Charcôt 關節，左肘
M14629	Charcôt 關節，未指明的肘部
M1463	Charcôt 關節，手腕
M14631	Charcôt 關節，右手腕
M14632	Charcôt 關節，左手腕
M14639	Charcôt 關節，未指明的手腕
M1464	Charcôt 關節，手
M14641	Charcôt 關節，右手
M14642	Charcôt 關節，左手
M14649	Charcôt 的關節，未指明的手
M1465	Charcôt 關節，臀部
M14651	Charcôt 關節，右臀部
M14652	Charcôt 關節，左臀部
M14659	Charcôt 關節，未明確的髖關節
M1466	Charcôt 關節，膝蓋
M14661	Charcôt 關節，右膝
M14662	Charcôt 關節，左膝
M14669	Charcôt 關節，未指明的膝蓋
M1467	Charcôt 關節、腳踝和足部
M14671	Charcôt 關節、右腳踝和足部
M14672	Charcôt 關節、左腳踝和腳
M14679	Charcôt 關節，未指明的腳踝和足部
M1468	Charcôt 關節、椎骨
M1469	Charcôt 的聯合，多個站點
M1909	原發性骨關節炎，其他指定部位
M1919	創傷後骨關節炎，其他指定部位
M1929	繼發性骨關節炎，其他指定部位
M2002	胸花畸形
M20021	右手手指胸花畸形
M20022	左手指胸花畸形
M20029	未指定手指的胸花畸形
M205X	腳趾的其他畸形（後天）
M205X1	腳趾的其他畸形（後天），右腳
M205X2	腳趾的其他畸形（後天），左腳
M205X9	腳趾的其他畸形（後天），未指明的腳
M2105	外翻畸形，未分類，髖關節
M21051	外翻畸形，未分類，右髖
M21052	外翻畸形，未分類，左髖
M21059	外翻畸形，未在別處分類，未明確的髖關節
M2115	內翻畸形，未分類，髖
M21151	內翻畸形，未分類，右髖
M21152	內翻畸形，未分類，左髖
M21159	內翻畸形，未在別處分類，未明確
M2161	拇囊炎
M21611	右腳拇囊炎
M21612	左腳拇囊炎
M21619	不明足拇囊炎
M2162	布尼奧內特
M21621	右腳拇囊炎
M21622	左腳拇囊炎
M21629	未指明腳的拇囊炎
M216X	其他獲得性足部畸形
M216X1	右腳其他後天畸形
M216X2	左腳其他後天畸形
M216X9	未特指的足部其他獲得性畸形
M2183	其他特定的獲得性前臂畸形
M2193	未明確的獲得性前臂畸形
M222X	髕股關節疾病
M222X1	髕股關節疾病，右膝
M222X2	髕股關節疾病，左膝
M222X9	髕股關節疾病，未特指的膝關節
M223X	髕骨的其他紊亂
M223X1	髕骨、右膝的其他紊亂
M223X2	髕骨、左膝的其他紊亂
M223X9	髕骨的其他紊亂，未明確的膝蓋
M228X	髕骨的其他疾病
M228X1	髕骨、右膝的其他疾病
M228X2	髕骨、左膝的其他疾病
M228X9	髕骨的其他疾病，未特指的膝蓋
M2321	舊撕裂或損傷導致內側半月板前角紊亂
M238X	膝關節的其他內部紊亂
M238X1	右膝其他內部紊亂
M238X2	左膝其他內部紊亂
M238X9	其他未特指的膝關節內部紊亂
M2419	其他關節軟骨疾病，其他指定部位
M2429	韌帶紊亂，其他指定部位
M2439	其他指定關節的病理性脫位，未在別處分類
M2449	復發性脫位，其他指定關節
M2459	攣縮，其他指定關節
M2469	強直，其他特定關節
M2489	其他特定關節的其他特定關節紊亂，未在別處分類
M2508	關節積血，其他指定部位
M2518	瘻管，其他指定部位
M2539	其他不穩定性，其他指定關節
M2554	手關節痛
M25541	右手關節痛
M25542	左手關節痛
M25549	不明手關節疼痛
M2557	腳踝和腳關節疼痛
M25571	右腳踝和右腳關節疼痛
M25572	左腳踝和左腳關節疼痛
M25579	未指明的腳踝和未指明的腳關節疼痛
M2559	其他指定關節疼痛
M2569	未分類的其他指定接頭的剛度
M2639	完全萌出的牙齒或牙齒的其他牙齒位置異常
M26601	右側顳下頜關節疾病，未明確
M26602	左顳下頜關節疾病，未明確
M26603	雙側顳下頜關節疾病，未明確
M26609	未特指的顳下頜關節疾病，未特指的一側
M26611	右側顳下頜關節粘連和強直
M26612	左顳下頜關節粘連和強直
M26613	雙側顳下頜關節粘連及強直
M26619	顳下頜關節粘連和強直，未明確的一側
M26621	右側顳下頜關節痛
M26622	左側顳下頜關節痛
M26623	雙側顳下頜關節痛
M26629	顳下頜關節關節痛，未明確的一側
M26631	右側顳下頜關節椎間盤疾病
M26632	左側顳下頜關節椎間盤疾病
M26633	雙側顳下頜關節椎間盤疾病
M26639	顳下頜關節的關節盤疾病，未特指的一側
M2664	顳下頜關節關節炎
M26641	右側顳下頜關節關節炎
M26642	左顳下頜關節關節炎
M26643	雙側顳下頜關節關節炎
M26649	未特指的顳下頜關節關節炎
M2665	顳下頜關節病
M26651	右側顳下頜關節病
M26652	左側顳下頜關節病
M26653	雙側顳下頜關節病
M26659	未特指的顳下頜關節病
M330	幼年型皮肌炎
M3300	幼年型皮肌炎，未明確器官受累
M3301	幼年型皮肌炎伴呼吸道受累
M3302	幼年型皮肌炎伴肌病
M3303	無肌病的幼年型皮肌炎
M3309	伴有其他器官受累的幼年型皮肌炎
M331	其他皮肌炎
M3310	其他皮肌炎，未明確器官受累
M3311	其他呼吸系統受累的皮肌炎
M3312	其他皮肌炎伴肌病
M3313	其他無肌病的皮肌炎
M3319	其他器官受累的其他皮肌炎
M3393	皮多肌炎，未明確無肌病
M350	乾燥綜合徵 [Sjögren]
M352	白塞氏病
M3581	多系統炎症綜合徵
M3589	其他特定的結締組織全身受累
M435X	其他復發性椎體脫位
M435X2	其他復發性椎體脫位、頸椎區
M435X3	其他復發性椎體脫位、頸胸區
M435X4	其他復發性椎體脫位、胸椎
M435X5	其他復發性椎體脫位、胸腰段
M435X6	其他復發性椎體脫位、腰椎
M435X7	其他復發性椎體脫位、腰骶部
M435X8	其他復發性椎體脫位、骶骨和骶尾部
M435X9	其他復發性椎體脫位，部位未明確
M438X	其他特定的變形背病
M438X1	其他特定的變形性背病，枕-寰樞椎區域
M438X2	其他特定的變形性背病，頸部區域
M438X3	其他特定的變形性背病，頸胸區
M438X4	其他特定的變形性背病，胸部區域
M438X5	其他特定的變形性背病，胸腰椎區域
M438X6	其他特定的變形背病，腰部
M438X7	其他特定的變形性背病，腰骶部
M438X8	其他特定的變形背病，骶骨和骶尾部區域
M438X9	其他指定的變形性背病，部位未指定
M471	其他脊椎病伴脊髓病
M4781	無脊髓病或神經根病的脊椎病
M48061	椎管狹窄，腰部無神經源性跛行
M48062	椎管狹窄，腰部神經源性跛行
M4840	椎骨疲勞骨折，部位未明確
M4841	椎骨疲勞性骨折，枕-寰樞軸區
M4842	椎骨、頸椎區疲勞性骨折
M4843	椎骨、頸胸區疲勞性骨折
M4844	椎骨、胸椎區疲勞性骨折
M4845	椎骨、胸腰椎區疲勞性骨折
M4846	椎骨、腰椎疲勞性骨折
M4847	椎骨、腰骶部疲勞性骨折
M4848	椎骨、骶骨和骶尾部區域的疲勞性骨折
M4850	塌陷的椎骨，未在別處分類，部位未明確
M4851	塌陷的椎骨，未在別處分類，枕-寰樞椎區域
M4852	塌陷的椎骨，未在別處分類，頸椎區域
M4853	塌陷的椎骨，未在別處分類，頸胸區
M4854	塌陷的椎骨，未在別處分類，胸部區域
M4855	塌陷的椎骨，未在別處分類，胸腰椎區域
M4856	塌陷的椎骨，未在別處分類，腰部
M4857	塌陷的椎骨，未在別處分類，腰骶部
M4858	塌陷的椎骨，未在別處分類，骶骨和骶尾部區域
M488X	其他特定的脊椎病
M488X1	其他特定的脊椎病，枕-寰樞椎區域
M488X2	其他特定脊椎病、頸椎病
M488X3	其他特定的脊椎病，頸胸區
M488X4	其他特定的脊椎病，胸椎
M488X5	其他特定的脊椎病，胸腰椎區域
M488X6	其他特定的脊椎病，腰部
M488X7	其他特定的脊椎病，腰骶部
M488X8	其他特定的脊椎病，骶骨和骶尾部區域
M488X9	其他指定的脊椎病，部位未指定
M5001	頸椎間盤疾病伴脊髓病，高頸區
M50020	頸椎間盤疾病伴脊髓病，頸中區，未明確水平
M50021	C4-C5 水平的頸椎間盤疾病伴脊髓病
M50022	C5-C6 水平的頸椎間盤疾病伴脊髓病
M50023	C6-C7 水平的頸椎間盤疾病伴脊髓病
M5011	伴有神經根病的頸椎間盤疾病，高頸區
M50120	中頸椎間盤疾病，未明確級別
M50121	C4-C5 水平的頸椎間盤疾病伴神經根病
M50122	C5-C6 水平的頸椎間盤疾病伴神經根病
M50123	C6-C7 水平頸椎間盤疾病伴神經根病
M5021	其他頸椎間盤移位、高頸區
M50220	其他頸椎間盤移位、頸中區、未明確水平
M50221	C4-C5水平的其他頸椎間盤移位
M50222	C5-C6水平的其他頸椎間盤移位
