E083211	由潛在疾病引起的糖尿病伴輕度非增殖性糖尿病視網膜病變伴黃斑水腫，右眼
S52246B	尺骨幹非移位螺旋骨折，未特指的手臂，第一次遇到開放性骨折 I 型或 II 型
S52246C	尺骨幹非移位螺旋骨折，未特指的手臂，初次遇到 IIIA、IIIB 或 IIIC 型開放性骨折
S52246D	尺骨幹非移位螺旋骨折，未指定的手臂，​​隨後遇到閉合性骨折並常規癒合
S52246E	尺骨幹非移位螺旋骨折，未指定的手臂，​​隨後遇到開放性骨折 I 型或 II 型並常規癒合
S52246F	尺骨幹的非移位螺旋骨折，未指定的手臂，​​隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型並常規癒合
S52246G	尺骨幹非移位螺旋骨折，未明確的手臂，隨後發生閉合性骨折延遲癒合
S52246H	尺骨幹非移位螺旋骨折，未明確的手臂，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S52246J	尺骨幹非移位螺旋骨折，未明確的手臂，隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型延遲癒合
S52246K	尺骨幹非移位螺旋骨折，未明確的手臂，隨後遇到閉合性骨折不癒合
S52246M	尺骨幹非移位螺旋骨折，未明確的手臂，隨後遇到 I 型或 II 型開放性骨折並伴有骨不連
S52246N	尺骨幹非移位螺旋骨折，未明確的手臂，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S52246P	尺骨幹非移位螺旋骨折，未明確的手臂，隨後遇到閉合性骨折合併畸形癒合
S52246Q	尺骨幹非移位螺旋骨折，未特指的手臂，隨後遇到 I 型或 II 型開放性骨折伴畸形癒合
S52246R	尺骨幹非移位螺旋骨折，未明確的手臂，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S52246S	尺骨幹非移位螺旋骨折，未明確的手臂，後遺症
S52251A	尺骨幹移位粉碎性骨折，右臂，初次接觸閉合性骨折
S52251B	尺骨幹移位粉碎性骨折，右臂，開放性骨折Ⅰ型或Ⅱ型初次接觸
S52251C	尺骨幹、右臂移位的粉碎性骨折，初次接觸 IIIA、IIIB 或 IIIC 型開放性骨折
S52251D	尺骨幹移位粉碎性骨折，右臂，隨後遇到閉合性骨折並常規癒合
S52251E	尺骨幹移位粉碎性骨折，右臂，隨後遇到開放性骨折 I 型或 II 型，常規癒合
S52251F	尺骨幹移位粉碎性骨折，右臂，隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型並常規癒合
S52251G	尺骨幹移位粉碎性骨折，右臂，隨後遇到閉合性骨折延遲癒合
S52251H	尺骨幹移位粉碎性骨折，右臂，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S52251J	尺骨幹、右臂移位的粉碎性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折，癒合延遲
S52251K	尺骨幹移位粉碎性骨折，右臂，隨後遇到閉合性骨折不癒合
S52251M	尺骨幹移位粉碎性骨折，右臂，隨後遇到開放性骨折 I 型或 II 型不癒合
S52251N	尺骨幹、右臂移位的粉碎性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S52251P	尺骨幹移位粉碎性骨折，右臂，隨後遇到閉合性骨折合併畸形癒合
S52251Q	尺骨幹移位粉碎性骨折，右臂，隨後遇到I型或II型開放性骨折合併畸形癒合
S52251R	尺骨幹、右臂移位的粉碎性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S52251S	尺骨幹移位粉碎性骨折，右臂，後遺症
S52252A	左臂尺骨幹移位粉碎性骨折，初次接觸閉合性骨折
S52252B	左臂尺骨幹移位粉碎性骨折，初次接觸開放性骨折Ⅰ型或Ⅱ型
S52252C	左臂尺骨幹移位粉碎性骨折，初次接觸 IIIA、IIIB 或 IIIC 型開放性骨折
S52252D	左臂尺骨幹移位粉碎性骨折，隨後遇到閉合性骨折並常規癒合
S52252E	左臂尺骨幹移位粉碎性骨折，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S52252F	左臂尺骨幹移位粉碎性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並常規癒合
S52252G	左臂尺骨幹移位粉碎性骨折，隨後發生閉合性骨折延遲癒合
S52252H	左臂尺骨幹移位粉碎性骨折，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S52252J	左臂尺骨幹移位粉碎性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折，癒合延遲
S52252K	左臂尺骨幹移位粉碎性骨折，隨後發生閉合性骨折不癒合
S52252M	左臂尺骨幹移位粉碎性骨折，隨後遇到開放性骨折 I 型或 II 型不癒合
S52252N	尺骨幹移位粉碎性骨折，左臂，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S52252P	左臂尺骨幹移位粉碎性骨折，隨後因閉合性骨折合併畸形癒合
S52252Q	左臂尺骨幹移位粉碎性骨折，隨後遇到I型或II型開放性骨折合併畸形癒合
S52252R	左臂尺骨幹移位粉碎性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S52252S	尺骨幹移位粉碎性骨折，左臂，後遺症
S52253A	尺骨幹移位粉碎性骨折，未明確的手臂，閉合性骨折的初次接觸
S52253B	尺骨幹移位粉碎性骨折，未特指的手臂，開放性骨折 I 型或 II 型的初次接觸
S52253C	移位的尺骨乾粉碎性骨折，未明確的手臂，初次接觸 IIIA、IIIB 或 IIIC 型開放性骨折
S52253D	尺骨幹移位粉碎性骨折，未明確的手臂，隨後遇到閉合性骨折並常規癒合
S52253E	尺骨幹移位粉碎性骨折，未明確的手臂，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S52253F	尺骨幹移位粉碎性骨折，未明確的手臂，隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型並常規癒合
S52253G	尺骨幹移位粉碎性骨折，未明確的手臂，隨後遇到閉合性骨折延遲癒合
S52253H	尺骨幹移位粉碎性骨折，未明確的手臂，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S52253J	尺骨幹移位粉碎性骨折，未明確的手臂，隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型延遲癒合
S52253K	尺骨幹移位粉碎性骨折，未明確的手臂，隨後發生閉合性骨折伴骨不連
S52253M	尺骨幹移位粉碎性骨折，未明確的手臂，隨後遇到 I 型或 II 型開放性骨折伴骨不連
S52253N	尺骨幹移位粉碎性骨折，未明確的手臂，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S52253P	尺骨幹移位粉碎性骨折，未明確的手臂，隨後因閉合性骨折合併畸形癒合
S52253Q	尺骨幹移位粉碎性骨折，未明確的手臂，隨後遇到 I 型或 II 型開放性骨折並伴有畸形癒合
S52253R	尺骨幹移位粉碎性骨折，未明確的手臂，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S52253S	尺骨幹移位粉碎性骨折，未明確的手臂，後遺症
S52254A	尺骨幹無移位粉碎性骨折，右臂，初次接觸閉合性骨折
S52254B	尺骨幹無移位粉碎性骨折，右臂，開放性骨折Ⅰ型或Ⅱ型初次接觸
S52254C	尺骨幹、右臂無移位粉碎性骨折，初次接觸 IIIA、IIIB 或 IIIC 型開放性骨折
S52254D	尺骨幹無移位粉碎性骨折，右臂，隨後遇到閉合性骨折並常規癒合
S52254E	尺骨幹無移位粉碎性骨折，右臂，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S52254F	尺骨幹、右臂無移位粉碎性骨折，隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型並常規癒合
S52254G	尺骨幹無移位粉碎性骨折，右臂，隨後遇到閉合性骨折延遲癒合
S52254H	尺骨幹無移位粉碎性骨折，右臂，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S52254J	尺骨幹的無移位粉碎性骨折，右臂，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並延遲癒合
S52254K	尺骨幹無移位粉碎性骨折，右臂，隨後遇到閉合性骨折不癒合
S52254M	尺骨幹無移位粉碎性骨折，右臂，隨後遇到開放性骨折 I 型或 II 型不癒合
S52254N	尺骨幹、右臂無移位粉碎性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S52254P	尺骨幹無移位粉碎性骨折，右臂，隨後遇到閉合性骨折合併畸形癒合
S52254Q	尺骨幹無移位粉碎性骨折，右臂，隨後遇到 I 型或 II 型開放性骨折合併畸形癒合
S52254R	尺骨幹、右臂無移位粉碎性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S52254S	尺骨幹無移位粉碎性骨折，右臂，後遺症
S52255A	尺骨幹無移位粉碎性骨折，左臂，初次接觸閉合性骨折
S52255B	尺骨幹無移位粉碎性骨折，左臂，初次接觸開放性骨折Ⅰ型或Ⅱ型
S52255C	尺骨幹無移位粉碎性骨折，左臂，初次接觸 IIIA、IIIB 或 IIIC 型開放性骨折
S52255D	左臂尺骨幹無移位粉碎性骨折，隨後遇到閉合性骨折並常規癒合
S52255E	左臂尺骨幹無移位粉碎性骨折，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S52255F	尺骨幹無移位粉碎性骨折，左臂，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並常規癒合
S52255G	左臂尺骨幹無移位粉碎性骨折，隨後因閉合性骨折延遲癒合
S52255H	左臂尺骨幹無移位粉碎性骨折，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S52255J	左臂尺骨幹無移位粉碎性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折且癒合延遲
S52255K	尺骨幹無移位粉碎性骨折，左臂，隨後遇到閉合性骨折不癒合
S52255M	尺骨幹無移位粉碎性骨折，左臂，隨後遇到開放性骨折 I 型或 II 型不癒合
S52255N	左臂尺骨幹無移位粉碎性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S52255P	左臂尺骨幹無移位粉碎性骨折，隨後因閉合性骨折合併畸形癒合
S52255Q	尺骨幹無移位粉碎性骨折，左臂，隨後遇到 I 型或 II 型開放性骨折合併畸形癒合
S52255R	左臂尺骨幹無移位粉碎性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S52255S	尺骨幹無移位粉碎性骨折，左臂，後遺症
S52256A	尺骨幹無移位粉碎性骨折，未特指的手臂，閉合性骨折的初次接觸
S52256B	尺骨幹無移位粉碎性骨折，未特指的手臂，初次接觸 I 型或 II 型開放性骨折
S52256C	尺骨幹的無移位粉碎性骨折，未特指的手臂，初次接觸 IIIA、IIIB 或 IIIC 型開放性骨折
S52256D	尺骨幹無移位粉碎性骨折，未明確的手臂，隨後遇到閉合性骨折並常規癒合
S52256E	尺骨幹的無移位粉碎性骨折，未指定的手臂，​​隨後遇到 I 型或 II 型開放性骨折並常規癒合
S52256F	尺骨幹的無移位粉碎性骨折，未指定的手臂，​​隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型並常規癒合
S52256G	尺骨幹無移位粉碎性骨折，未明確的手臂，隨後遇到閉合性骨折延遲癒合
S52256H	未移位的尺骨乾粉碎性骨折，未明確的手臂，隨後發生 I 型或 II 型開放性骨折，癒合延遲
S52256J	尺骨幹的無移位粉碎性骨折，未特指的手臂，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並延遲癒合
S52256K	尺骨幹無移位粉碎性骨折，未明確的手臂，隨後發生閉合性骨折伴骨不連
S52256M	尺骨幹的無移位粉碎性骨折，未指定的手臂，​​隨後遇到 I 型或 II 型開放性骨折伴骨不連
S52256N	尺骨幹的無移位粉碎性骨折，未指定的手臂，​​隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S52256P	尺骨幹無移位粉碎性骨折，未明確的手臂，隨後因閉合性骨折合併畸形癒合
S52256Q	未移位的尺骨乾粉碎性骨折，未明確的手臂，隨後遇到 I 型或 II 型開放性骨折並伴有畸形癒合
S52256R	尺骨幹無移位粉碎性骨折，未明確的手臂，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S52256S	尺骨幹無移位粉碎性骨折，未明確的手臂，後遺症
S52261A	尺骨幹、右臂移位節段性骨折，初次接觸閉合性骨折
S52261B	尺骨幹、右臂移位節段性骨折，初次接觸開放性骨折Ⅰ型或Ⅱ型
S52261C	尺骨幹、右臂移位的節段性骨折，初次遇到 IIIA、IIIB 或 IIIC 型開放性骨折
S52261D	尺骨干節段性移位骨折，右臂，隨後遇到閉合性骨折並常規癒合
S52261E	尺骨干節段性移位骨折，右臂，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S52261F	尺骨幹、右臂移位的節段性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並常規癒合
S52261G	右臂尺骨干節段性移位骨折，繼發閉合性骨折延遲癒合
S52261H	右臂尺骨干節段性移位骨折，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S52261J	尺骨幹、右臂移位節段性骨折，隨後出現 IIIA、IIIB 或 IIIC 型開放性骨折，癒合延遲
S52261K	尺骨干節段性移位骨折，右臂，隨後遇到閉合性骨折不癒合
S52261M	尺骨幹、右臂移位節段性骨折，隨後遇到開放性骨折 I 型或 II 型不癒合
S52261N	尺骨幹、右臂移位的節段性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S52261P	右臂尺骨干節段性移位骨折，繼發閉合性骨折合併畸形癒合
S52261Q	尺骨干節段性移位骨折，右臂，隨後遇到I型或II型開放性骨折合併畸形癒合
S52261R	尺骨幹、右臂移位節段性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S52261S	尺骨幹移位節段性骨折，右臂，後遺症
S52262A	左臂尺骨干節段性移位骨折，初次接觸閉合性骨折
S52262B	左臂尺骨幹移位節段性骨折，初次接觸開放性骨折Ⅰ型或Ⅱ型
S52262C	左臂尺骨干節段性移位骨折，初次接觸 IIIA、IIIB 或 IIIC 型開放性骨折
S52262D	左臂尺骨干節段性移位骨折，隨後遇到閉合性骨折並常規癒合
S52262E	左臂尺骨干節段性移位骨折，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S52262F	左臂尺骨幹的移位節段性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並常規癒合
S52262G	左臂尺骨干節段性移位骨折，隨後發生閉合性骨折延遲癒合
S52262H	左臂尺骨干節段性移位骨折，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S52262J	左臂尺骨幹的移位節段性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折，癒合延遲
S52262K	左臂尺骨干節段性移位骨折，隨後遇到閉合性骨折不癒合
S52262M	左臂尺骨干節段性移位骨折，隨後遇到開放性骨折 I 型或 II 型不癒合
S52262N	左臂尺骨幹的移位節段性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S52262P	左臂尺骨干節段性移位骨折，隨後發生閉合性骨折合併畸形癒合
S52262Q	左臂尺骨干節段性移位骨折，隨後遇到I型或II型開放性骨折合併畸形癒合
S52262R	左臂尺骨干節段性移位骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S52262S	尺骨幹移位節段性骨折，左臂，後遺症
S52263A	尺骨幹的移位節段性骨折，未指定的手臂，​​閉合性骨折的初次相遇
S52263B	尺骨幹的移位節段性骨折，未特指的手臂，初次遇到開放性骨折 I 型或 II 型
S52263C	尺骨幹的移位節段性骨折，未指定的手臂，​​初次遇到 IIIA、IIIB 或 IIIC 型開放性骨折
S52263D	尺骨幹的移位節段性骨折，未指定的手臂，​​隨後遇到閉合性骨折並常規癒合
S52263E	尺骨幹的移位節段性骨折，未指定的手臂，​​隨後遇到開放性骨折 I 型或 II 型並常規癒合
S52263F	尺骨幹的移位節段性骨折，未指定的手臂，​​隨後遇到開放性骨折類型 IIIA、IIIB 或 IIIC 並常規癒合
S52263G	尺骨幹的移位節段性骨折，未明確的手臂，隨後遇到閉合性骨折延遲癒合
S52263H	尺骨幹的移位節段性骨折，未指定的手臂，​​隨後遇到開放性骨折 I 型或 II 型延遲癒合
S52263J	尺骨幹的移位節段性骨折，未特指的手臂，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並延遲癒合
S52263K	尺骨幹的移位節段性骨折，未指定的手臂，​​隨後遇到閉合性骨折不癒合
S52263M	尺骨幹的移位節段性骨折，未指定的手臂，​​隨後遇到開放性骨折 I 型或 II 型不癒合
S52263N	尺骨幹的移位節段性骨折，未指定的手臂，​​隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S52263P	尺骨幹的移位節段性骨折，未明確的手臂，隨後遇到閉合性骨折合併畸形癒合
S52263Q	尺骨幹的移位節段性骨折，未指定的手臂，​​隨後遇到 I 型或 II 型開放性骨折並伴有畸形癒合
S52263R	尺骨幹的移位節段性骨折，未指定的手臂，​​隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S52263S	尺骨幹移位節段性骨折，未明確的手臂，後遺症
S52264A	尺骨幹無移位節段性骨折，右臂，初次接觸閉合性骨折
S52264B	尺骨幹無移位節段性骨折，右臂，初次接觸開放性骨折Ⅰ型或Ⅱ型
S52264C	尺骨幹的無移位節段性骨折，右臂，IIIA、IIIB 或 IIIC 型開放性骨折的初次接觸
S52264D	尺骨幹無移位節段性骨折，右臂，隨後遇到閉合性骨折並常規癒合
S52264E	尺骨幹無移位節段性骨折，右臂，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S52264F	尺骨幹、右臂無移位節段性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並常規癒合
S52264G	尺骨幹無移位節段性骨折，右臂，隨後遇到閉合性骨折延遲癒合
S52264H	尺骨幹無移位節段性骨折，右臂，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S52264J	尺骨幹、右臂無移位節段性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並延遲癒合
S52264K	尺骨幹無移位節段性骨折，右臂，隨後遇到閉合性骨折不癒合
S52264M	尺骨幹無移位節段性骨折，右臂，隨後遇到開放性骨折 I 型或 II 型不癒合
S52264N	尺骨幹、右臂無移位節段性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S52264P	尺骨幹無移位節段性骨折，右臂，隨後遇到閉合性骨折合併畸形癒合
S52264Q	尺骨幹無移位節段性骨折，右臂，隨後遇到 I 型或 II 型開放性骨折合併畸形癒合
S52264R	尺骨幹、右臂無移位節段性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S52264S	尺骨幹非移位節段性骨折，右臂，後遺症
S52265A	尺骨幹無移位節段性骨折，左臂，閉合性骨折初診
S52265B	尺骨幹無移位節段性骨折，左臂，初次遇到開放性骨折 I 型或 II 型
S52265C	左臂尺骨幹的無移位節段性骨折，初次遇到 IIIA、IIIB 或 IIIC 型開放性骨折
S52265D	左臂尺骨幹無移位節段性骨折，隨後遇到閉合性骨折並常規癒合
S52265E	左臂尺骨幹無移位節段性骨折，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S52265F	左臂尺骨幹無移位節段性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並常規癒合
S52265G	左臂尺骨幹無移位節段性骨折，隨後發生閉合性骨折延遲癒合
S52265H	左臂尺骨幹無移位節段性骨折，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S52265J	尺骨幹無移位節段性骨折，左臂，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並延遲癒合
S52265K	尺骨幹無移位節段性骨折，左臂，隨後遇到閉合性骨折不癒合
S52265M	尺骨幹無移位節段性骨折，左臂，隨後遇到開放性骨折 I 型或 II 型不癒合
S52265N	左臂尺骨幹無移位節段性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S52265P	左臂尺骨幹無移位節段性骨折，隨後因閉合性骨折合併畸形癒合
S52265Q	左臂尺骨幹無移位節段性骨折，隨後遇到 I 型或 II 型開放性骨折合併畸形癒合
S52265R	左臂尺骨幹無移位節段性骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S52265S	尺骨幹非移位節段性骨折，左臂，後遺症
S52266A	尺骨幹非移位節段性骨折，未明確的手臂，閉合性骨折的初次相遇
S52266B	尺骨幹的無移位節段性骨折，未指定的手臂，​​初次接觸 I 型或 II 型開放性骨折
S52266C	尺骨幹非移位節段性骨折，未特指的手臂，初次遇到 IIIA、IIIB 或 IIIC 型開放性骨折
S52266D	尺骨幹非移位節段性骨折，未明確的手臂，隨後遇到閉合性骨折並常規癒合
S52266E	尺骨幹非移位節段性骨折，未明確的手臂，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S52266F	尺骨幹非移位節段性骨折，未指定的手臂，​​隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型並常規癒合
S52266G	尺骨幹非移位節段性骨折，未明確的手臂，隨後發生閉合性骨折延遲癒合
S52266H	尺骨幹非移位節段性骨折，未明確的手臂，隨後遇到開放性骨折 I 型或 II 型延遲癒合
S52266J	尺骨幹非移位節段性骨折，未指定的手臂，​​隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並延遲癒合
S52266K	尺骨幹非移位節段性骨折，未明確的手臂，隨後遇到閉合性骨折伴骨不連
S52266M	尺骨幹非移位節段性骨折，未明確的手臂，隨後遇到 I 型或 II 型開放性骨折伴骨不連
S52266N	尺骨幹非移位節段性骨折，未明確的手臂，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S52266P	尺骨幹非移位節段性骨折，未明確的手臂，隨後發生閉合性骨折合併畸形癒合
S52266Q	尺骨幹非移位節段性骨折，未明確的手臂，隨後遇到 I 型或 II 型開放性骨折合併畸形癒合
S52266R	尺骨幹非移位節段性骨折，未明確的手臂，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S52266S	尺骨幹非移位節段性骨折，未明確的手臂，後遺症
S52271A	Monteggia 右尺骨骨折，初次接觸閉合性骨折
S52271B	Monteggia 右尺骨骨折，初次接觸開放性骨折 I 型或 II 型
S52271C	Monteggia 右尺骨骨折，初次接觸 IIIA、IIIB 或 IIIC 型開放性骨折
S52271D	Monteggia 右尺骨骨折，隨後因閉合性骨折而常規癒合
S52271E	Monteggia 右尺骨骨折，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S52271F	右尺骨 Monteggia 骨折，隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型並常規癒合
S52271G	Monteggia 右尺骨骨折，隨後因閉合性骨折延遲癒合
S52271H	右尺骨 Monteggia 骨折，隨後出現 I 型或 II 型開放性骨折，癒合延遲
S52271J	右尺骨 Monteggia 骨折，隨後出現 IIIA、IIIB 或 IIIC 型開放性骨折，癒合延遲
S52271K	Monteggia 右尺骨骨折，隨後因閉合性骨折不癒合而發生
S52271M	右尺骨 Monteggia 骨折，隨後遇到 I 型或 II 型開放性骨折並伴有骨不連
S52271N	Monteggia 右尺骨骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S52271P	Monteggia 右尺骨骨折，隨後因閉合性骨折合併畸形癒合
S52271Q	Monteggia 右尺骨骨折，隨後遇到 I 型或 II 型開放性骨折並伴有畸形癒合
S52271R	Monteggia 右尺骨骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S52271S	蒙特吉亞右尺骨骨折，後遺症
S52272A	Monteggia 左尺骨骨折，初次接觸閉合性骨折
S52272B	Monteggia 左尺骨骨折，初次接觸開放性骨折 I 型或 II 型
S52272C	Monteggia 左尺骨骨折，初次接觸 IIIA、IIIB 或 IIIC 型開放性骨折
S52272D	Monteggia 左尺骨骨折，隨後遇到閉合性骨折並常規癒合
S52272E	Monteggia 左尺骨骨折，隨後遇到開放性骨折 I 型或 II 型並常規癒合
S52272F	Monteggia 左尺骨骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並常規癒合
S52272G	Monteggia 左尺骨骨折，隨後因閉合性骨折延遲癒合
S52272H	Monteggia 左尺骨骨折，隨後遇到 I 型或 II 型開放性骨折，癒合延遲
S52272J	Monteggia 左尺骨骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折，癒合延遲
S52272K	Monteggia 左尺骨骨折，隨後因閉合性骨折不癒合而遭遇
S52272M	Monteggia 左尺骨骨折，隨後遇到 I 型或 II 型開放性骨折伴骨不連
S52272N	Monteggia 左尺骨骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S52272P	Monteggia 左尺骨骨折，隨後因閉合性骨折合併畸形癒合
S52272Q	Monteggia 左尺骨骨折，隨後遇到 I 型或 II 型開放性骨折並伴有畸形癒合
S52272R	Monteggia 左尺骨骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S52272S	孟氏左尺骨骨折，後遺症
S52279A	Monteggia 未明確尺骨骨折，初次接觸閉合性骨折
S52279B	Monteggia 未明確尺骨骨折，初次接觸開放性骨折 I 型或 II 型
S52279C	Monteggia 未特指尺骨骨折，初次接觸 IIIA、IIIB 或 IIIC 型開放性骨折
S52279D	Monteggia 未明確尺骨骨折，隨後遇到閉合性骨折並常規癒合
S52279E	Monteggia 未明確尺骨骨折，隨後遇到 I 型或 II 型開放性骨折並常規癒合
S52279F	Monteggia 未明確尺骨骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並常規癒合
S52279G	Monteggia 未明確尺骨骨折，隨後因閉合性骨折延遲癒合
S52279H	Monteggia 未明確尺骨骨折，隨後遇到開放性骨折 I 型或 II 型，癒合延遲
S52279J	Monteggia 未明確尺骨骨折，隨後遇到開放性骨折 IIIA、IIIB 或 IIIC 型延遲癒合
S52279K	Monteggia 未明確尺骨骨折，隨後因閉合性骨折不癒合而發生
S52279M	Monteggia 未明確尺骨骨折，隨後遇到 I 型或 II 型開放性骨折伴骨不連
S52279N	Monteggia 未明確尺骨骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S52279P	Monteggia 未明確尺骨骨折，隨後因閉合性骨折合併畸形癒合
S52279Q	Monteggia 未明確尺骨骨折，隨後遇到 I 型或 II 型開放性骨折並伴有畸形癒合
S52279R	Monteggia 未明確尺骨骨折，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
S52279S	Monteggia未明確尺骨骨折，後遺症
S52281A	右尺骨彎曲，初次接觸閉合性骨折
S52281B	右尺骨彎曲，初次接觸 I 型或 II 型開放性骨折
S52281C	右尺骨彎曲，初次接觸 IIIA、IIIB 或 IIIC 型開放性骨折
S52281D	右尺骨彎曲，隨後遇到閉合性骨折並常規癒合
S52281E	右尺骨彎曲，隨後遇到 I 型或 II 型開放性骨折並常規癒合
S52281F	右尺骨彎曲，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折並常規癒合
S52281G	右尺骨彎曲，隨後因閉合性骨折而延遲癒合
S52281H	右尺骨彎曲，隨後遇到 I 型或 II 型開放性骨折，癒合延遲
S52281J	右尺骨彎曲，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折，癒合延遲
S52281K	右尺骨彎曲，隨後因閉合性骨折不癒合
S52281M	右尺骨彎曲，隨後遇到 I 型或 II 型開放性骨折且不癒合
S52281N	右尺骨彎曲，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴骨不連
S52281P	右尺骨彎曲，隨後因閉合性骨折合併畸形癒合
S52281Q	右尺骨彎曲，隨後遇到 I 型或 II 型開放性骨折伴畸形癒合
S52281R	右尺骨彎曲，隨後遇到 IIIA、IIIB 或 IIIC 型開放性骨折伴畸形癒合
