V00	Pedestrian conveyance accident
    V0519xS	Pedestrian with other conveyance injured in collision with railway train or railway vehicle in traffic accident, sequela
	行人搭乘其他運輸工具時，在交通意外事故中與火車或鐵路車輛受傷之後遺症
 V059	Pedestrian injured in collision with railway train or railway vehicle unspecified whether traffic or nontraffic accident
	行人在交通或非交通意外事故中與火車或鐵路車輛碰撞受傷
  V0590	Pedestrian on foot injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident
	行人步行時，在交通或非交通意外事故中與火車或鐵路車輛碰撞受傷
    V0590xA	Pedestrian on foot injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, initial encounter
	行人步行時，在交通或非交通意外事故中與火車或鐵路車輛碰撞受傷之初期照護
    V0590xD	Pedestrian on foot injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter
	行人步行時，在交通或非交通意外事故中與火車或鐵路車輛碰撞受傷之後續照護
    V0590xS	Pedestrian on foot injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, sequela
	行人步行時，在交通或非交通意外事故中與火車或鐵路車輛碰撞受傷之後遺症
  V0591	Pedestrian on roller-skates injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident
	行人溜直排輪時，在交通或非交通意外事故中與火車或鐵路車輛碰撞受傷
    V0591xA	Pedestrian on roller-skates injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, initial encounter
	行人溜直排輪時，在交通或非交通意外事故中與火車或鐵路車輛碰撞受傷之初期照護
    V0591xD	Pedestrian on roller-skates injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter
	行人溜直排輪時，在交通或非交通意外事故中與火車或鐵路車輛碰撞受傷之後續照護
    V0591xS	Pedestrian on roller-skates injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, sequela
	行人溜直排輪時，在交通或非交通意外事故中與火車或鐵路車輛碰撞受傷之後遺症
  V0592	Pedestrian on skateboard injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident
	行人溜滑板時，在交通或非交通意外事故中與火車或鐵路車輛碰撞受傷
    V0592xA	Pedestrian on skateboard injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, initial encounter
	行人溜滑板時，在交通或非交通意外事故中與火車或鐵路車輛碰撞受傷之初期照護
    V0592xD	Pedestrian on skateboard injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter
	行人溜滑板時，在交通或非交通意外事故中與火車或鐵路車輛碰撞受傷之後續照護
    V0592xS	Pedestrian on skateboard injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, sequela
	行人溜滑板時，在交通或非交通意外事故中與火車或鐵路車輛碰撞受傷之後遺症
  V0599	Pedestrian with other conveyance injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident
	行人搭乘其他運輸工具時，在交通或非交通意外事故中與火車或鐵路車輛碰撞受傷與火車或鐵路車輛碰撞受傷
    V0599xA	Pedestrian with other conveyance injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, initial encounter
	行人搭乘其他運輸工具時，在交通或非交通意外事故中與火車或鐵路車輛碰撞受傷與火車或鐵路車輛碰撞受傷之初期照護
    V0599xD	Pedestrian with other conveyance injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter
	行人搭乘其他運輸工具時，在交通或非交通意外事故中與火車或鐵路車輛碰撞受傷與火車或鐵路車輛碰撞受傷之後續照護
    V0599xS	Pedestrian with other conveyance injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, sequela
	行人搭乘其他運輸工具時，在交通或非交通意外事故中與火車或鐵路車輛碰撞受傷與火車或鐵路車輛碰撞受傷之後遺症
V06	Pedestrian injured in collision with other nonmotor vehicle
	行人與其他非機動車輛碰撞受傷
 V060	Pedestrian injured in collision with other nonmotor vehicle in nontraffic accident
	行人在非交通意外事故中與其他非機動車輛碰撞受傷
  V0600	Pedestrian on foot injured in collision with other nonmotor vehicle in nontraffic accident
	行人步行時，在非交通意外事故中與其他非機動車輛碰撞受傷
    V0600xA	Pedestrian on foot injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter
	行人步行時，在非交通意外事故中與其他非機動車輛碰撞受傷之初期照護
    V0600xD	Pedestrian on foot injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter
	行人步行時，在非交通意外事故中與其他非機動車輛碰撞受傷之後續照護
    V0600xS	Pedestrian on foot injured in collision with other nonmotor vehicle in nontraffic accident, sequela
	行人步行時，在非交通意外事故中與其他非機動車輛碰撞受傷之後遺症
  V0601	Pedestrian on roller-skates injured in collision with other nonmotor vehicle in nontraffic accident
	行人溜直排輪時，在非交通意外事故中與其他非機動車輛碰撞受傷
    V0601xA	Pedestrian on roller-skates injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter
	行人溜直排輪時，在非交通意外事故中與其他非機動車輛碰撞受傷之初期照護
    V0601xD	Pedestrian on roller-skates injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter
	行人溜直排輪時，在非交通意外事故中與其他非機動車輛碰撞受傷之後續照護
    V0601xS	Pedestrian on roller-skates injured in collision with other nonmotor vehicle in nontraffic accident, sequela
	行人溜直排輪時，在非交通意外事故中與其他非機動車輛碰撞受傷之後遺症
  V0602	Pedestrian on skateboard injured in collision with other nonmotor vehicle in nontraffic accident
	行人溜滑板時，在非交通意外事故中與其他非機動車輛碰撞受傷
    V0602xA	Pedestrian on skateboard injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter
	行人溜滑板時，在非交通意外事故中與其他非機動車輛碰撞受傷之初期照護
    V0602xD	Pedestrian on skateboard injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter
	行人溜滑板時，在非交通意外事故中與其他非機動車輛碰撞受傷之後續照護
    V0602xS	Pedestrian on skateboard injured in collision with other nonmotor vehicle in nontraffic accident, sequela
	行人溜滑板時，在非交通意外事故中與其他非機動車輛碰撞受傷之後遺症
  V0609	Pedestrian with other conveyance injured in collision with other nonmotor vehicle in nontraffic accident
	行人搭乘其他運輸工具時，在非交通意外事故中與其他非機動車輛碰撞受傷
    V0609xA	Pedestrian with other conveyance injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter
	行人搭乘其他運輸工具時，在非交通意外事故中與其他非機動車輛碰撞受傷之初期照護
    V0609xD	Pedestrian with other conveyance injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter
	行人搭乘其他運輸工具時，在非交通意外事故中與其他非機動車輛碰撞受傷之後續照護
    V0609xS	Pedestrian with other conveyance injured in collision with other nonmotor vehicle in nontraffic accident, sequela
	行人搭乘其他運輸工具時，在非交通意外事故中與其他非機動車輛碰撞受傷之後遺症
 V061	Pedestrian injured in collision with other nonmotor vehicle in traffic accident
	行人在交通意外事故中與其他非機動車輛碰撞受傷
  V0610	Pedestrian on foot injured in collision with other nonmotor vehicle in traffic accident
	行人步行時，在交通意外事故中與其他非機動車輛碰撞受傷
    V0610xA	Pedestrian on foot injured in collision with other nonmotor vehicle in traffic accident, initial encounter
	行人步行時，在交通意外事故中與其他非機動車輛碰撞受傷之初期照護
    V0610xD	Pedestrian on foot injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter
	行人步行時，在交通意外事故中與其他非機動車輛碰撞受傷之後續照護
    V0610xS	Pedestrian on foot injured in collision with other nonmotor vehicle in traffic accident, sequela
	行人步行時，在交通意外事故中與其他非機動車輛碰撞受傷之後遺症
  V0611	Pedestrian on roller-skates injured in collision with other nonmotor vehicle in traffic accident
	行人溜直排輪時，在交通意外事故中與其他非機動車輛碰撞受傷
    V0611xA	Pedestrian on roller-skates injured in collision with other nonmotor vehicle in traffic accident, initial encounter
	行人溜直排輪時，在交通意外事故中與其他非機動車輛碰撞受傷之初期照護
    V0611xD	Pedestrian on roller-skates injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter
	行人溜直排輪時，在交通意外事故中與其他非機動車輛碰撞受傷之後續照護
    V0611xS	Pedestrian on roller-skates injured in collision with other nonmotor vehicle in traffic accident, sequela
	行人溜直排輪時，在交通意外事故中與其他非機動車輛碰撞受傷之後遺症
  V0612	Pedestrian on skateboard injured in collision with other nonmotor vehicle in traffic accident
	行人溜滑板時，在交通意外事故中與其他非機動車輛碰撞受傷
    V0612xA	Pedestrian on skateboard injured in collision with other nonmotor vehicle in traffic accident, initial encounter
	行人溜滑板時，在交通意外事故中與其他非機動車輛碰撞受傷之初期照護
    V0612xD	Pedestrian on skateboard injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter
	行人溜滑板時，在交通意外事故中與其他非機動車輛碰撞受傷之後續照護
    V0612xS	Pedestrian on skateboard injured in collision with other nonmotor vehicle in traffic accident, sequela
	行人溜滑板時，在交通意外事故中與其他非機動車輛碰撞受傷之後遺症
  V0619	Pedestrian with other conveyance injured in collision with other nonmotor vehicle in traffic accident
	行人搭乘其他運輸工具時，在交通意外事故中與其他非機動車輛碰撞受傷
    V0619xA	Pedestrian with other conveyance injured in collision with other nonmotor vehicle in traffic accident, initial encounter
	行人搭乘其他運輸工具時，在交通意外事故中與其他非機動車輛碰撞受傷之初期照護
    V0619xD	Pedestrian with other conveyance injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter
	行人搭乘其他運輸工具時，在交通意外事故中與其他非機動車輛碰撞受傷之後續照護
    V0619xS	Pedestrian with other conveyance injured in collision with other nonmotor vehicle in traffic accident, sequela
	行人搭乘其他運輸工具時，在交通意外事故中與其他非機動車輛碰撞受傷之後遺症
 V069	Pedestrian injured in collision with other nonmotor vehicle unspecified whether traffic or nontraffic accident
	行人在交通或非交通意外事故中與其他非機動車輛碰撞受傷
  V0690	Pedestrian on foot injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident
	行人步行時，在交通或非交通意外事故中與其他非機動車輛碰撞受傷
    V0690xA	Pedestrian on foot injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, initial encounter
	行人步行時，在交通或非交通意外事故中與其他非機動車輛碰撞受傷之初期照護
    V0690xD	Pedestrian on foot injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter
	行人步行時，在交通或非交通意外事故中與其他非機動車輛碰撞受傷之後續照護
    V0690xS	Pedestrian on foot injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, sequela
	行人步行時，在交通或非交通意外事故中與其他非機動車輛碰撞受傷之後遺症
  V0691	Pedestrian on roller-skates injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident
	行人溜直排輪時，在交通或非交通意外事故中與其他非機動車輛碰撞受傷
    V0691xA	Pedestrian on roller-skates injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, initial encounter
	行人溜直排輪時，在交通或非交通意外事故中與其他非機動車輛碰撞受傷之初期照護
    V0691xD	Pedestrian on roller-skates injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter
	行人溜直排輪時，在交通或非交通意外事故中與其他非機動車輛碰撞受傷之後續照護
    V0691xS	Pedestrian on roller-skates injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, sequela
	行人溜直排輪時，在交通或非交通意外事故中與其他非機動車輛碰撞受傷之後遺症
  V0692	Pedestrian on skateboard injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident
	行人溜滑板時，在交通或非交通意外事故中與其他非機動車輛碰撞受傷
    V0692xA	Pedestrian on skateboard injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, initial encounter
	行人溜滑板時，在交通或非交通意外事故中與其他非機動車輛碰撞受傷之初期照護
    V0692xD	Pedestrian on skateboard injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter
	行人溜滑板時，在交通或非交通意外事故中與其他非機動車輛碰撞受傷之後續照護
    V0692xS	Pedestrian on skateboard injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, sequela
	行人溜滑板時，在交通或非交通意外事故中與其他非機動車輛碰撞受傷之後遺症
  V0699	Pedestrian with other conveyance injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident
	行人搭乘其他運輸工具時，在交通或非交通意外事故中與其他非機動車輛碰撞受傷
    V0699xA	Pedestrian with other conveyance injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, initial encounter
	行人搭乘其他運輸工具時，在交通或非交通意外事故中與其他非機動車輛碰撞受傷之初期照護
    V0699xD	Pedestrian with other conveyance injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter
	行人搭乘其他運輸工具時，在交通或非交通意外事故中與其他非機動車輛碰撞受傷之後續照護
    V0699xS	Pedestrian with other conveyance injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, sequela
	行人搭乘其他運輸工具時，在交通或非交通意外事故中與其他非機動車輛碰撞受傷之後遺症
V09	Pedestrian injured in other and unspecified transport accident
	行人在其他或未特定運輸意外事故中受傷
 V090	Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles
	行人在非交通意外事故中受傷，涉及其他或未特定之機動車
  V0900	Pedestrian injured in nontraffic accident involving unspecified motor vehicles
	行人在非交通意外事故中受傷，涉及未特定之機動車
    V0900xA	Pedestrian injured in nontraffic accident involving unspecified motor vehicles, initial encounter
	行人在非交通意外事故中受傷，涉及未特定之機動車之初期照護
    V0900xD	Pedestrian injured in nontraffic accident involving unspecified motor vehicles, subsequent encounter
	行人在非交通意外事故中受傷，涉及未特定之機動車之後續照護
    V0900xS	Pedestrian injured in nontraffic accident involving unspecified motor vehicles, sequela
	行人在非交通意外事故中受傷，涉及未特定之機動車之後遺症
  V0901	Pedestrian injured in nontraffic accident involving military vehicle
	行人在非交通意外事故中受傷，涉及軍用車輛
    V0901xA	Pedestrian injured in nontraffic accident involving military vehicle, initial encounter
	行人在非交通意外事故中受傷，涉及軍用車輛之初期照護
    V0901xD	Pedestrian injured in nontraffic accident involving military vehicle, subsequent encounter
	行人在非交通意外事故中受傷，涉及軍用車輛之後續照護
    V0901xS	Pedestrian injured in nontraffic accident involving military vehicle, sequela
	行人在非交通意外事故中受傷，涉及軍用車輛之後遺症
  V0909	Pedestrian injured in nontraffic accident involving other motor vehicles
	行人在非交通意外事故中受傷，涉及其他機動車輛
    V0909xA	Pedestrian injured in nontraffic accident involving other motor vehicles, initial encounter
	行人在非交通意外事故中受傷，涉及其他機動車輛之初期照護
    V0909xD	Pedestrian injured in nontraffic accident involving other motor vehicles, subsequent encounter
	行人在非交通意外事故中受傷，涉及其他機動車輛之後續照護
    V0909xS	Pedestrian injured in nontraffic accident involving other motor vehicles, sequela
	行人在非交通意外事故中受傷，涉及其他機動車輛之後遺症
 V091	Pedestrian injured in unspecified nontraffic accident
	行人在非交通意外事故中受傷
    V091xxA	Pedestrian injured in unspecified nontraffic accident, initial encounter
	行人在非交通意外事故中受傷之初期照護
    V091xxD	Pedestrian injured in unspecified nontraffic accident, subsequent encounter
	行人在非交通意外事故中受傷之後續照護
    V091xxS	Pedestrian injured in unspecified nontraffic accident, sequela
	行人在非交通意外事故中受傷之後遺症
 V092	Pedestrian injured in traffic accident involving other and unspecified motor vehicles
	行人在交通意外事故中受傷，涉及其他或未特定之機動車輛
  V0920	Pedestrian injured in traffic accident involving unspecified motor vehicles
	行人在交通意外事故中受傷，涉及未特定之機動車輛
    V0920xA	Pedestrian injured in traffic accident involving unspecified motor vehicles, initial encounter
	行人在交通意外事故中受傷，涉及未特定之機動車輛之初期照護
    V0920xD	Pedestrian injured in traffic accident involving unspecified motor vehicles, subsequent encounter
	行人在交通意外事故中受傷，涉及未特定之機動車輛之後續照護
    V0920xS	Pedestrian injured in traffic accident involving unspecified motor vehicles, sequela
	行人在交通意外事故中受傷，涉及未特定之機動車輛之後遺症
  V0921	Pedestrian injured in traffic accident involving military vehicle
	行人在交通意外事故中受傷，涉及軍用車輛
    V0921xA	Pedestrian injured in traffic accident involving military vehicle, initial encounter
	行人在交通意外事故中受傷，涉及軍用車輛之初期照護
    V0921xD	Pedestrian injured in traffic accident involving military vehicle, subsequent encounter
	行人在交通意外事故中受傷，涉及軍用車輛之後續照護
    V0921xS	Pedestrian injured in traffic accident involving military vehicle, sequela
	行人在交通意外事故中受傷，涉及軍用車輛之後遺症
  V0929	Pedestrian injured in traffic accident involving other motor vehicles
	行人在交通意外事故中受傷，涉及其他機動車輛
    V0929xA	Pedestrian injured in traffic accident involving other motor vehicles, initial encounter
	行人在交通意外事故中受傷，涉及其他機動車輛之初期照護
    V0929xD	Pedestrian injured in traffic accident involving other motor vehicles, subsequent encounter
	行人在交通意外事故中受傷，涉及其他機動車輛之後續照護
    V0929xS	Pedestrian injured in traffic accident involving other motor vehicles, sequela
	行人在交通意外事故中受傷，涉及其他機動車輛之後遺症
 V093	Pedestrian injured in unspecified traffic accident
	行人在交通意外事故中受傷
    V093xxA	Pedestrian injured in unspecified traffic accident, initial encounter
	行人在交通意外事故中受傷之初期照護
    V093xxD	Pedestrian injured in unspecified traffic accident, subsequent encounter
	行人在交通意外事故中受傷之後續照護
    V093xxS	Pedestrian injured in unspecified traffic accident, sequela
	行人在交通意外事故中受傷之後遺症
 V099	Pedestrian injured in unspecified transport accident
	行人在非運輸意外事故中受傷
    V099xxA	Pedestrian injured in unspecified transport accident, initial encounter
	行人在非運輸意外事故中受傷之初期照護
    V099xxD	Pedestrian injured in unspecified transport accident, subsequent encounter
	行人在非運輸意外事故中受傷之後續照護
    V099xxS	Pedestrian injured in unspecified transport accident, sequela
	行人在非運輸意外事故中受傷之後遺症
V10	Pedal cycle rider injured in collision with pedestrian or animal
	腳踏車騎士與行人或動物碰撞受傷
 V100	Pedal cycle driver injured in collision with pedestrian or animal in nontraffic accident
	腳踏車騎士在非交通意外事故中與行人或動物碰撞受傷
    V100xxA	Pedal cycle driver injured in collision with pedestrian or animal in nontraffic accident, initial encounter
	腳踏車騎士在非交通意外事故中與行人或動物碰撞受傷之初期照護
    V100xxD	Pedal cycle driver injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter
	腳踏車騎士在非交通意外事故中與行人或動物碰撞受傷之後續照護
    V100xxS	Pedal cycle driver injured in collision with pedestrian or animal in nontraffic accident, sequela
	腳踏車騎士在非交通意外事故中與行人或動物碰撞受傷之後遺症
 V101	Pedal cycle passenger injured in collision with pedestrian or animal in nontraffic accident
	腳踏車乘客在非交通意外事故中與行人或動物碰撞受傷
    V101xxA	Pedal cycle passenger injured in collision with pedestrian or animal in nontraffic accident, initial encounter
	腳踏車乘客在非交通意外事故中與行人或動物碰撞受傷之初期照護
    V101xxD	Pedal cycle passenger injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter
	腳踏車乘客在非交通意外事故中與行人或動物碰撞受傷之後續照護
    V101xxS	Pedal cycle passenger injured in collision with pedestrian or animal in nontraffic accident, sequela
	腳踏車乘客在非交通意外事故中與行人或動物碰撞受傷之後遺症
 V102	Unspecified pedal cyclist injured in collision with pedestrian or animal in nontraffic accident
	腳踏車騎乘者在非交通意外事故中與行人或動物碰撞受傷
    V102xxA	Unspecified pedal cyclist injured in collision with pedestrian or animal in nontraffic accident, initial encounter
	腳踏車騎乘者在非交通意外事故中與行人或動物碰撞受傷之初期照護
    V102xxD	Unspecified pedal cyclist injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter
	腳踏車騎乘者在非交通意外事故中與行人或動物碰撞受傷之後續照護
    V102xxS	Unspecified pedal cyclist injured in collision with pedestrian or animal in nontraffic accident, sequela
	腳踏車騎乘者在非交通意外事故中與行人或動物碰撞受傷之後遺症
 V103	Person boarding or alighting a pedal cycle injured in collision with pedestrian or animal
	人員在上下腳踏車時與行人或動物碰撞受傷
    V103xxA	Person boarding or alighting a pedal cycle injured in collision with pedestrian or animal, initial encounter
	人員在上下腳踏車時與行人或動物碰撞受傷之初期照護
    V103xxD	Person boarding or alighting a pedal cycle injured in collision with pedestrian or animal, subsequent encounter
	人員在上下腳踏車時與行人或動物碰撞受傷之後續照護
    V103xxS	Person boarding or alighting a pedal cycle injured in collision with pedestrian or animal, sequela
	人員在上下腳踏車時與行人或動物碰撞受傷之後遺症
 V104	Pedal cycle driver injured in collision with pedestrian or animal in traffic accident
	腳踏車騎士在交通意外事故中與行人或動物碰撞受傷
    V104xxA	Pedal cycle driver injured in collision with pedestrian or animal in traffic accident, initial encounter
	腳踏車騎士在交通意外事故中與行人或動物碰撞受傷之初期照護
    V104xxD	Pedal cycle driver injured in collision with pedestrian or animal in traffic accident, subsequent encounter
	腳踏車騎士在交通意外事故中與行人或動物碰撞受傷之後續照護
    V104xxS	Pedal cycle driver injured in collision with pedestrian or animal in traffic accident, sequela
	腳踏車騎士在交通意外事故中與行人或動物碰撞受傷之後遺症
 V105	Pedal cycle passenger injured in collision with pedestrian or animal in traffic accident
	腳踏車乘客在交通意外事故中與行人或動物碰撞受傷
    V105xxA	Pedal cycle passenger injured in collision with pedestrian or animal in traffic accident, initial encounter
	腳踏車乘客在交通意外事故中與行人或動物碰撞受傷之初期照護
    V105xxD	Pedal cycle passenger injured in collision with pedestrian or animal in traffic accident, subsequent encounter
	腳踏車乘客在交通意外事故中與行人或動物碰撞受傷之後續照護
    V105xxS	Pedal cycle passenger injured in collision with pedestrian or animal in traffic accident, sequela
	腳踏車乘客在交通意外事故中與行人或動物碰撞受傷之後遺症
 V109	Unspecified pedal cyclist injured in collision with pedestrian or animal in traffic accident
	腳踏車騎乘者在交通意外事故中與行人或動物碰撞受傷
    V109xxA	Unspecified pedal cyclist injured in collision with pedestrian or animal in traffic accident, initial encounter
	腳踏車騎乘者在交通意外事故中與行人或動物碰撞受傷之初期照護
    V109xxD	Unspecified pedal cyclist injured in collision with pedestrian or animal in traffic accident, subsequent encounter
	腳踏車騎乘者在交通意外事故中與行人或動物碰撞受傷之後續照護
    V109xxS	Unspecified pedal cyclist injured in collision with pedestrian or animal in traffic accident, sequela
	腳踏車騎乘者在交通意外事故中與行人或動物碰撞受傷之後遺症
V11	Pedal cycle rider injured in collision with other pedal cycle
	腳踏車騎士與其他腳踏車碰撞受傷
 V110	Pedal cycle driver injured in collision with other pedal cycle in nontraffic accident
	腳踏車騎士在非交通意外事故中與其他腳踏車碰撞受傷
    V110xxA	Pedal cycle driver injured in collision with other pedal cycle in nontraffic accident, initial encounter
	腳踏車騎士在非交通意外事故中與其他腳踏車碰撞受傷之初期照護
    V110xxD	Pedal cycle driver injured in collision with other pedal cycle in nontraffic accident, subsequent encounter
	腳踏車騎士在非交通意外事故中與其他腳踏車碰撞受傷之後續照護
    V110xxS	Pedal cycle driver injured in collision with other pedal cycle in nontraffic accident, sequela
	腳踏車騎士在非交通意外事故中與其他腳踏車碰撞受傷之後遺症
 V111	Pedal cycle passenger injured in collision with other pedal cycle in nontraffic accident
	腳踏車乘客在非交通意外事故中與其他腳踏車碰撞受傷
    V111xxA	Pedal cycle passenger injured in collision with other pedal cycle in nontraffic accident, initial encounter
	腳踏車乘客在非交通意外事故中與其他腳踏車碰撞受傷之初期照護
    V111xxD	Pedal cycle passenger injured in collision with other pedal cycle in nontraffic accident, subsequent encounter
	腳踏車乘客在非交通意外事故中與其他腳踏車碰撞受傷之後續照護
    V111xxS	Pedal cycle passenger injured in collision with other pedal cycle in nontraffic accident, sequela
	腳踏車乘客在非交通意外事故中與其他腳踏車碰撞受傷之後遺症
 V112	Unspecified pedal cyclist injured in collision with other pedal cycle in nontraffic accident
	腳踏車騎乘者在非交通意外事故中與其他腳踏車碰撞受傷
    V112xxA	Unspecified pedal cyclist injured in collision with other pedal cycle in nontraffic accident, initial encounter
	腳踏車騎乘者在非交通意外事故中與其他腳踏車碰撞受傷之初期照護
    V112xxD	Unspecified pedal cyclist injured in collision with other pedal cycle in nontraffic accident, subsequent encounter
	腳踏車騎乘者在非交通意外事故中與其他腳踏車碰撞受傷之後續照護
    V112xxS	Unspecified pedal cyclist injured in collision with other pedal cycle in nontraffic accident, sequela
	腳踏車騎乘者在非交通意外事故中與其他腳踏車碰撞受傷之後遺症
 V113	Person boarding or alighting a pedal cycle injured in collision with other pedal cycle
	人員在上下腳踏車時與其他腳踏車碰撞受傷
    V113xxA	Person boarding or alighting a pedal cycle injured in collision with other pedal cycle, initial encounter
	人員在上下腳踏車時與其他腳踏車碰撞受傷之初期照護
    V113xxD	Person boarding or alighting a pedal cycle injured in collision with other pedal cycle, subsequent encounter
	人員在上下腳踏車時與其他腳踏車碰撞受傷之後續照護
    V113xxS	Person boarding or alighting a pedal cycle injured in collision with other pedal cycle, sequela
	人員在上下腳踏車時與其他腳踏車碰撞受傷之後遺症
 V114	Pedal cycle driver injured in collision with other pedal cycle in traffic accident
	腳踏車騎士在交通意外事故中與其他腳踏車碰撞受傷
    V114xxA	Pedal cycle driver injured in collision with other pedal cycle in traffic accident, initial encounter
	腳踏車騎士在交通意外事故中與其他腳踏車碰撞受傷之初期照護
    V114xxD	Pedal cycle driver injured in collision with other pedal cycle in traffic accident, subsequent encounter
	腳踏車騎士在交通意外事故中與其他腳踏車碰撞受傷之後續照護
    V114xxS	Pedal cycle driver injured in collision with other pedal cycle in traffic accident, sequela
	腳踏車騎士在交通意外事故中與其他腳踏車碰撞受傷之後遺症
 V115	Pedal cycle passenger injured in collision with other pedal cycle in traffic accident
	腳踏車乘客在交通意外事故中與其他腳踏車碰撞受傷
    V115xxA	Pedal cycle passenger injured in collision with other pedal cycle in traffic accident, initial encounter
	腳踏車乘客在交通意外事故中與其他腳踏車碰撞受傷之初期照護
    V115xxD	Pedal cycle passenger injured in collision with other pedal cycle in traffic accident, subsequent encounter
	腳踏車乘客在交通意外事故中與其他腳踏車碰撞受傷之後續照護
    V115xxS	Pedal cycle passenger injured in collision with other pedal cycle in traffic accident, sequela
	腳踏車乘客在交通意外事故中與其他腳踏車碰撞受傷之後遺症
 V119	Unspecified pedal cyclist injured in collision with other pedal cycle in traffic accident
	腳踏車騎乘者在交通意外事故中與其他腳踏車碰撞受傷
    V119xxA	Unspecified pedal cyclist injured in collision with other pedal cycle in traffic accident, initial encounter
	腳踏車騎乘者在交通意外事故中與其他腳踏車碰撞受傷之初期照護
    V119xxD	Unspecified pedal cyclist injured in collision with other pedal cycle in traffic accident, subsequent encounter
	腳踏車騎乘者在交通意外事故中與其他腳踏車碰撞受傷之後續照護
    V119xxS	Unspecified pedal cyclist injured in collision with other pedal cycle in traffic accident, sequela
	腳踏車騎乘者在交通意外事故中與其他腳踏車碰撞受傷之後遺症
V12	Pedal cycle rider injured in collision with two- or three- wheeled motor vehicle
	腳踏車騎士與兩輪或三輪機動車碰撞受傷
 V120	Pedal cycle driver injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
	腳踏車騎士在非交通意外事故中與兩輪或三輪機動車碰撞受傷
    V120xxA	Pedal cycle driver injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter
	腳踏車騎士在非交通意外事故中與兩輪或三輪機動車碰撞受傷之初期照護
    V120xxD	Pedal cycle driver injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter
	腳踏車騎士在非交通意外事故中與兩輪或三輪機動車碰撞受傷之後續照護
    V120xxS	Pedal cycle driver injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela
	腳踏車騎士在非交通意外事故中與兩輪或三輪機動車碰撞受傷之後遺症
 V121	Pedal cycle passenger injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
	腳踏車乘客在非交通意外事故中與兩輪或三輪機動車碰撞受傷
    V121xxA	Pedal cycle passenger injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter
	腳踏車乘客在非交通意外事故中與兩輪或三輪機動車碰撞受傷之初期照護
