O00	Ectopic pregnancy
	單一或多個胎兒選擇性減胎繼續妊娠，未特定妊娠期
    O3130x0	Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, not applicable or unspecified
	不適用或未特定，單一或多個胎兒選擇性減胎繼續妊娠，未特定妊娠期
    O3130x1	Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 1
	單一或多個胎兒選擇性減胎第一個胎兒繼續妊娠，未特定妊娠期
    O3130x2	Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 2
	單一或多個胎兒選擇性減胎第二個胎兒繼續妊娠，未特定妊娠期
    O3130x3	Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 3
	單一或多個胎兒選擇性減胎第三個胎兒繼續妊娠，未特定妊娠期
    O3130x4	Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 4
	單一或多個胎兒選擇性減胎第四個胎兒繼續妊娠，未特定妊娠期
    O3130x5	Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, fetus 5
	單一或多個胎兒選擇性減胎第五個胎兒繼續妊娠，未特定妊娠期
    O3130x9	Continuing pregnancy after elective fetal reduction of one fetus or more, unspecified trimester, other fetus
	單一或多個胎兒選擇性減胎其他胎兒繼續妊娠，未特定妊娠期
  O3131	Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester
	單一或多個胎兒選擇性減胎繼續妊娠，妊娠第一期
    O3131x0	Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, not applicable or unspecified
	不適用或未特定，單一或多個胎兒選擇性減胎繼續妊娠，妊娠第一期
    O3131x1	Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, fetus 1
	單一或多個胎兒選擇性減胎第一個胎兒繼續妊娠，妊娠第一期
    O3131x2	Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, fetus 2
	單一或多個胎兒選擇性減胎第二個胎兒繼續妊娠，妊娠第一期
    O3131x3	Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, fetus 3
	單一或多個胎兒選擇性減胎第三個胎兒繼續妊娠，妊娠第一期
    O3131x4	Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, fetus 4
	單一或多個胎兒選擇性減胎第四個胎兒繼續妊娠，妊娠第一期
    O3131x5	Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, fetus 5
	單一或多個胎兒選擇性減胎第五個胎兒繼續妊娠，妊娠第一期
    O3131x9	Continuing pregnancy after elective fetal reduction of one fetus or more, first trimester, other fetus
	單一或多個胎兒選擇性減胎其他胎兒繼續妊娠，妊娠第一期
  O3132	Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester
	單一或多個胎兒選擇性減胎繼續妊娠，妊娠第二期
    O3132x0	Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester, not applicable or unspecified
	不適用或未特定，單一或多個胎兒選擇性減胎繼續妊娠，妊娠第二期
    O3132x1	Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester, fetus 1
	單一或多個胎兒選擇性減胎第一個胎兒繼續妊娠，妊娠第二期
    O3132x2	Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester, fetus 2
	單一或多個胎兒選擇性減胎第二個胎兒繼續妊娠，妊娠第二期
    O3132x3	Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester, fetus 3
	單一或多個胎兒選擇性減胎第三個胎兒繼續妊娠，妊娠第二期
    O3132x4	Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester, fetus 4
	單一或多個胎兒選擇性減胎第四個胎兒繼續妊娠，妊娠第二期
    O3132x5	Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester, fetus 5
	單一或多個胎兒選擇性減胎第五個胎兒繼續妊娠，妊娠第二期
    O3132x9	Continuing pregnancy after elective fetal reduction of one fetus or more, second trimester, other fetus
	單一或多個胎兒選擇性減胎其他胎兒繼續妊娠，妊娠第二期
  O3133	Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester
	單一或多個胎兒選擇性減胎繼續妊娠，妊娠第三期
    O3133x0	Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, not applicable or unspecified
	不適用或未特定，單一或多個胎兒選擇性減胎繼續妊娠，妊娠第三期
    O3133x1	Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, fetus 1
	單一或多個胎兒選擇性減胎第一個胎兒繼續妊娠，妊娠第三期
    O3133x2	Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, fetus 2
	單一或多個胎兒選擇性減胎第二個胎兒繼續妊娠，妊娠第三期
    O3133x3	Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, fetus 3
	單一或多個胎兒選擇性減胎第三個胎兒繼續妊娠，妊娠第三期
    O3133x4	Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, fetus 4
	單一或多個胎兒選擇性減胎第四個胎兒繼續妊娠，妊娠第三期
    O3133x5	Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, fetus 5
	單一或多個胎兒選擇性減胎第五個胎兒繼續妊娠，妊娠第三期
    O3133x9	Continuing pregnancy after elective fetal reduction of one fetus or more, third trimester, other fetus
	單一或多個胎兒選擇性減胎其他胎兒繼續妊娠，妊娠第三期
 O318	Other complications specific to multiple gestation
	多胎妊娠有其他特定的併發症
  O318x	Other complications specific to multiple gestation
	多胎妊娠有其他特定的併發症
   O318x1	Other complications specific to multiple gestation, first trimester
	多胎妊娠有其他特定的併發症，妊娠第一期
    O318x10	Other complications specific to multiple gestation, first trimester, not applicable or unspecified
	不適用或未特定，多胎妊娠有其他併發症，妊娠第一期
    O318x11	Other complications specific to multiple gestation, first trimester, fetus 1
	多胎妊娠第一個胎兒有其他併發症，妊娠第一期
    O318x12	Other complications specific to multiple gestation, first trimester, fetus 2
	多胎妊娠第二個胎兒有其他併發症，妊娠第一期
    O318x13	Other complications specific to multiple gestation, first trimester, fetus 3
	多胎妊娠第三個胎兒有其他併發症，妊娠第一期
    O318x14	Other complications specific to multiple gestation, first trimester, fetus 4
	多胎妊娠第四個胎兒有其他併發症，妊娠第一期
    O318x15	Other complications specific to multiple gestation, first trimester, fetus 5
	多胎妊娠第五個胎兒有其他併發症，妊娠第一期
    O318x19	Other complications specific to multiple gestation, first trimester, other fetus
	多胎妊娠其他胎兒有其他併發症，妊娠第一期
   O318x2	Other complications specific to multiple gestation, second trimester
	多胎妊娠有其他特定的併發症，妊娠第二期
    O318x20	Other complications specific to multiple gestation, second trimester, not applicable or unspecified
	不適用或未特定，多胎妊娠有其他併發症，妊娠第二期
    O318x21	Other complications specific to multiple gestation, second trimester, fetus 1
	多胎妊娠第一個胎兒有其他併發症，妊娠第二期
    O318x22	Other complications specific to multiple gestation, second trimester, fetus 2
	多胎妊娠第二個胎兒有其他併發症，妊娠第二期
    O318x23	Other complications specific to multiple gestation, second trimester, fetus 3
	多胎妊娠第三個胎兒有其他併發症，妊娠第二期
    O318x24	Other complications specific to multiple gestation, second trimester, fetus 4
	多胎妊娠第四個胎兒有其他併發症，妊娠第二期
    O318x25	Other complications specific to multiple gestation, second trimester, fetus 5
	多胎妊娠第五個胎兒有其他併發症，妊娠第二期
    O318x29	Other complications specific to multiple gestation, second trimester, other fetus
	多胎妊娠其他胎兒有其他併發症，妊娠第二期
   O318x3	Other complications specific to multiple gestation, third trimester
	多胎妊娠有其他特定的併發症，妊娠第三期
    O318x30	Other complications specific to multiple gestation, third trimester, not applicable or unspecified
	不適用或未特定，多胎妊娠有其他併發症，妊娠第三期
    O318x31	Other complications specific to multiple gestation, third trimester, fetus 1
	多胎妊娠第一個胎兒有其他併發症，妊娠第三期
    O318x32	Other complications specific to multiple gestation, third trimester, fetus 2
	多胎妊娠第二個胎兒有其他併發症，妊娠第三期
    O318x33	Other complications specific to multiple gestation, third trimester, fetus 3
	多胎妊娠第三個胎兒有其他併發症，妊娠第三期
    O318x34	Other complications specific to multiple gestation, third trimester, fetus 4
	多胎妊娠第四個胎兒有其他併發症，妊娠第三期
    O318x35	Other complications specific to multiple gestation, third trimester, fetus 5
	多胎妊娠第五個胎兒有其他併發症，妊娠第三期
    O318x39	Other complications specific to multiple gestation, third trimester, other fetus
	多胎妊娠其他個胎兒有其他併發症，妊娠第三期
   O318x9	Other complications specific to multiple gestation, unspecified trimester
	多胎妊娠有其他特定的併發症，未特定妊娠期
    O318x90	Other complications specific to multiple gestation, unspecified trimester, not applicable or unspecified
	不適用或未特定，多胎妊娠有其他併發症，未特定妊娠期
    O318x91	Other complications specific to multiple gestation, unspecified trimester, fetus 1
	多胎妊娠第一個胎兒有其他併發症，未特定妊娠期
    O318x92	Other complications specific to multiple gestation, unspecified trimester, fetus 2
	多胎妊娠第二個胎兒有其他併發症，未特定妊娠期
    O318x93	Other complications specific to multiple gestation, unspecified trimester, fetus 3
	多胎妊娠第三個胎兒有其他併發症，未特定妊娠期
    O318x94	Other complications specific to multiple gestation, unspecified trimester, fetus 4
	多胎妊娠第四個胎兒有其他併發症，未特定妊娠期
    O318x95	Other complications specific to multiple gestation, unspecified trimester, fetus 5
	多胎妊娠第五個胎兒有其他併發症，未特定妊娠期
    O318x99	Other complications specific to multiple gestation, unspecified trimester, other fetus
	多胎妊娠其他胎兒有其他併發症，未特定妊娠期
O32	Maternal care for malpresentation of fetus
	胎位不正的母體照護
 O320	Maternal care for unstable lie
	不穩定胎位的母體照護
    O320xx0	Maternal care for unstable lie, not applicable or unspecified
	不適用或未特定，不穩定胎位的母體照護
    O320xx1	Maternal care for unstable lie, fetus 1
	第一個胎兒胎位不穩定的母體照護
    O320xx2	Maternal care for unstable lie, fetus 2
	第二個胎兒胎位不穩定的母體照護
    O320xx3	Maternal care for unstable lie, fetus 3
	第三個胎兒胎位不穩定的母體照護
    O320xx4	Maternal care for unstable lie, fetus 4
	第四個胎兒胎位不穩定的母體照護
    O320xx5	Maternal care for unstable lie, fetus 5
	第五個胎兒胎位不穩定的母體照護
    O320xx9	Maternal care for unstable lie, other fetus
	其他胎兒胎位不穩定的母體照護
 O321	Maternal care for breech presentation
	臀位的母體照護
    O321xx0	Maternal care for breech presentation, not applicable or unspecified
	不適用或未特定，臀位的母體照護
    O321xx1	Maternal care for breech presentation, fetus 1
	第一個胎兒臀位的母體照護
    O321xx2	Maternal care for breech presentation, fetus 2
	第二個胎兒臀位的母體照護
    O321xx3	Maternal care for breech presentation, fetus 3
	第三個胎兒臀位的母體照護
    O321xx4	Maternal care for breech presentation, fetus 4
	第四個胎兒臀位的母體照護
    O321xx5	Maternal care for breech presentation, fetus 5
	第五個胎兒臀位的母體照護
    O321xx9	Maternal care for breech presentation, other fetus
	其他胎兒臀位的母體照護
 O322	Maternal care for transverse and oblique lie
	橫位及斜位的母體照護
    O322xx0	Maternal care for transverse and oblique lie, not applicable or unspecified
	不適用或未特定，橫位及斜位的母體照護
    O322xx1	Maternal care for transverse and oblique lie, fetus 1
	第一個胎兒橫位及斜位的母體照護
    O322xx2	Maternal care for transverse and oblique lie, fetus 2
	第二個胎兒橫位及斜位的母體照護
    O322xx3	Maternal care for transverse and oblique lie, fetus 3
	第三個胎兒橫位及斜位的母體照護
    O322xx4	Maternal care for transverse and oblique lie, fetus 4
	第四個胎兒臀位的母體照護
    O322xx5	Maternal care for transverse and oblique lie, fetus 5
	第五個胎兒橫位及斜位的母體照護
    O322xx9	Maternal care for transverse and oblique lie, other fetus
	其他胎兒橫位及斜位的母體照護
 O323	Maternal care for face, brow and chin presentation
	臉(面)、額及頦位的母體照護
    O323xx0	Maternal care for face, brow and chin presentation, not applicable or unspecified
	不適用或未特定，臉(面)、額及頦位的母體照護
    O323xx1	Maternal care for face, brow and chin presentation, fetus 1
	第一個胎兒臉(面)、額及頦位的母體照護
    O323xx2	Maternal care for face, brow and chin presentation, fetus 2
	第二個胎兒臉(面)、額及頦位的母體照護
    O323xx3	Maternal care for face, brow and chin presentation, fetus 3
	第三個胎兒臉(面)、額及頦位的母體照護
    O323xx4	Maternal care for face, brow and chin presentation, fetus 4
	第四個胎兒臉(面)、額及頦位的母體照護
    O323xx5	Maternal care for face, brow and chin presentation, fetus 5
	第五個胎兒臉(面)、額及頦位的母體照護
    O323xx9	Maternal care for face, brow and chin presentation, other fetus
	其他胎兒臉(面)、額及頦位的母體照護
 O324	Maternal care for high head at term
	足月時胎頭過高的母體照護
    O324xx0	Maternal care for high head at term, not applicable or unspecified
	不適用或未特定，足月時胎頭過高的母體照護
    O324xx1	Maternal care for high head at term, fetus 1
	足月時第一個胎兒胎頭過高的母體照護
    O324xx2	Maternal care for high head at term, fetus 2
	足月時第二個胎兒胎頭過高的母體照護
    O324xx3	Maternal care for high head at term, fetus 3
	足月時第三個胎兒胎頭過高的母體照護
    O324xx4	Maternal care for high head at term, fetus 4
	足月時第四個胎兒胎頭過高的母體照護
    O324xx5	Maternal care for high head at term, fetus 5
	足月時第五個胎兒胎頭過高的母體照護
    O324xx9	Maternal care for high head at term, other fetus
	足月時其他胎兒胎頭過高的母體照護
 O326	Maternal care for compound presentation
	複合胎位的母體照護
    O326xx0	Maternal care for compound presentation, not applicable or unspecified
	不適用或未特定，複合胎位的母體照護
    O326xx1	Maternal care for compound presentation, fetus 1
	第一個胎兒複合胎位的母體照護
    O326xx2	Maternal care for compound presentation, fetus 2
	第二個胎兒複合胎位的母體照護
    O326xx3	Maternal care for compound presentation, fetus 3
	第三個胎兒複合胎位的母體照護
    O326xx4	Maternal care for compound presentation, fetus 4
	第四個胎兒複合胎位的母體照護
    O326xx5	Maternal care for compound presentation, fetus 5
	第五個胎兒複合胎位的母體照護
    O326xx9	Maternal care for compound presentation, other fetus
	其他胎兒複合胎位的母體照護
 O328	Maternal care for other malpresentation of fetus
	其他胎位不正的母體照護
    O328xx0	Maternal care for other malpresentation of fetus, not applicable or unspecified
	不適用或未特定，其他胎位不正的母體照護
    O328xx1	Maternal care for other malpresentation of fetus, fetus 1
	第一個胎兒其他胎位不正的母體照護
    O328xx2	Maternal care for other malpresentation of fetus, fetus 2
	第二個胎兒其他胎位不正的母體照護
    O328xx3	Maternal care for other malpresentation of fetus, fetus 3
	第三個胎兒其他胎位不正的母體照護
    O328xx4	Maternal care for other malpresentation of fetus, fetus 4
	第四個胎兒其他胎位不正的母體照護
    O328xx5	Maternal care for other malpresentation of fetus, fetus 5
	第五個胎兒其他胎位不正的母體照護
    O328xx9	Maternal care for other malpresentation of fetus, other fetus
	其他胎兒其他胎位不正的母體照護
 O329	Maternal care for malpresentation of fetus, unspecified
	未特定胎位不正的母體照護
    O329xx0	Maternal care for malpresentation of fetus, unspecified, not applicable or unspecified
	不適用或未特定，胎位不正的母體照護
    O329xx1	Maternal care for malpresentation of fetus, unspecified, fetus 1
	第一個胎兒胎位不正的母體照護
    O329xx2	Maternal care for malpresentation of fetus, unspecified, fetus 2
	第二個胎兒胎位不正的母體照護
    O329xx3	Maternal care for malpresentation of fetus, unspecified, fetus 3
	第三個胎兒胎位不正的母體照護
    O329xx4	Maternal care for malpresentation of fetus, unspecified, fetus 4
	第四個胎兒胎位不正的母體照護
    O329xx5	Maternal care for malpresentation of fetus, unspecified, fetus 5
	第五個胎兒胎位不正的母體照護
    O329xx9	Maternal care for malpresentation of fetus, unspecified, other fetus
	其他胎兒胎位不正的母體照護
O33	Maternal care for disproportion
	胎頭骨盆比例不對稱的母體照護
 O330	Maternal care for disproportion due to deformity of maternal pelvic bones
	骨盆畸形導致胎頭骨盆比例不對稱的母體照護
 O331	Maternal care for disproportion due to generally contracted pelvis
	一般性骨盆狹窄導致胎頭骨盆比例不對稱的母體照護
 O332	Maternal care for disproportion due to inlet contraction of pelvis
	骨盆入口狹窄導致胎頭骨盆比例不對稱的母體照護
 O333	Maternal care for disproportion due to outlet contraction of pelvis
	骨盆出口狹窄導致胎頭骨盆比例不對稱的母體照護
 O334	Maternal care for disproportion of mixed maternal and fetal origin
	混合源自母體及胎兒胎頭骨盆比例不對稱的母體照護
    O334xx0	Maternal care for disproportion of mixed maternal and fetal origin, not applicable or unspecified
	不適用或未特定，混合源自母體及胎兒胎頭骨盆比例不對稱的母體照護
    O334xx1	Maternal care for disproportion of mixed maternal and fetal origin, fetus 1
	第一個胎兒源自母體及胎兒胎頭骨盆比例不對稱的母體照護
    O334xx2	Maternal care for disproportion of mixed maternal and fetal origin, fetus 2
	第二個胎兒源自母體及胎兒胎頭骨盆比例不對稱的母體照護
    O334xx3	Maternal care for disproportion of mixed maternal and fetal origin, fetus 3
	第三個胎兒源自母體及胎兒胎頭骨盆比例不對稱的母體照護
    O334xx4	Maternal care for disproportion of mixed maternal and fetal origin, fetus 4
	第四個胎兒源自母體及胎兒胎頭骨盆比例不對稱的母體照護
    O334xx5	Maternal care for disproportion of mixed maternal and fetal origin, fetus 5
	第五個胎兒源自母體及胎兒胎頭骨盆比例不對稱的母體照護
    O334xx9	Maternal care for disproportion of mixed maternal and fetal origin, other fetus
	其他胎兒源自母體及胎兒胎頭骨盆比例不稱的母體照護
 O335	Maternal care for disproportion due to unusually large fetus
	胎兒過大導致胎頭骨盆比例不對稱的母體照護
    O335xx0	Maternal care for disproportion due to unusually large fetus, not applicable or unspecified
	不適用或未特定，胎兒過大導致胎頭骨盆比例不對稱的母體照護
    O335xx1	Maternal care for disproportion due to unusually large fetus, fetus 1
	第一個胎兒過大導致胎頭骨盆比例不對稱的母體照護
    O335xx2	Maternal care for disproportion due to unusually large fetus, fetus 2
	第二個胎兒過大導致胎頭骨盆比例不對稱的母體照護
    O335xx3	Maternal care for disproportion due to unusually large fetus, fetus 3
	第三個胎兒過大導致胎頭骨盆比例不對稱的母體照護
    O335xx4	Maternal care for disproportion due to unusually large fetus, fetus 4
	第四個胎兒過大導致胎頭骨盆比例不對稱的母體照護
    O335xx5	Maternal care for disproportion due to unusually large fetus, fetus 5
	第五個胎兒過大導致胎頭骨盆比例不對稱的母體照護
    O335xx9	Maternal care for disproportion due to unusually large fetus, other fetus
	其他個胎兒過大導致胎頭骨盆比例不對稱的母體照護
 O336	Maternal care for disproportion due to hydrocephalic fetus
	胎兒水腦導致胎頭骨盆比例不對稱的母體照護
    O336xx0	Maternal care for disproportion due to hydrocephalic fetus, not applicable or unspecified
	不適用或未特定，胎兒水腦導致胎頭骨盆比例不對稱的母體照護
    O336xx1	Maternal care for disproportion due to hydrocephalic fetus, fetus 1
	第一個胎兒水腦導致胎頭骨盆比例不對稱的母體照護
    O336xx2	Maternal care for disproportion due to hydrocephalic fetus, fetus 2
	第二個胎兒水腦導致胎頭骨盆比例不對稱的母體照護
    O336xx3	Maternal care for disproportion due to hydrocephalic fetus, fetus 3
	第三個胎兒水腦導致胎頭骨盆比例不對稱的母體照護
    O336xx4	Maternal care for disproportion due to hydrocephalic fetus, fetus 4
	第四個胎兒水腦導致胎頭骨盆比例不對稱的母體照護
    O336xx5	Maternal care for disproportion due to hydrocephalic fetus, fetus 5
	第五個胎兒水腦導致胎頭骨盆比例不對稱的母體照護
    O336xx9	Maternal care for disproportion due to hydrocephalic fetus, other fetus
	其他胎兒水腦導致胎頭骨盆比例不對稱的母體照護
 O337	Maternal care for disproportion due to other fetal deformities
	其他胎兒畸形導致胎頭骨盆比例不對稱的母體照護
    O337xx0	Maternal care for disproportion due to other fetal deformities, not applicable or unspecified
	不適用或未特定，其他胎兒畸形導致胎頭骨盆比例不對稱的母體照護
    O337xx1	Maternal care for disproportion due to other fetal deformities, fetus 1
	第一個胎兒其他畸形導致胎頭骨盆比例不對稱的母體照護
    O337xx2	Maternal care for disproportion due to other fetal deformities, fetus 2
	第二個胎兒其他畸形導致胎頭骨盆比例不對稱的母體照護
    O337xx3	Maternal care for disproportion due to other fetal deformities, fetus 3
	第三個胎兒其他畸形導致胎頭骨盆比例不對稱的母體照護
    O337xx4	Maternal care for disproportion due to other fetal deformities, fetus 4
	第四個胎兒其他畸形導致胎頭骨盆比例不對稱的母體照護
    O337xx5	Maternal care for disproportion due to other fetal deformities, fetus 5
	第五個胎兒其他畸形導致胎頭骨盆比例不對稱的母體照護
    O337xx9	Maternal care for disproportion due to other fetal deformities, other fetus
	其他胎兒，其他畸形導致胎頭骨盆比例不對稱的母體照護
 O338	Maternal care for disproportion of other origin
	其他原因導致胎頭骨盆比例不對稱的母體照護
 O339	Maternal care for disproportion, unspecified
	胎頭骨盆比例不對稱的母體照護，未特定
O34	Maternal care for abnormality of pelvic organs
	骨盆器官異常的母體照護
 O340	Maternal care for congenital malformation of uterus
	先天子宮畸形的母體照護
  O3400	Maternal care for unspecified congenital malformation of uterus, unspecified trimester
	先天性子宮畸形的母體照護，未特定妊娠期
  O3401	Maternal care for unspecified congenital malformation of uterus, first trimester
	先天性子宮畸形的母體照護，妊娠第一期
  O3402	Maternal care for unspecified congenital malformation of uterus, second trimester
	先天性子宮畸形的母體照護，妊娠第二期
  O3403	Maternal care for unspecified congenital malformation of uterus, third trimester
	先天性子宮畸形的母體照護，妊娠第三期
 O341	Maternal care for benign tumor of corpus uteri
	子宮體良性腫瘤的母體照護
  O3410	Maternal care for benign tumor of corpus uteri, unspecified trimester
	子宮體良性腫瘤的母體照護，未特定妊娠期
  O3411	Maternal care for benign tumor of corpus uteri, first trimester
	子宮體良性腫瘤的母體照護，妊娠第一期
  O3412	Maternal care for benign tumor of corpus uteri, second trimester
	子宮體良性腫瘤的母體照護，妊娠第二期
  O3413	Maternal care for benign tumor of corpus uteri, third trimester
	子宮體良性腫瘤的母體照護，妊娠第三期
 O342	Maternal care due to uterine scar from previous surgery
	先前手術導致子宮疤痕的母體照護
  O3421	Maternal care for scar from previous cesarean delivery
	前胎剖腹分娩導致疤痕的母體照護
  O3429	Maternal care due to uterine scar from other previous surgery
	先前手術導致子宮疤痕的母體照護
 O343	Maternal care for cervical incompetence
	子宮頸閉鎖不全的母體照護
  O3430	Maternal care for cervical incompetence, unspecified trimester
	子宮頸閉鎖不全的母體照護，未特定妊娠期
  O3431	Maternal care for cervical incompetence, first trimester
	子宮頸閉鎖不全的母體照護，妊娠第一期
  O3432	Maternal care for cervical incompetence, second trimester
	子宮頸閉鎖不全的母體照護，妊娠第二期
  O3433	Maternal care for cervical incompetence, third trimester
	子宮頸閉鎖不全的母體照護，妊娠第三期
 O344	Maternal care for other abnormalities of cervix
	其他子宮頸異常的母體照護
  O3440	Maternal care for other abnormalities of cervix, unspecified trimester
	其他子宮頸異常的母體照護，未特定妊娠期
  O3441	Maternal care for other abnormalities of cervix, first trimester
	其他子宮頸異常的母體照護，妊娠第一期
  O3442	Maternal care for other abnormalities of cervix, second trimester
	其他子宮頸異常的母體照護，妊娠第二期
  O3443	Maternal care for other abnormalities of cervix, third trimester
	其他子宮頸異常的母體照護，妊娠第三期
 O345	Maternal care for other abnormalities of gravid uterus
	妊娠其他異常的母體照護
  O3451	Maternal care for incarceration of gravid uterus
	妊娠子宮箝塞的母體照護
   O34511	Maternal care for incarceration of gravid uterus, first trimester
	妊娠子宮箝塞的母體照護，妊娠第一期
   O34512	Maternal care for incarceration of gravid uterus, second trimester
	妊娠子宮箝塞的母體照護，妊娠第二期
   O34513	Maternal care for incarceration of gravid uterus, third trimester
	妊娠子宮箝塞的母體照護，妊娠第三期
   O34519	Maternal care for incarceration of gravid uterus, unspecified trimester
	妊娠子宮箝塞的母體照護，未特定妊娠期
  O3452	Maternal care for prolapse of gravid uterus
	妊娠子宮脫垂的母體照護
   O34521	Maternal care for prolapse of gravid uterus, first trimester
	妊娠子宮脫垂的母體照護，妊娠第一期
   O34522	Maternal care for prolapse of gravid uterus, second trimester
	妊娠子宮脫垂的母體照護，妊娠第二期
   O34523	Maternal care for prolapse of gravid uterus, third trimester
	妊娠子宮脫垂的母體照護，妊娠第三期
   O34529	Maternal care for prolapse of gravid uterus, unspecified trimester
	妊娠子宮脫垂的母體照護，未特定妊娠期
  O3453	Maternal care for retroversion of gravid uterus
	妊娠子宮後屈的母體照護
   O34531	Maternal care for retroversion of gravid uterus, first trimester
	妊娠子宮後屈的母體照護，妊娠第一期
   O34532	Maternal care for retroversion of gravid uterus, second trimester
	妊娠子宮後屈的母體照護，妊娠第二期
   O34533	Maternal care for retroversion of gravid uterus, third trimester
	妊娠子宮後屈的母體照護，妊娠第三期
   O34539	Maternal care for retroversion of gravid uterus, unspecified trimester
	妊娠子宮後屈的母體照護，未特定妊娠期
  O3459	Maternal care for other abnormalities of gravid uterus
	妊娠子宮其他異常的母體照護
   O34591	Maternal care for other abnormalities of gravid uterus, first trimester
	妊娠子宮其他異常的母體照護，妊娠第一期
   O34592	Maternal care for other abnormalities of gravid uterus, second trimester
	妊娠子宮其他異常的母體照護，妊娠第二期
   O34593	Maternal care for other abnormalities of gravid uterus, third trimester
	妊娠子宮其他異常的母體照護，妊娠第三期
   O34599	Maternal care for other abnormalities of gravid uterus, unspecified trimester
	妊娠子宮其他異常的母體照護，未特定妊娠期
 O346	Maternal care for abnormality or vagina
	陰道異常的母體照護
  O3460	Maternal care for abnormality of vagina, unspecified trimester
	陰道異常的母體照護，未特定妊娠期
  O3461	Maternal care for abnormality of vagina, first trimester
	陰道異常的母體照護，妊娠第一期
  O3462	Maternal care for abnormality of vagina, second trimester
	陰道異常的母體照護，妊娠第二期
  O3463	Maternal care for abnormality of vagina, third trimester
	陰道異常的母體照護，妊娠第三期
 O347	Maternal care for abnormality of vulva and perineum
	外陰及會陰異常的母體照護
  O3470	Maternal care for abnormality of vulva and perineum, unspecified trimester
	外陰及會陰異常的母體照護，未特定妊娠期
  O3471	Maternal care for abnormality of vulva and perineum, first trimester
	外陰及會陰異常的母體照護，妊娠第一期
  O3472	Maternal care for abnormality of vulva and perineum, second trimester
	外陰及會陰異常的母體照護，妊娠第二期
  O3473	Maternal care for abnormality of vulva and perineum, third trimester
	外陰及會陰異常的母體照護，妊娠第三期
 O348	Maternal care for other abnormalities of pelvic organs
	骨盆腔器官其他異常的母體照護
  O3480	Maternal care for other abnormalities of pelvic organs, unspecified trimester
	骨盆腔器官其他異常的母體照護，未特定妊娠期
  O3481	Maternal care for other abnormalities of pelvic organs, first trimester
	骨盆腔器官其他異常的母體照護，妊娠第一期
  O3482	Maternal care for other abnormalities of pelvic organs, second trimester
	骨盆腔器官其他異常的母體照護，妊娠第二期
  O3483	Maternal care for other abnormalities of pelvic organs, third trimester
	骨盆腔器官其他異常的母體照護，妊娠第三期
 O349	Maternal care for abnormality of pelvic organ, unspecified
	未特定骨盆腔器官異常的母體照護
  O3490	Maternal care for abnormality of pelvic organ, unspecified, unspecified trimester
	骨盆腔器官異常的母體照護，未特定妊娠期
  O3491	Maternal care for abnormality of pelvic organ, unspecified, first trimester
	骨盆腔器官異常的母體照護，妊娠第一期
  O3492	Maternal care for abnormality of pelvic organ, unspecified, second trimester
	骨盆腔器官異常的母體照護，妊娠第二期
  O3493	Maternal care for abnormality of pelvic organ, unspecified, third trimester
	骨盆腔器官異常的母體照護，妊娠第三期
O35	Maternal care for known or suspected fetal abnormality and damage
	已知或疑似胎兒異常及損傷的母體照護
 O350	Maternal care for (suspected) central nervous system malformation in fetus
	胎兒(疑似)中樞神經系統畸形的母體照護
    O350xx0	Maternal care for (suspected) central nervous system malformation in fetus, not applicable or unspecified
	不適用或未特定(疑似)胎兒中樞神經系統畸形的母體照護
    O350xx1	Maternal care for (suspected) central nervous system malformation in fetus, fetus 1
	第一個胎兒(疑似)中樞神經系統畸形的母體照護
    O350xx2	Maternal care for (suspected) central nervous system malformation in fetus, fetus 2
	第二個胎兒(疑似)中樞神經系統畸形的母體照護
    O350xx3	Maternal care for (suspected) central nervous system malformation in fetus, fetus 3
	第三個胎兒(疑似)中樞神經系統畸形的母體照護
    O350xx4	Maternal care for (suspected) central nervous system malformation in fetus, fetus 4
