L00	Staphylococcal scalded skin syndrome
	慢性放射性皮膚炎
 L589	Radiodermatitis, unspecified
	輻射性皮膚炎，未特定
L59	Other disorders of skin and subcutaneous tissue related to radiation
	與輻射相關之皮膚及皮下組織的其他疾患
 L590	Erythema ab igne [dermatitis ab igne]
	火逼性紅斑
 L598	Other specified disorders of the skin and subcutaneous tissue related to radiation
	與輻射相關之皮膚及皮下組織的其他特定疾患
 L599	Disorder of the skin and subcutaneous tissue related to radiation, unspecified
	放射相關之皮膚及皮下組織疾患，未特定
L60	Nail disorders
	指（趾）甲疾患
 L600	Ingrowing nail
	指（趾）甲內生
 L601	Onycholysis
	指(趾)甲剝離
 L602	Onychogryphosis
	彎甲
 L603	Nail dystrophy
	指(趾)甲失養
 L604	Beau's lines
	波氏線(指甲橫溝症)
 L605	Yellow nail syndrome
	黃指(趾)甲症候群
 L608	Other nail disorders
	其他指（趾）甲疾患
 L609	Nail disorder, unspecified
	指（趾）甲疾患，未特定
L62	Nail disorders in diseases classified elsewhere
	歸類於他處疾病所致之指（趾）甲疾患
L63	Alopecia areata
	圓禿
 L630	Alopecia (capitis) totalis
	全頭禿
 L631	Alopecia universalis
	全身禿
 L632	Ophiasis
	蛇行狀禿髮
 L638	Other alopecia areata
	其他圓禿
 L639	Alopecia areata, unspecified
	圓禿，未特定
L64	Androgenic alopecia
	雄性禿
 L640	Drug-induced androgenic alopecia
	藥物導致之雄性禿
 L648	Other androgenic alopecia
	其他雄性禿
 L649	Androgenic alopecia, unspecified
	雄性禿，未特定
L65	Other nonscarring hair loss
	其他非疤痕性掉髮
 L650	Telogen effluvium
	休止期落髮
 L651	Anagen effluvium
	生長期落髮
 L652	Alopecia mucinosa
	黏液性禿
 L658	Other specified nonscarring hair loss
	其他特定非疤痕性掉髮
 L659	Nonscarring hair loss, unspecified
	非疤痕性掉髮，未特定
L66	Cicatricial alopecia [scarring hair loss]
	疤痕性禿髮 [疤痕性掉髮]
 L660	Pseudopelade
	假斑狀禿髮
 L661	Lichen planopilaris
	毛孔扁平苔癬
 L662	Folliculitis decalvans
	禿性毛囊炎
 L663	Perifolliculitis capitis abscedens
	頭部膿腫性毛囊周圍炎
 L664	Folliculitis ulerythematosa reticulata
	網狀紅斑毛囊炎
 L668	Other cicatricial alopecia
	其他疤痕性禿髮
 L669	Cicatricial alopecia, unspecified
	疤痕性禿髮，未特定
L67	Hair color and hair shaft abnormalities
	髮色及髮幹異常
 L670	Trichorrhexis nodosa
	結節性脆髮症
 L671	Variations in hair color
	髮色變異
 L678	Other hair color and hair shaft abnormalities
	其他髮色及髮幹異常
 L679	Hair color and hair shaft abnormality, unspecified
	髮色及髮幹異常，未特定
L68	Hypertrichosis
	多毛症
 L680	Hirsutism
	男樣多毛症
 L681	Acquired hypertrichosis lanuginosa
	後天性胎毛性多毛症
 L682	Localized hypertrichosis
	局限性多毛症
 L683	Polytrichia
	多毛症
 L688	Other hypertrichosis
	其他多毛症
 L689	Hypertrichosis, unspecified
	多毛症，未特定
L70	Acne
	痤瘡
 L700	Acne vulgaris
	尋常性痤瘡
 L701	Acne conglobata
	團聚性痤瘡
 L702	Acne varioliformis
	痘瘡樣痤瘡
 L703	Acne tropica
	熱帶性痤瘡
 L704	Infantile acne
	嬰兒痤瘡
 L705	Acne excoriee des jeunes filles
	少女摳抓性痤瘡
 L708	Other acne
	其他痤瘡
 L709	Acne, unspecified
	痤瘡，未特定
L71	Rosacea
	酒渣
 L710	Perioral dermatitis
	口圍皮膚炎
 L711	Rhinophyma
	酒糟鼻；鼻贅疣
 L718	Other rosacea
	其他酒渣
 L719	Rosacea, unspecified
	酒渣，未特定
L72	Follicular cysts of skin and subcutaneous tissue
	皮膚及皮下組織的毛囊囊腫
 L720	Epidermal cyst
	表皮囊腫
 L721	Trichodermal cyst
	外毛根鞘囊腫
 L722	Steatocystoma multiplex
	多發性皮脂腺囊腫
 L728	Other follicular cysts of the skin and subcutaneous tissue
	皮膚及皮下組織的其他毛囊囊腫
 L729	Follicular cyst of the skin and subcutaneous tissue, unspecified
	皮膚及皮下組織的毛囊囊腫，未特定
L73	Other follicular disorders
	其他毛囊疾患
 L730	Acne keloid
	痤瘡蟹足腫
 L731	Pseudofolliculitis barbae
	鬚部假毛囊炎
 L732	Hidradenitis suppurativa
	化膿性汗腺炎
 L738	Other specified follicular disorders
	其他特定毛囊疾患
 L739	Follicular disorder, unspecified
	毛囊疾患，未特定
L74	Eccrine sweat disorders
	汗腺疾患
 L740	Miliaria rubra
	紅色汗疹
 L741	Miliaria crystallina
	晶狀汗疹
 L742	Miliaria profunda
	深層汗疹
 L743	Miliaria, unspecified
	汗疹、(痱子)，未特定
 L744	Anhidrosis
	無汗症
 L745	Focal hyperhidrosis
	局部多汗症
  L7451	Primary focal hyperhidrosis
	原發性局部多汗症
   L74510	Primary focal hyperhidrosis, axilla
	腋下原發性局部多汗症
   L74511	Primary focal hyperhidrosis, face
	臉部原發性局部多汗症
   L74512	Primary focal hyperhidrosis, palms
	手掌原發性局部多汗症
   L74513	Primary focal hyperhidrosis, soles
	足蹠原發性局部多汗症
   L74519	Primary focal hyperhidrosis, unspecified
	原發性局部多汗症，未特定
  L7452	Secondary focal hyperhidrosis
	次發性局部多汗症
 L748	Other eccrine sweat disorders
	其他汗腺疾患
 L749	Eccrine sweat disorder, unspecified
	汗腺疾患，未特定
L75	Apocrine sweat disorders
	頂漿腺疾患
 L750	Bromhidrosis
	臭汗症
 L751	Chromhidrosis
	色汗症
 L752	Apocrine miliaria
	頂漿腺汗疹
 L758	Other apocrine sweat disorders
	其他頂漿腺疾患
 L759	Apocrine sweat disorder, unspecified
	頂漿腺疾患，未特定
L76	Intraoperative and postprocedural complications of skin and subcutaneous tissue
	手術中和處置後皮膚及皮下組織併發症
 L760	Intraoperative hemorrhage and hematoma of skin and subcutaneous tissue complicating a procedure
	處置併發皮膚及皮下組織的術中出血及血腫
  L7601	Intraoperative hemorrhage and hematoma of skin and subcutaneous tissue complicating a dermatologic procedure
	皮膚處置併發皮膚及皮下組織的術中出血及血腫
  L7602	Intraoperative hemorrhage and hematoma of skin and subcutaneous tissue complicating other procedure
	其他處置併發皮膚及皮下組織的術中出血及血腫
 L761	Accidental puncture and laceration of skin and subcutaneous tissue during a procedure
	處置中皮膚及皮下組織的意外刺穿及裂傷
  L7611	Accidental puncture and laceration of skin and subcutaneous tissue during a dermatologic procedure
	皮膚處置中皮膚及皮下組織的意外刺穿及裂傷
  L7612	Accidental puncture and laceration of skin and subcutaneous tissue during other procedure
	其他處置中皮膚及皮下組織的意外刺穿及裂傷
 L762	Postprocedural hemorrhage and hematoma of skin and subcutaneous tissue following a procedure
	處置後皮膚及皮下組織出血及血腫
  L7621	Postprocedural hemorrhage and hematoma of skin and subcutaneous tissue following a dermatologic procedure
	皮膚處置後皮膚及皮下組織出血及血腫
  L7622	Postprocedural hemorrhage and hematoma of skin and subcutaneous tissue following other procedure
	其他處置後皮膚及皮下組織出血及血腫
 L768	Other intraoperative and postprocedural complications of skin and subcutaneous tissue
	其他手術中及處置後皮膚及皮下組織併發症
  L7681	Other intraoperative complications of skin and subcutaneous tissue
	其他手術中皮膚及皮下組織併發症
  L7682	Other postprocedural complications of skin and subcutaneous tissue
	其他處置後皮膚及皮下組織併發症
L80	Vitiligo
	白斑
L81	Other disorders of pigmentation
	其他色素沉著疾患
 L810	Postinflammatory hyperpigmentation
	發炎後色素過度沉著症
 L811	Chloasma
	肝斑
 L812	Freckles
	雀斑
 L813	Cafe au lait spots
	咖啡牛奶斑
 L814	Other melanin hyperpigmentation
	其他黑色素過度沉著
 L815	Leukoderma, not elsewhere classified
	白皮症，他處未歸類者
 L816	Other disorders of diminished melanin formation
	減少黑色素形成的其他疾患
 L817	Pigmented purpuric dermatosis
	色素性紫斑皮膚病
 L818	Other specified disorders of pigmentation
	其他特定的色素沉著疾患
 L819	Disorder of pigmentation, unspecified
	色素沉著疾患，未特定
L82	Seborrheic keratosis
	脂漏性角化症
 L820	Inflamed seborrheic keratosis
	發炎性脂漏性角化症
 L821	Other seborrheic keratosis
	其他脂漏性角化症
L83	Acanthosis nigricans
	黑棘皮症
L84	Corns and callosities
	雞眼及胼胝
L85	Other epidermal thickening
	其他表皮增厚
 L850	Acquired ichthyosis
	後天性魚鱗癬
 L851	Acquired keratosis [keratoderma] palmaris et plantaris
	後天性掌蹠角化症
 L852	Keratosis punctata (palmaris et plantaris)
	點狀角化症(手掌與腳底)
 L853	Xerosis cutis
	乾皮症
 L858	Other specified epidermal thickening
	其他特定表皮增厚
 L859	Epidermal thickening, unspecified
	表皮增厚，未特定
L86	Keratoderma in diseases classified elsewhere
	歸類於他處疾病所致之角皮症
L87	Transepidermal elimination disorders
	經表皮排出疾患
 L870	Keratosis follicularis et parafollicularis in cutem penetrans
	毛囊及毛囊旁過度角化症(Kyrle氏症)
 L871	Reactive perforating collagenosis
	反應性穿孔性膠原蛋白病
 L872	Elastosis perforans serpiginosa
	匍行性穿通性彈力纖維變性
 L878	Other transepidermal elimination disorders
	其他經表皮排除疾患
 L879	Transepidermal elimination disorder, unspecified
	經表皮排出疾患，未特定
L88	Pyoderma gangrenosum
	壞疽性膿皮症
L89	Pressure ulcer
	壓迫性潰瘍
 L890	Pressure ulcer of elbow
	肘部壓迫性潰瘍
  L8900	Pressure ulcer of unspecified elbow
	肘部壓迫性潰瘍，未特定
   L89000	Pressure ulcer of unspecified elbow, unstageable
	肘部壓迫性潰瘍，無法分期
   L89001	Pressure ulcer of unspecified elbow, stage 1
	肘部壓迫性潰瘍，第一期
   L89002	Pressure ulcer of unspecified elbow, stage 2
	肘部壓迫性潰瘍，第二期
   L89003	Pressure ulcer of unspecified elbow, stage 3
	肘部壓迫性潰瘍，第三期
   L89004	Pressure ulcer of unspecified elbow, stage 4
	肘部壓迫性潰瘍，第四期
   L89009	Pressure ulcer of unspecified elbow, unspecified stage
	肘部壓迫性潰瘍，未特定分期
  L8901	Pressure ulcer of right elbow
	右肘壓迫性潰瘍
   L89010	Pressure ulcer of right elbow, unstageable
	右肘壓迫性潰瘍，無法分期
   L89011	Pressure ulcer of right elbow, stage I
	右肘壓迫性潰瘍，第一期
   L89012	Pressure ulcer of right elbow, stage II
	右肘壓迫性潰瘍，第二期
   L89013	Pressure ulcer of right elbow, stage III
	右肘壓迫性潰瘍，第三期
   L89014	Pressure ulcer of right elbow, stage IV
	右肘壓迫性潰瘍，第四期
   L89019	Pressure ulcer of right elbow, unspecified stage
	右肘壓迫性潰瘍，未特定分期
  L8902	Pressure ulcer of left elbow
	左肘壓迫性潰瘍
   L89020	Pressure ulcer of left elbow, unstageable
	左肘壓迫性潰瘍，無法分期
   L89021	Pressure ulcer of left elbow, stage I
	左肘壓迫性潰瘍，第一期
   L89022	Pressure ulcer of left elbow, stage II
	左肘壓迫性潰瘍，第二期
   L89023	Pressure ulcer of left elbow, stage III
	左肘壓迫性潰瘍，第三期
   L89024	Pressure ulcer of left elbow, stage IV
	左肘壓迫性潰瘍，第四期
   L89029	Pressure ulcer of left elbow, unspecified stage
	左肘壓迫性潰瘍，未特定分期
 L891	Pressure ulcer of back
	背部壓迫性潰瘍
  L8910	Pressure ulcer of unspecified part of back
	背部壓迫性潰瘍，未特定
   L89100	Pressure ulcer of unspecified part of back, unstageable
	背部壓迫性潰瘍，無法分期
   L89101	Pressure ulcer of unspecified part of back, stage I
	背部壓迫性潰瘍，第一期
   L89102	Pressure ulcer of unspecified part of back, stage II
	背部壓迫性潰瘍，第二期
   L89103	Pressure ulcer of unspecified part of back, stage III
	背部壓迫性潰瘍，第三期
   L89104	Pressure ulcer of unspecified part of back, stage IV
	背部壓迫性潰瘍，第四期
   L89109	Pressure ulcer of unspecified part of back, unspecified stage
	背部壓迫性潰瘍，未特定分期
  L8911	Pressure ulcer of right upper back
	右上背部壓迫性潰瘍
   L89110	Pressure ulcer of right upper back, unstageable
	右上背部壓迫性潰瘍，無法分期
   L89111	Pressure ulcer of right upper back, stage I
	右上背部壓迫性潰瘍，第一期
   L89112	Pressure ulcer of right upper back, stage II
	右上背部壓迫性潰瘍，第二期
   L89113	Pressure ulcer of right upper back, stage III
	右上背部壓迫性潰瘍，第三期
   L89114	Pressure ulcer of right upper back, stage IV
	右上背部壓迫性潰瘍，第四期
   L89119	Pressure ulcer of right upper back, unspecified stage
	右上背部壓迫性潰瘍，未特定分期
  L8912	Pressure ulcer of left upper back
	左上背部壓迫性潰瘍
   L89120	Pressure ulcer of left upper back, unstageable
	左上背部壓迫性潰瘍，無法分期
   L89121	Pressure ulcer of left upper back, stage I
	左上背部壓迫性潰瘍，第一期
   L89122	Pressure ulcer of left upper back, stage II
	左上背部壓迫性潰瘍，第二期
   L89123	Pressure ulcer of left upper back, stage III
	左上背部壓迫性潰瘍，第三期
   L89124	Pressure ulcer of left upper back, stage IV
	左上背部壓迫性潰瘍，第四期
   L89129	Pressure ulcer of left upper back, unspecified stage
	左上背部壓迫性潰瘍，未特定分期
  L8913	Pressure ulcer of right lower back
	右下背部壓迫性潰瘍
   L89130	Pressure ulcer of right lower back, unstageable
	右下背部壓迫性潰瘍，無法分期
   L89131	Pressure ulcer of right lower back, stage I
	右下背部壓迫性潰瘍，第一期
   L89132	Pressure ulcer of right lower back, stage II
	右下背部壓迫性潰瘍，第二期
   L89133	Pressure ulcer of right lower back, stage III
	右下背部壓迫性潰瘍，第三期
   L89134	Pressure ulcer of right lower back, stage IV
	右下背部壓迫性潰瘍，第四期
   L89139	Pressure ulcer of right lower back, unspecified stage
	右下背部壓迫性潰瘍，未特定分期
  L8914	Pressure ulcer of left lower back
	左下背部壓迫性潰瘍
   L89140	Pressure ulcer of left lower back, unstageable
	左下背部壓迫性潰瘍，無法分期
   L89141	Pressure ulcer of left lower back, stage I
	左下背部壓迫性潰瘍，第一期
   L89142	Pressure ulcer of left lower back, stage II
	左下背部壓迫性潰瘍，第二期
   L89143	Pressure ulcer of left lower back, stage III
	左下背部壓迫性潰瘍，第三期
   L89144	Pressure ulcer of left lower back, stage IV
	左下背部壓迫性潰瘍，第四期
   L89149	Pressure ulcer of left lower back, unspecified stage
	左下背部壓迫性潰瘍，未特定分期
  L8915	Pressure ulcer of sacral region
	薦骨壓迫性潰瘍
   L89150	Pressure ulcer of sacral region, unstageable
	薦骨壓迫性潰瘍，無法分期
   L89151	Pressure ulcer of sacral region, stage I
	薦骨壓迫性潰瘍，第一期
   L89152	Pressure ulcer of sacral region, stage II
	薦骨壓迫性潰瘍，第二期
   L89153	Pressure ulcer of sacral region, stage III
	薦骨壓迫性潰瘍，第三期
   L89154	Pressure ulcer of sacral region, stage IV
	薦骨壓迫性潰瘍，第四期
   L89159	Pressure ulcer of sacral region, unspecified stage
	薦骨壓迫性潰瘍，未特定分期
 L892	Pressure ulcer of hip
	髖部壓迫性潰瘍
  L8920	Pressure ulcer of unspecified hip
	髖部壓迫性潰瘍，未特定
   L89200	Pressure ulcer of unspecified hip, unstageable
	髖部壓迫性潰瘍，無法分期
   L89201	Pressure ulcer of unspecified hip, stage I
	髖部壓迫性潰瘍，第一期
   L89202	Pressure ulcer of unspecified hip, stage II
	髖部壓迫性潰瘍，第二期
   L89203	Pressure ulcer of unspecified hip, stage III
	髖部壓迫性潰瘍，第三期
   L89204	Pressure ulcer of unspecified hip, stage IV
	髖部壓迫性潰瘍，第四期
   L89209	Pressure ulcer of unspecified hip, unspecified stage
	髖部壓迫性潰瘍，未特定分期
  L8921	Pressure ulcer of right hip
	右髖部壓迫性潰瘍
   L89210	Pressure ulcer of right hip, unstageable
	右髖部壓迫性潰瘍，無法分期
   L89211	Pressure ulcer of right hip, stage I
	右髖部壓迫性潰瘍，第一期
   L89212	Pressure ulcer of right hip, stage II
	右髖部壓迫性潰瘍，第二期
   L89213	Pressure ulcer of right hip, stage III
	右髖部壓迫性潰瘍，第三期
   L89214	Pressure ulcer of right hip, stage IV
	右髖部壓迫性潰瘍，第四期
   L89219	Pressure ulcer of right hip, unspecified stage
	右髖部壓迫性潰瘍，未特定分期
  L8922	Pressure ulcer of left hip
	左髖部壓迫性潰瘍
   L89220	Pressure ulcer of left hip, unstageable
	左髖部壓迫性潰瘍，無法分期
   L89221	Pressure ulcer of left hip, stage I
	左髖部壓迫性潰瘍，第一期
   L89222	Pressure ulcer of left hip, stage II
	左髖部壓迫性潰瘍，第二期
   L89223	Pressure ulcer of left hip, stage III
	左髖部壓迫性潰瘍，第三期
   L89224	Pressure ulcer of left hip, stage IV
	左髖部壓迫性潰瘍，第四期
   L89229	Pressure ulcer of left hip, unspecified stage
	左髖部壓迫性潰瘍，未特定分期
 L893	Pressure ulcer of buttock
	臀部壓迫性潰瘍
  L8930	Pressure ulcer of unspecified buttock
	臀部壓迫性潰瘍，未特定
   L89300	Pressure ulcer of unspecified buttock, unstageable
	臀部壓迫性潰瘍，無法分期
   L89301	Pressure ulcer of unspecified buttock, stage I
	臀部壓迫性潰瘍，第一期
   L89302	Pressure ulcer of unspecified buttock, stage II
	臀部壓迫性潰瘍，第二期
   L89303	Pressure ulcer of unspecified buttock, stage III
	臀部壓迫性潰瘍，第三期
   L89304	Pressure ulcer of unspecified buttock, stage IV
	臀部壓迫性潰瘍，第四期
   L89309	Pressure ulcer of unspecified buttock, unspecified stage
	臀部壓迫性潰瘍，未特定分期
  L8931	Pressure ulcer of right buttock
	右臀部壓迫性潰瘍
   L89310	Pressure ulcer of right buttock, unstageable
	右臀部壓迫性潰瘍，無法分期
   L89311	Pressure ulcer of right buttock, stage I
	右臀部壓迫性潰瘍，第一期
   L89312	Pressure ulcer of right buttock, stage II
	右臀部壓迫性潰瘍，第二期
   L89313	Pressure ulcer of right buttock, stage III
	右臀部壓迫性潰瘍，第三期
   L89314	Pressure ulcer of right buttock, stage IV
	右臀部壓迫性潰瘍，第四期
   L89319	Pressure ulcer of right buttock, unspecified stage
	右臀部壓迫性潰瘍，未特定分期
  L8932	Pressure ulcer of left buttock
	左臀部壓迫性潰瘍
   L89320	Pressure ulcer of left buttock, unstageable
	左臀部壓迫性潰瘍，無法分期
   L89321	Pressure ulcer of left buttock, stage I
	左臀部壓迫性潰瘍，第一期
   L89322	Pressure ulcer of left buttock, stage II
	左臀部壓迫性潰瘍，第二期
   L89323	Pressure ulcer of left buttock, stage III
	左臀部壓迫性潰瘍，第三期
   L89324	Pressure ulcer of left buttock, stage IV
	左臀部壓迫性潰瘍，第四期
   L89329	Pressure ulcer of left buttock, unspecified stage
	左臀部壓迫性潰瘍，未特定分期
 L894	Pressure ulcer of contiguous site of back, buttock and hip
	背，臀和髖的連接部位壓迫性潰瘍
  L8940	Pressure ulcer of contiguous site of back, buttock and hip, unspecified stage
	背，臀和髖的連接部位壓迫性潰瘍，未特定分期
  L8941	Pressure ulcer of contiguous site of back, buttock and hip, stage I
	背，臀和髖的連接部位壓迫性潰瘍，第一期
  L8942	Pressure ulcer of contiguous site of back, buttock and hip, stage II
	背，臀和髖的連接部位壓迫性潰瘍，第二期
  L8943	Pressure ulcer of contiguous site of back, buttock and hip, stage III
	背，臀和髖的連接部位壓迫性潰瘍，第三期
  L8944	Pressure ulcer of contiguous site of back, buttock and hip, stage IV
	背，臀和髖的連接部位壓迫性潰瘍，第四期
  L8945	Pressure ulcer of contiguous site of back, buttock and hip, unstageable
	背，臀和髖的連接部位壓迫性潰瘍，無法分期
 L895	Pressure ulcer of ankle
	踝部壓迫性潰瘍
  L8950	Pressure ulcer of unspecified ankle
	踝部壓迫性潰瘍，未特定
   L89500	Pressure ulcer of unspecified ankle, unstageable
	踝部壓迫性潰瘍，無法分期
   L89501	Pressure ulcer of unspecified ankle, stage I
	踝部壓迫性潰瘍，第一期
   L89502	Pressure ulcer of unspecified ankle, stage II
	踝部壓迫性潰瘍，第二期
   L89503	Pressure ulcer of unspecified ankle, stage III
	踝部壓迫性潰瘍，第三期
   L89504	Pressure ulcer of unspecified ankle, stage IV
	踝部壓迫性潰瘍，第四期
   L89509	Pressure ulcer of unspecified ankle, unspecified stage
	踝部壓迫性潰瘍，未特定分期
  L8951	Pressure ulcer of right ankle
	右踝部壓迫性潰瘍
   L89510	Pressure ulcer of right ankle, unstageable
	右踝部壓迫性潰瘍，無法分期
   L89511	Pressure ulcer of right ankle, stage I
	右踝部壓迫性潰瘍，第一期
   L89512	Pressure ulcer of right ankle, stage II
	右踝部壓迫性潰瘍，第二期
   L89513	Pressure ulcer of right ankle, stage III
	右踝部壓迫性潰瘍，第三期
   L89514	Pressure ulcer of right ankle, stage IV
	右踝部壓迫性潰瘍，第四期
   L89519	Pressure ulcer of right ankle, unspecified stage
	右踝部壓迫性潰瘍，未特定分期
  L8952	Pressure ulcer of left ankle
	左踝部壓迫性潰瘍
   L89520	Pressure ulcer of left ankle, unstageable
	左踝部壓迫性潰瘍，無法分期
   L89521	Pressure ulcer of left ankle, stage I
	左踝部壓迫性潰瘍，第一期
   L89522	Pressure ulcer of left ankle, stage II
	左踝部壓迫性潰瘍，第二期
   L89523	Pressure ulcer of left ankle, stage III
	左踝部壓迫性潰瘍，第三期
   L89524	Pressure ulcer of left ankle, stage IV
	左踝部壓迫性潰瘍，第四期
   L89529	Pressure ulcer of left ankle, unspecified stage
	左踝部壓迫性潰瘍，未特定分期
 L896	Pressure ulcer of heel
	足跟壓迫性潰瘍
  L8960	Pressure ulcer of unspecified heel
	足跟壓迫性潰瘍，未特定
   L89600	Pressure ulcer of unspecified heel, unstageable
	足跟壓迫性潰瘍，無法分期
   L89601	Pressure ulcer of unspecified heel, stage I
	足跟壓迫性潰瘍，第一期
   L89602	Pressure ulcer of unspecified heel, stage II
	足跟壓迫性潰瘍，第二期
   L89603	Pressure ulcer of unspecified heel, stage III
	足跟壓迫性潰瘍，第三期
   L89604	Pressure ulcer of unspecified heel, stage IV
	足跟壓迫性潰瘍，第四期
   L89609	Pressure ulcer of unspecified heel, unspecified stage
	足跟壓迫性潰瘍，未特定分期
  L8961	Pressure ulcer of right heel
	右足跟壓迫性潰瘍
   L89610	Pressure ulcer of right heel, unstageable
	右足跟壓迫性潰瘍，無法分期
   L89611	Pressure ulcer of right heel, stage I
	右足跟壓迫性潰瘍，第一期
   L89612	Pressure ulcer of right heel, stage II
	右足跟壓迫性潰瘍，第二期
   L89613	Pressure ulcer of right heel, stage III
	右足跟壓迫性潰瘍，第三期
   L89614	Pressure ulcer of right heel, stage IV
	右足跟壓迫性潰瘍，第四期
   L89619	Pressure ulcer of right heel, unspecified stage
	右足跟壓迫性潰瘍，未特定分期
  L8962	Pressure ulcer of left heel
	左足跟壓迫性潰瘍
   L89620	Pressure ulcer of left heel, unstageable
	左足跟壓迫性潰瘍，無法分期
   L89621	Pressure ulcer of left heel, stage I
	左足跟壓迫性潰瘍，第一期
   L89622	Pressure ulcer of left heel, stage II
	左足跟壓迫性潰瘍，第二期
   L89623	Pressure ulcer of left heel, stage III
	左足跟壓迫性潰瘍，第三期
   L89624	Pressure ulcer of left heel, stage IV
	左足跟壓迫性潰瘍，第四期
   L89629	Pressure ulcer of left heel, unspecified stage
	左足跟壓迫性潰瘍，未特定分期
 L898	Pressure ulcer of other site
	其他部位壓迫性潰瘍
  L8981	Pressure ulcer of head
	頭部壓迫性潰瘍
   L89810	Pressure ulcer of head, unstageable
	頭部壓迫性潰瘍，無法分期
   L89811	Pressure ulcer of head, stage I
	頭部壓迫性潰瘍，第一期
   L89812	Pressure ulcer of head, stage II
	頭部壓迫性潰瘍，第二期
   L89813	Pressure ulcer of head, stage III
	頭部壓迫性潰瘍，第三期
   L89814	Pressure ulcer of head, stage IV
	頭部壓迫性潰瘍，第四期
   L89819	Pressure ulcer of head, unspecified stage
	頭部壓迫性潰瘍，未特定分期
  L8989	Pressure ulcer of other site
	其他部位壓迫性潰瘍
   L89890	Pressure ulcer of other site, unstageable
	其他部位壓迫性潰瘍，無法分期
   L89891	Pressure ulcer of other site, stage I
	其他部位壓迫性潰瘍，第一期
   L89892	Pressure ulcer of other site, stage II
	其他部位壓迫性潰瘍，第二期
   L89893	Pressure ulcer of other site, stage III
	其他部位壓迫性潰瘍，第三期
   L89894	Pressure ulcer of other site, stage IV
	其他部位壓迫性潰瘍，第四期
   L89899	Pressure ulcer of other site, unspecified stage
	其他部位壓迫性潰瘍，未特定分期
 L899	Pressure ulcer of unspecified site
	未特定部位之壓迫性潰瘍
  L8990	Pressure ulcer of unspecified site, unspecified stage
	未特定部位之壓迫性潰瘍，未特定分期
  L8991	Pressure ulcer of unspecified site, stage I
	未特定部位之壓迫性潰瘍，第一期
  L8992	Pressure ulcer of unspecified site, stage II
	未特定部位之壓迫性潰瘍，第二期
  L8993	Pressure ulcer of unspecified site, stage III
	未特定部位之壓迫性潰瘍，第三期
  L8994	Pressure ulcer of unspecified site, stage IV
	未特定部位之壓迫性潰瘍，第四期
  L8995	Pressure ulcer of unspecified site, unstageable
	未特定部位之壓迫性潰瘍，無法分期
L90	Atrophic disorders of skin
	皮膚的萎縮性疾患
 L900	Lichen sclerosus et atrophicus
	硬化性萎縮性苔癬
 L901	Anetoderma of Schweninger-Buzzi
	Schweninger-Buzzi 皮膚鬆弛症(施韋寧格-布齊氏皮膚鬆弛症)
 L902	Anetoderma of Jadassohn-Pellizzari
	Jadassohn-Pellizzari 皮膚鬆弛症(雅達松氏皮膚鬆弛症)
 L903	Atrophoderma of Pasini and Pierini
	Pasini and Pierini 氏皮萎病(帕西尼及皮瑞尼氏皮萎病)
 L904	Acrodermatitis chronica atrophicans
	慢性萎縮性肢端皮膚炎
 L905	Scar conditions and fibrosis of skin
	疤痕及皮膚纖維化
 L906	Striae atrophicae
	萎縮紋
 L908	Other atrophic disorders of skin
	皮膚的其他萎縮性疾患
 L909	Atrophic disorder of skin, unspecified
	皮膚的萎縮性疾患，未特定
L91	Hypertrophic disorders of skin
	皮膚的肥厚性疾患
 L910	Hypertrophic scar
	肥厚性疤痕
 L918	Other hypertrophic disorders of the skin
	皮膚的其他肥厚性疾患
 L919	Hypertrophic disorder of the skin, unspecified
	皮膚的肥厚性疾患，未特定
L92	Granulomatous disorders of skin and subcutaneous tissue
	皮膚及皮下組織的肉芽腫疾患
 L920	Granuloma annulare
	環狀肉芽瘤
 L921	Necrobiosis lipoidica, not elsewhere classified
	類脂質漸進性壞死，他處未歸類者
 L922	Granuloma faciale [eosinophilic granuloma of skin]
	顏面肉芽瘤(嗜伊紅球性肉芽腫)
 L923	Foreign body granuloma of the skin and subcutaneous tissue
	皮膚及皮下組織異物肉芽腫
 L928	Other granulomatous disorders of the skin and subcutaneous tissue
	皮膚及皮下組織的其他肉芽腫疾患
 L929	Granulomatous disorder of the skin and subcutaneous tissue, unspecified
	皮膚及皮下組織的肉芽腫疾患，未特定
L93	Lupus erythematosus
	紅斑性狼瘡
 L930	Discoid lupus erythematosus
	盤狀紅斑性狼瘡
 L931	Subacute cutaneous lupus erythematosus
	亞急性皮膚紅斑性狼瘡
 L932	Other local lupus erythematosus
	其他局部紅斑性狼瘡
L94	Other localized connective tissue disorders
	其他局限性結締組織疾患
 L940	Localized scleroderma [morphea]
	局限性硬皮病，(鞏皮病)
 L941	Linear scleroderma
	線狀硬皮病
 L942	Calcinosis cutis
	皮膚鈣質沉著症
 L943	Sclerodactyly
	指硬化    
 L944	Gottron's papules
	Gottron's丘疹
 L945	Poikiloderma vasculare atrophicans
	血管性多形皮膚萎縮症
 L946	Ainhum
	自發性斷指
 L948	Other specified localized connective tissue disorders
	其他特定局限性結締組織疾患
 L949	Localized connective tissue disorder, unspecified
	局限性結締組織疾患，未特定
L95	Vasculitis limited to skin, not elsewhere classified
	皮膚局限型的血管炎，無其他分類
 L950	Livedoid vasculitis
	青斑狀血管炎
 L951	Erythema elevatum diutinum
	持久性隆起性紅斑
