S00	Superficial injury of head
	陰莖開放性咬傷
    S3125xA	Open bite of penis, initial encounter
	陰莖開放性咬傷之初期照護
    S3125xD	Open bite of penis, subsequent encounter
	陰莖開放性咬傷之後續照護
    S3125xS	Open bite of penis, sequela
	陰莖開放性咬傷之後遺症
 S313	Open wound of scrotum and testes
	陰囊和睪丸開放性傷口
  S3130	Unspecified open wound of scrotum and testes
	陰囊和睪丸未特定開放性傷口
    S3130xA	Unspecified open wound of scrotum and testes, initial encounter
	陰囊和睪丸未特定開放性傷口之初期照護
    S3130xD	Unspecified open wound of scrotum and testes, subsequent encounter
	陰囊和睪丸未特定開放性傷口之後續照護
    S3130xS	Unspecified open wound of scrotum and testes, sequela
	陰囊和睪丸未特定開放性傷口之後遺症
  S3131	Laceration without foreign body of scrotum and testes
	陰囊和睪丸無異物撕裂性傷口
    S3131xA	Laceration without foreign body of scrotum and testes, initial encounter
	陰囊和睪丸無異物撕裂性傷口之初期照護
    S3131xD	Laceration without foreign body of scrotum and testes, subsequent encounter
	陰囊和睪丸無異物撕裂性傷口之後續照護
    S3131xS	Laceration without foreign body of scrotum and testes, sequela
	陰囊和睪丸無異物撕裂性傷口之後遺症
  S3132	Laceration with foreign body of scrotum and testes
	陰囊和睪丸有異物撕裂性傷口
    S3132xA	Laceration with foreign body of scrotum and testes, initial encounter
	陰囊和睪丸有異物撕裂性傷口之初期照護
    S3132xD	Laceration with foreign body of scrotum and testes, subsequent encounter
	陰囊和睪丸有異物撕裂性傷口之後續照護
    S3132xS	Laceration with foreign body of scrotum and testes, sequela
	陰囊和睪丸有異物撕裂性傷口之後遺症
  S3133	Puncture wound without foreign body of scrotum and testes
	陰囊和睪丸無異物穿刺性傷口
    S3133xA	Puncture wound without foreign body of scrotum and testes, initial encounter
	陰囊和睪丸無異物穿刺性傷口之初期照護
    S3133xD	Puncture wound without foreign body of scrotum and testes, subsequent encounter
	陰囊和睪丸無異物穿刺性傷口之後續照護
    S3133xS	Puncture wound without foreign body of scrotum and testes, sequela
	陰囊和睪丸有異物穿刺性傷口之後遺症
  S3134	Puncture wound with foreign body of scrotum and testes
	陰囊和睪丸有異物穿刺性傷口
    S3134xA	Puncture wound with foreign body of scrotum and testes, initial encounter
	陰囊和睪丸有異物穿刺性傷口之初期照護
    S3134xD	Puncture wound with foreign body of scrotum and testes, subsequent encounter
	陰囊和睪丸有異物穿刺性傷口之後續照護
    S3134xS	Puncture wound with foreign body of scrotum and testes, sequela
	陰囊和睪丸有異物穿刺性傷口之後遺症
  S3135	Open bite of scrotum and testes
	陰囊和睪丸開放性咬傷
    S3135xA	Open bite of scrotum and testes, initial encounter
	陰囊和睪丸開放性咬傷之初期照護
    S3135xD	Open bite of scrotum and testes, subsequent encounter
	陰囊和睪丸開放性咬傷之後續照護
    S3135xS	Open bite of scrotum and testes, sequela
	陰囊和睪丸開放性咬傷之後遺症
 S314	Open wound of vagina and vulva
	陰道和女陰開放性傷口
  S3140	Unspecified open wound of vagina and vulva
	陰道和女陰未特定開放性傷口
    S3140xA	Unspecified open wound of vagina and vulva, initial encounter
	陰道和女陰未特定開放性傷口之初期照護
    S3140xD	Unspecified open wound of vagina and vulva, subsequent encounter
	陰道和女陰未特定開放性傷口之後續照護
    S3140xS	Unspecified open wound of vagina and vulva, sequela
	陰道和女陰未特定開放性傷口之後遺症
  S3141	Laceration without foreign body of vagina and vulva
	陰道和女陰無異物撕裂性傷口
    S3141xA	Laceration without foreign body of vagina and vulva, initial encounter
	陰道和女陰無異物撕裂性傷口之初期照護
    S3141xD	Laceration without foreign body of vagina and vulva, subsequent encounter
	陰道和女陰無異物撕裂性傷口之後續照護
    S3141xS	Laceration without foreign body of vagina and vulva, sequela
	陰道和女陰無異物撕裂性傷口之後遺症
  S3142	Laceration with foreign body of vagina and vulva
	陰道和女陰有異物撕裂性傷口
    S3142xA	Laceration with foreign body of vagina and vulva, initial encounter
	陰道和女陰有異物撕裂性傷口之初期照護
    S3142xD	Laceration with foreign body of vagina and vulva, subsequent encounter
	陰道和女陰有異物撕裂性傷口之後續照護
    S3142xS	Laceration with foreign body of vagina and vulva, sequela
	陰道和女陰有異物撕裂性傷口之後遺症
  S3143	Puncture wound without foreign body of vagina and vulva
	陰道和女陰無異物穿刺性傷口
    S3143xA	Puncture wound without foreign body of vagina and vulva, initial encounter
	陰道和女陰無異物穿刺性傷口之初期照護
    S3143xD	Puncture wound without foreign body of vagina and vulva, subsequent encounter
	陰道和女陰無異物穿刺性傷口之後續照護
    S3143xS	Puncture wound without foreign body of vagina and vulva, sequela
	陰道和女陰無異物穿刺性傷口之後遺症
  S3144	Puncture wound with foreign body of vagina and vulva
	陰道和女陰有異物穿刺性傷口
    S3144xA	Puncture wound with foreign body of vagina and vulva, initial encounter
	陰道和女陰有異物穿刺性傷口之初期照護
    S3144xD	Puncture wound with foreign body of vagina and vulva, subsequent encounter
	陰道和女陰有異物穿刺性傷口之後續照護
    S3144xS	Puncture wound with foreign body of vagina and vulva, sequela
	陰道和女陰有異物穿刺性傷口之後遺症
  S3145	Open bite of vagina and vulva
	陰道和女陰開放性咬傷
    S3145xA	Open bite of vagina and vulva, initial encounter
	陰道和女陰開放性咬傷之初期照護
    S3145xD	Open bite of vagina and vulva, subsequent encounter
	陰道和女陰開放性咬傷之後續照護
    S3145xS	Open bite of vagina and vulva, sequela
	陰道和女陰開放性咬傷之後遺症
 S315	Open wound of unspecified external genital organs
	未特定外生殖器官開放性傷口
  S3150	Unspecified open wound of unspecified external genital organs
	未特定外生殖器官未特定開放性傷口
   S31501	Unspecified open wound of unspecified external genital organs, male
	男性未特定外生殖器官未特定開放性傷口
    S31501A	Unspecified open wound of unspecified external genital organs, male, initial encounter
	男性未特定外生殖器官未特定開放性傷口之初期照護
    S31501D	Unspecified open wound of unspecified external genital organs, male, subsequent encounter
	男性未特定外生殖器官未特定開放性傷口之後續照護
    S31501S	Unspecified open wound of unspecified external genital organs, male, sequela
	男性未特定外生殖器官未特定開放性傷口之後遺症
   S31502	Unspecified open wound of unspecified external genital organs, female
	女性未特定外生殖器官未特定開放性傷口
    S31502A	Unspecified open wound of unspecified external genital organs, female, initial encounter
	女性未特定外生殖器官未特定開放性傷口之初期照護
    S31502D	Unspecified open wound of unspecified external genital organs, female, subsequent encounter
	女性未特定外生殖器官未特定開放性傷口之後續照護
    S31502S	Unspecified open wound of unspecified external genital organs, female, sequela
	女性未特定外生殖器官未特定開放性傷口之後遺症
  S3151	Laceration without foreign body of unspecified external genital organs
	未特定外生殖器官未伴有異物撕裂性傷口
   S31511	Laceration without foreign body of unspecified external genital organs, male
	男性未特定外生殖器官未伴有異物撕裂性傷口
    S31511A	Laceration without foreign body of unspecified external genital organs, male, initial encounter
	男性未特定外生殖器官未伴有異物撕裂性傷口之初期照護
    S31511D	Laceration without foreign body of unspecified external genital organs, male, subsequent encounter
	男性未特定外生殖器官未伴有異物撕裂性傷口之後續照護
    S31511S	Laceration without foreign body of unspecified external genital organs, male, sequela
	男性未特定外生殖器官未伴有異物撕裂性傷口之後遺症
   S31512	Laceration without foreign body of unspecified external genital organs, female
	女性未特定外生殖器官未伴有異物撕裂性傷口
    S31512A	Laceration without foreign body of unspecified external genital organs, female, initial encounter
	女性未特定外生殖器官未伴有異物撕裂性傷口之初期照護
    S31512D	Laceration without foreign body of unspecified external genital organs, female, subsequent encounter
	女性未特定外生殖器官未伴有異物撕裂性傷口之後續照護
    S31512S	Laceration without foreign body of unspecified external genital organs, female, sequela
	女性未特定外生殖器官未伴有異物撕裂性傷口之後遺症
  S3152	Laceration with foreign body of unspecified external genital organs
	未特定外生殖器官有異物撕裂性傷口
   S31521	Laceration with foreign body of unspecified external genital organs, male
	男性未特定外生殖器官有異物撕裂性傷口
    S31521A	Laceration with foreign body of unspecified external genital organs, male, initial encounter
	男性未特定外生殖器官有異物撕裂性傷口之初期照護
    S31521D	Laceration with foreign body of unspecified external genital organs, male, subsequent encounter
	男性未特定外生殖器官有異物撕裂性傷口之後續照護
    S31521S	Laceration with foreign body of unspecified external genital organs, male, sequela
	男性未特定外生殖器官有異物撕裂性傷口之後遺症
   S31522	Laceration with foreign body of unspecified external genital organs, female
	女性未特定外生殖器官有異物撕裂性傷口
    S31522A	Laceration with foreign body of unspecified external genital organs, female, initial encounter
	女性未特定外生殖器官有異物撕裂性傷口之初期照護
    S31522D	Laceration with foreign body of unspecified external genital organs, female, subsequent encounter
	女性未特定外生殖器官有異物撕裂性傷口之後續照護
    S31522S	Laceration with foreign body of unspecified external genital organs, female, sequela
	女性未特定外生殖器官有異物撕裂性傷口之後遺症
  S3153	Puncture wound without foreign body of unspecified external genital organs
	未特定外生殖器官無異物穿刺性傷口
   S31531	Puncture wound without foreign body of unspecified external genital organs, male
	男性未特定外生殖器官無異物穿刺性傷口
    S31531A	Puncture wound without foreign body of unspecified external genital organs, male, initial encounter
	男性未特定外生殖器官無異物穿刺性傷口之初期照護
    S31531D	Puncture wound without foreign body of unspecified external genital organs, male, subsequent encounter
	男性未特定外生殖器官無異物穿刺性傷口之後續照護
    S31531S	Puncture wound without foreign body of unspecified external genital organs, male, sequela
	男性未特定外生殖器官無異物穿刺性傷口之後遺症
   S31532	Puncture wound without foreign body of unspecified external genital organs, female
	女性未特定外生殖器官無異物穿刺性傷口
    S31532A	Puncture wound without foreign body of unspecified external genital organs, female, initial encounter
	女性未特定外生殖器官無異物穿刺性傷口之初期照護
    S31532D	Puncture wound without foreign body of unspecified external genital organs, female, subsequent encounter
	女性未特定外生殖器官無異物穿刺性傷口之後續照護
    S31532S	Puncture wound without foreign body of unspecified external genital organs, female, sequela
	女性未特定外生殖器官無異物穿刺性傷口之後遺症
  S3154	Puncture wound with foreign body of unspecified external genital organs
	未特定外生殖器官有異物穿刺性傷口
   S31541	Puncture wound with foreign body of unspecified external genital organs, male
	男性未特定外生殖器官有異物穿刺性傷口
    S31541A	Puncture wound with foreign body of unspecified external genital organs, male, initial encounter
	男性未特定外生殖器官有異物穿刺性傷口之初期照護
    S31541D	Puncture wound with foreign body of unspecified external genital organs, male, subsequent encounter
	男性未特定外生殖器官有異物穿刺性傷口之後續照護
    S31541S	Puncture wound with foreign body of unspecified external genital organs, male, sequela
	男性未特定外生殖器官有異物穿刺性傷口之後遺症
   S31542	Puncture wound with foreign body of unspecified external genital organs, female
	女性未特定外生殖器官有異物穿刺性傷口
    S31542A	Puncture wound with foreign body of unspecified external genital organs, female, initial encounter
	女性未特定外生殖器官有異物穿刺性傷口之初期照護
    S31542D	Puncture wound with foreign body of unspecified external genital organs, female, subsequent encounter
	女性未特定外生殖器官有異物穿刺性傷口之後續照護
    S31542S	Puncture wound with foreign body of unspecified external genital organs, female, sequela
	女性未特定外生殖器官有異物穿刺性傷口之後遺症
  S3155	Open bite of unspecified external genital organs
	未特定外生殖器官開放性咬傷
   S31551	Open bite of unspecified external genital organs, male
	男性未特定外生殖器官開放性咬傷
    S31551A	Open bite of unspecified external genital organs, male, initial encounter
	男性未特定外生殖器官開放性咬傷之初期照護
    S31551D	Open bite of unspecified external genital organs, male, subsequent encounter
	男性未特定外生殖器官開放性咬傷之後續照護
    S31551S	Open bite of unspecified external genital organs, male, sequela
	男性未特定外生殖器官開放性咬傷之後遺症
   S31552	Open bite of unspecified external genital organs, female
	女性未特定外生殖器官開放性咬傷
    S31552A	Open bite of unspecified external genital organs, female, initial encounter
	女性未特定外生殖器官開放性咬傷之初期照護
    S31552D	Open bite of unspecified external genital organs, female, subsequent encounter
	女性未特定外生殖器官開放性咬傷之後續照護
    S31552S	Open bite of unspecified external genital organs, female, sequela
	女性未特定外生殖器官開放性咬傷之後遺症
 S316	Open wound of abdominal wall with penetration into peritoneal cavity
	腹壁開放性傷口併穿刺到腹腔
  S3160	Unspecified open wound of abdominal wall with penetration into peritoneal cavity
	腹壁未特定開放性傷口併穿刺到腹腔
   S31600	Unspecified open wound of abdominal wall, right upper quadrant with penetration into peritoneal cavity A
	右上四分之一腹壁未特定開放性傷口併穿刺到腹腔 A
    S31600A	Unspecified open wound of abdominal wall, right upper quadrant with penetration into peritoneal cavity, initial encounter
	右上四分之一腹壁未特定開放性傷口併穿刺到腹腔之初期照護
    S31600D	Unspecified open wound of abdominal wall, right upper quadrant with penetration into peritoneal cavity, subsequent encounter
	右上四分之一腹壁未特定開放性傷口併穿刺到腹腔之後續照護
    S31600S	Unspecified open wound of abdominal wall, right upper quadrant with penetration into peritoneal cavity, sequela
	右上四分之一腹壁未特定開放性傷口併穿刺到腹腔之後遺症
   S31601	Unspecified open wound of abdominal wall, left upper quadrant with penetration into peritoneal cavity A
	左上四分之一腹壁未特定開放性傷口併穿刺到腹腔 A
    S31601A	Unspecified open wound of abdominal wall, left upper quadrant with penetration into peritoneal cavity, initial encounter
	左上四分之一腹壁未特定開放性傷口併穿刺到腹腔之初期照護
    S31601D	Unspecified open wound of abdominal wall, left upper quadrant with penetration into peritoneal cavity, subsequent encounter
	左上四分之一腹壁未特定開放性傷口併穿刺到腹腔之後續照護
    S31601S	Unspecified open wound of abdominal wall, left upper quadrant with penetration into peritoneal cavity, sequela
	左上四分之一腹壁未特定開放性傷口併穿刺到腹腔之後遺症
   S31602	Unspecified open wound of abdominal wall, epigastric region with penetration into peritoneal cavity A
	上腹壁未特定開放性傷口併穿刺到腹腔A
    S31602A	Unspecified open wound of abdominal wall, epigastric region with penetration into peritoneal cavity, initial encounter
	上腹壁未特定開放性傷口併穿刺到腹腔之初期照護
    S31602D	Unspecified open wound of abdominal wall, epigastric region with penetration into peritoneal cavity, subsequent encounter
	上腹壁未特定開放性傷口併穿刺到腹腔之後續照護
    S31602S	Unspecified open wound of abdominal wall, epigastric region with penetration into peritoneal cavity, sequela
	上腹壁未特定開放性傷口併穿刺到腹腔之後遺症
   S31603	Unspecified open wound of abdominal wall, right lower quadrant with penetration into peritoneal cavity A
	右下四分之一腹壁未特定開放性傷口併穿刺到腹腔A
    S31603A	Unspecified open wound of abdominal wall, right lower quadrant with penetration into peritoneal cavity, initial encounter
	右下四分之一腹壁未特定開放性傷口併穿刺到腹腔之初期照護
    S31603D	Unspecified open wound of abdominal wall, right lower quadrant with penetration into peritoneal cavity, subsequent encounter
	右下四分之一腹壁未特定開放性傷口併穿刺到腹腔之後續照護
    S31603S	Unspecified open wound of abdominal wall, right lower quadrant with penetration into peritoneal cavity, sequela
	右下四分之一腹壁未特定開放性傷口併穿刺到腹腔之後遺症
   S31604	Unspecified open wound of abdominal wall, left lower quadrant with penetration into peritoneal cavity A
	左下四分之一腹壁未特定開放性傷口併穿刺到腹腔A
    S31604A	Unspecified open wound of abdominal wall, left lower quadrant with penetration into peritoneal cavity, initial encounter
	左下四分之一腹壁未特定開放性傷口併穿刺到腹腔之初期照護
    S31604D	Unspecified open wound of abdominal wall, left lower quadrant with penetration into peritoneal cavity, subsequent encounter
	左下四分之一腹壁未特定開放性傷口併穿刺到腹腔之後續照護
    S31604S	Unspecified open wound of abdominal wall, left lower quadrant with penetration into peritoneal cavity, sequela
	左下四分之一腹壁未特定開放性傷口併穿刺到腹腔之後遺症
   S31605	Unspecified open wound of abdominal wall, periumbilic region with penetration into peritoneal cavity A
	臍周圍腹壁未特定開放性傷口併穿刺到腹腔A
    S31605A	Unspecified open wound of abdominal wall, periumbilic region with penetration into peritoneal cavity, initial encounter
	臍周圍腹壁未特定開放性傷口併穿刺到腹腔之初期照護
    S31605D	Unspecified open wound of abdominal wall, periumbilic region with penetration into peritoneal cavity, subsequent encounter
	臍周圍腹壁未特定開放性傷口併穿刺到腹腔之後續照護
    S31605S	Unspecified open wound of abdominal wall, periumbilic region with penetration into peritoneal cavity, sequela
	臍周圍腹壁未特定開放性傷口併穿刺到腹腔之後遺症
   S31609	Unspecified open wound of abdominal wall, unspecified quadrant with penetration into peritoneal cavity A
	未特定部位腹壁未特定開放性傷口併穿刺到腹腔A
    S31609A	Unspecified open wound of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, initial encounter
	未特定部位腹壁未特定開放性傷口併穿刺到腹腔之初期照護
    S31609D	Unspecified open wound of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, subsequent encounter
	未特定部位腹壁未特定開放性傷口併穿刺到腹腔之後續照護
    S31609S	Unspecified open wound of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, sequela
	未特定部位腹壁未特定開放性傷口併穿刺到腹腔之後遺症
  S3161	Laceration without foreign body of abdominal wall with penetration into peritoneal cavity
	腹壁無異物撕裂傷口併穿刺到腹腔
   S31610	Laceration without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity A
	右上四分之一腹壁無異物撕裂傷口併穿刺到腹腔A
    S31610A	Laceration without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, initial encounter
	右上四分之一腹壁無異物撕裂傷口併穿刺到腹腔之初期照護
    S31610D	Laceration without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, subsequent encounter
	右上四分之一腹壁無異物撕裂傷口併穿刺到腹腔之後續照護
    S31610S	Laceration without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, sequela
	右上四分之一腹壁無異物撕裂傷口併穿刺到腹腔之後遺症
   S31611	Laceration without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity A
	左上四分之一腹壁無異物撕裂傷口併穿刺到腹腔A
    S31611A	Laceration without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, initial encounter
	左上四分之一腹壁無異物撕裂傷口併穿刺到腹腔之初期照護
    S31611D	Laceration without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, subsequent encounter
	左上四分之一腹壁無異物撕裂傷口併穿刺到腹腔之後續照護
    S31611S	Laceration without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, sequela
	左上四分之一腹壁無異物撕裂傷口併穿刺到腹腔之後遺症
   S31612	Laceration without foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity A
	上腹壁無異物撕裂傷口併穿刺到腹腔A
    S31612A	Laceration without foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, initial encounter
	上腹壁無異物撕裂傷口併穿刺到腹腔之初期照護
    S31612D	Laceration without foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, subsequent encounter
	上腹壁無異物撕裂傷口併穿刺到腹腔之後續照護
    S31612S	Laceration without foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, sequela
	上腹壁無異物撕裂傷口併穿刺到腹腔之後遺症
   S31613	Laceration without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity A
	右下四分之一腹壁無異物撕裂傷口併穿刺到腹腔A
    S31613A	Laceration without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, initial encounter
	右下四分之一腹壁無異物撕裂傷口併穿刺到腹腔之初期照護
    S31613D	Laceration without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, subsequent encounter
	右下四分之一腹壁無異物撕裂傷口併穿刺到腹腔之後續照護
    S31613S	Laceration without foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, sequela
	右下四分之一腹壁無異物撕裂傷口併穿刺到腹腔之後遺症
   S31614	Laceration without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity A
	左下四分之一腹壁無異物撕裂傷口併穿刺到腹腔A
    S31614A	Laceration without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, initial encounter
	左下四分之一腹壁無異物撕裂傷口併穿刺到腹腔之初期照護
    S31614D	Laceration without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, subsequent encounter
	左下四分之一腹壁無異物撕裂傷口併穿刺到腹腔之後續照護
    S31614S	Laceration without foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, sequela
	左下四分之一腹壁無異物撕裂傷口併穿刺到腹腔之後遺症
   S31615	Laceration without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity A
	臍周圍腹壁無異物撕裂傷口併穿刺到腹腔A
    S31615A	Laceration without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, initial encounter
	臍周圍腹壁無異物撕裂傷口併穿刺到腹腔之初期照護
    S31615D	Laceration without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, subsequent encounter
	臍周圍腹壁無異物撕裂傷口併穿刺到腹腔之後續照護
    S31615S	Laceration without foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, sequela
	臍周圍腹壁無異物撕裂傷口併穿刺到腹腔之後遺症
   S31619	Laceration without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity A
	未特定部位腹壁無異物撕裂傷口併穿刺到腹腔A
    S31619A	Laceration without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, initial encounter
	未特定部位腹壁無異物撕裂傷口併穿刺到腹腔之初期照護
    S31619D	Laceration without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, subsequent encounter
	未特定部位腹壁無異物撕裂傷口併穿刺到腹腔之後續照護
    S31619S	Laceration without foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, sequela
	未特定部位腹壁無異物撕裂傷口併穿刺到腹腔之後遺症
  S3162	Laceration with foreign body of abdominal wall with penetration into peritoneal cavity
	腹壁有異物撕裂傷口併穿刺到腹腔
   S31620	Laceration with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity A
	右上四分之一腹壁有異物撕裂傷口併穿刺到腹腔A
    S31620A	Laceration with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, initial encounter
	右上四分之一腹壁有異物撕裂傷口併穿刺到腹腔之初期照護
    S31620D	Laceration with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, subsequent encounter
	右上四分之一腹壁有異物撕裂傷口併穿刺到腹腔之後續照護
    S31620S	Laceration with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, sequela
	右上四分之一腹壁有異物撕裂傷口併穿刺到腹腔之後遺症
   S31621	Laceration with foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity A
	左上四分之一腹壁有異物撕裂傷口併穿刺到腹腔A
    S31621A	Laceration with foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, initial encounter
	左上四分之一腹壁有異物撕裂傷口併穿刺到腹腔之初期照護
    S31621D	Laceration with foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, subsequent encounter
	左上四分之一腹壁有異物撕裂傷口併穿刺到腹腔之後續照護
    S31621S	Laceration with foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, sequela
	左上四分之一腹壁有異物撕裂傷口併穿刺到腹腔之後遺症
   S31622	Laceration with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity A
	上腹壁有異物撕裂傷口併穿刺到腹腔A
    S31622A	Laceration with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, initial encounter
	上腹壁有異物撕裂傷口併穿刺到腹腔之初期照護
    S31622D	Laceration with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, subsequent encounter
	上腹壁有異物撕裂傷口併穿刺到腹腔之後續照護
    S31622S	Laceration with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, sequela
	上腹壁有異物撕裂傷口併穿刺到腹腔之後遺症
   S31623	Laceration with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity A
	右下四分之一腹壁有異物撕裂傷口併穿刺到腹腔A
    S31623A	Laceration with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, initial encounter
	右下四分之一腹壁有異物撕裂傷口併穿刺到腹腔之初期照護
    S31623D	Laceration with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, subsequent encounter
	右下四分之一腹壁有異物撕裂傷口併穿刺到腹腔之後續照護
    S31623S	Laceration with foreign body of abdominal wall, right lower quadrant with penetration into peritoneal cavity, sequela
	右下四分之一腹壁有異物撕裂傷口併穿刺到腹腔之後遺症
   S31624	Laceration with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity A
	左下四分之一腹壁有異物撕裂傷口併穿刺到腹腔A
    S31624A	Laceration with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, initial encounter
	左下四分之一腹壁有異物撕裂傷口併穿刺到腹腔之初期照護
    S31624D	Laceration with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, subsequent encounter
	左下四分之一腹壁有異物撕裂傷口併穿刺到腹腔之後續照護
    S31624S	Laceration with foreign body of abdominal wall, left lower quadrant with penetration into peritoneal cavity, sequela
	左下四分之一腹壁有異物撕裂傷口併穿刺到腹腔之後遺症
   S31625	Laceration with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity A
	臍周圍腹壁有異物撕裂傷口併穿刺到腹腔A
    S31625A	Laceration with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, initial encounter
	臍周圍腹壁有異物撕裂傷口併穿刺到腹腔之初期照護
    S31625D	Laceration with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, subsequent encounter
	臍周圍腹壁有異物撕裂傷口併穿刺到腹腔之後續照護
    S31625S	Laceration with foreign body of abdominal wall, periumbilic region with penetration into peritoneal cavity, sequela
	臍周圍腹壁有異物撕裂傷口併穿刺到腹腔之後遺症
   S31629	Laceration with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity A
	未特定部位腹壁有異物撕裂傷口併穿刺到腹腔A
    S31629A	Laceration with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, initial encounter
	未特定部位腹壁有異物撕裂傷口併穿刺到腹腔之初期照護
    S31629D	Laceration with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, subsequent encounter
	未特定部位腹壁有異物撕裂傷口併穿刺到腹腔之後續照護
    S31629S	Laceration with foreign body of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, sequela
	未特定部位腹壁有異物撕裂傷口併穿刺到腹腔之後遺症
  S3163	Puncture wound without foreign body of abdominal wall with penetration into peritoneal cavity
	腹壁無異物穿刺傷口併穿刺到腹腔
   S31630	Puncture wound without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity A
	右上四分之一腹壁無異物穿刺傷口併穿刺到腹腔A
    S31630A	Puncture wound without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, initial encounter
	右上四分之一腹壁無異物穿刺傷口併穿刺到腹腔之初期照護
    S31630D	Puncture wound without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, subsequent encounter
	右上四分之一腹壁無異物穿刺傷口併穿刺到腹腔之後續照護
    S31630S	Puncture wound without foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, sequela
	右上四分之一腹壁無異物穿刺傷口併穿刺到腹腔之後遺症
   S31631	Puncture wound without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity A
	左上四分之一腹壁無異物穿刺傷口併穿刺到腹腔A
    S31631A	Puncture wound without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, initial encounter
	左上四分之一腹壁無異物穿刺傷口併穿刺到腹腔之初期照護
    S31631D	Puncture wound without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, subsequent encounter
	左上四分之一腹壁無異物穿刺傷口併穿刺到腹腔之後續照護
    S31631S	Puncture wound without foreign body of abdominal wall, left upper quadrant with penetration into peritoneal cavity, sequela
	左上四分之一腹壁無異物穿刺傷口併穿刺到腹腔之後遺症
   S31632	Puncture wound without foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity A
	上腹壁無異物穿刺傷口併穿刺到腹腔A
    S31632A	Puncture wound without foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity, initial encounter
	上腹壁無異物穿刺傷口併穿刺到腹腔之初期照護
