H00	Hordeolum and chalazion
	未特定側性之單純慢性結膜炎
  H1043	Chronic follicular conjunctivitis
	慢性濾泡性結膜炎
   H10431	Chronic follicular conjunctivitis, right eye
	右側眼慢性濾泡性結膜炎
   H10432	Chronic follicular conjunctivitis, left eye
	左側眼慢性濾泡性結膜炎
   H10433	Chronic follicular conjunctivitis, bilateral
	雙側眼慢性濾泡性結膜炎
   H10439	Chronic follicular conjunctivitis, unspecified eye
	未特定側性之慢性濾泡性結膜炎
  H1044	Vernal conjunctivitis
	春季型結膜炎
  H1045	Other chronic allergic conjunctivitis
	其他慢性過敏性結膜炎
 H105	Blepharoconjunctivitis
	眼瞼結膜炎
  H1050	Unspecified blepharoconjunctivitis
	眼瞼結膜炎
   H10501	Unspecified blepharoconjunctivitis, right eye
	右側眼瞼結膜炎
   H10502	Unspecified blepharoconjunctivitis, left eye
	左側眼瞼結膜炎
   H10503	Unspecified blepharoconjunctivitis, bilateral
	雙側眼瞼結膜炎
   H10509	Unspecified blepharoconjunctivitis, unspecified eye
	未特定側性之眼瞼結膜炎
  H1051	Ligneous conjunctivitis
	木樣性結膜炎
   H10511	Ligneous conjunctivitis, right eye
	右側眼木樣性結膜炎
   H10512	Ligneous conjunctivitis, left eye
	左側眼木樣性結膜炎
   H10513	Ligneous conjunctivitis, bilateral
	雙側眼木樣性結膜炎
   H10519	Ligneous conjunctivitis, unspecified eye
	未特定側性之木樣性結膜炎
  H1052	Angular blepharoconjunctivitis
	角眥眼瞼結膜炎
   H10521	Angular blepharoconjunctivitis, right eye
	右側眼角眥眼瞼結膜炎
   H10522	Angular blepharoconjunctivitis, left eye
	左側眼角眥眼瞼結膜炎
   H10523	Angular blepharoconjunctivitis, bilateral
	雙側眼角眥眼瞼結膜炎
   H10529	Angular blepharoconjunctivitis, unspecified eye
	未特定側性之角眥眼瞼結膜炎
  H1053	Contact blepharoconjunctivitis
	接觸性眼瞼結膜炎
   H10531	Contact blepharoconjunctivitis, right eye
	右側眼接觸性眼瞼結膜炎
   H10532	Contact blepharoconjunctivitis, left eye
	左側眼接觸性眼瞼結膜炎
   H10533	Contact blepharoconjunctivitis, bilateral
	雙側眼接觸性眼瞼結膜炎
   H10539	Contact blepharoconjunctivitis, unspecified eye
	未特定側性之接觸性眼瞼結膜炎
 H108	Other conjunctivitis
	其他結膜炎
  H1081	Pingueculitis
	瞼裂斑炎
   H10811	Pingueculitis, right eye
	右側眼瞼裂斑炎
   H10812	Pingueculitis, left eye
	左側眼瞼裂斑炎
   H10813	Pingueculitis, bilateral
	雙側眼瞼裂斑炎
   H10819	Pingueculitis, unspecified eye
	未特定側性之瞼裂斑炎
  H1089	Other conjunctivitis
	其它結膜炎
 H109	Unspecified conjunctivitis
	結膜炎
H11	Other disorders of conjunctiva
	結膜之其他疾患
 H110	Pterygium of eye
	眼翼狀贅肉
  H1100	Unspecified pterygium of eye
	眼翼狀贅肉
   H11001	Unspecified pterygium of right eye
	右側眼翼狀贅肉
   H11002	Unspecified pterygium of left eye
	左側眼翼狀贅肉
   H11003	Unspecified pterygium of eye, bilateral
	雙側眼翼狀贅肉
   H11009	Unspecified pterygium of unspecified eye
	未特定側性之翼狀贅肉
  H1101	Amyloid pterygium
	眼澱粉樣翼狀贅肉
   H11011	Amyloid pterygium of right eye
	右側眼澱粉樣翼狀贅肉
   H11012	Amyloid pterygium of left eye
	左側眼澱粉樣翼狀贅肉
   H11013	Amyloid pterygium of eye, bilateral
	雙側眼澱粉樣翼狀贅肉
   H11019	Amyloid pterygium of unspecified eye
	未特定側性之澱粉樣翼狀贅肉
  H1102	Central pterygium of eye
	眼中央翼狀贅肉
   H11021	Central pterygium of right eye
	右側眼中央翼狀贅肉
   H11022	Central pterygium of left eye
	左側眼中央翼狀贅肉
   H11023	Central pterygium of eye, bilateral
	雙側眼中央翼狀贅肉
   H11029	Central pterygium of unspecified eye
	未特定側性之中央翼狀贅肉
  H1103	Double pterygium of eye
	眼雙側翼狀贅肉
   H11031	Double pterygium of right eye
	右側眼雙側翼狀贅肉
   H11032	Double pterygium of left eye
	左側眼雙側翼狀贅肉
   H11033	Double pterygium of eye, bilateral
	雙側眼雙側翼狀贅肉
   H11039	Double pterygium of unspecified eye
	未特定側性之雙側翼狀贅肉
  H1104	Peripheral pterygium of eye, stationary
	眼周邊翼狀贅肉，穩定性
   H11041	Peripheral pterygium, stationary, right eye
	右側眼周邊翼狀贅肉，穩定性
   H11042	Peripheral pterygium, stationary, left eye
	左側眼周邊翼狀贅肉，穩定性
   H11043	Peripheral pterygium, stationary, bilateral
	雙側眼周邊翼狀贅肉，穩定性
   H11049	Peripheral pterygium, stationary, unspecified eye
	未特定側性之周邊翼狀贅肉，穩定性
  H1105	Peripheral pterygium of eye, progressive
	眼周邊翼狀贅肉，進行性
   H11051	Peripheral pterygium, progressive, right eye
	右側眼周邊翼狀贅肉，進行性
   H11052	Peripheral pterygium, progressive, left eye
	左側眼周邊翼狀贅肉，進行性
   H11053	Peripheral pterygium, progressive, bilateral
	雙側眼周邊翼狀贅肉，進行性
   H11059	Peripheral pterygium, progressive, unspecified eye
	未特定側性之周邊翼狀贅肉，進行性
  H1106	Recurrent pterygium  of eye
	眼復發性翼狀贅肉
   H11061	Recurrent pterygium of right eye
	右側眼復發性翼狀贅肉
   H11062	Recurrent pterygium of left eye
	左側眼復發性翼狀贅肉
   H11063	Recurrent pterygium of eye, bilateral
	雙側眼復發性翼狀贅肉
   H11069	Recurrent pterygium of unspecified eye
	未特定側性之復發性翼狀贅肉
 H111	Conjunctival degenerations and deposits
	眼瞼退化及沈澱物
  H1110	Unspecified conjunctival degenerations
	結膜變性
  H1111	Conjunctival deposits
	結膜沈澱物
   H11111	Conjunctival deposits, right eye
	右側眼結膜沈澱物
   H11112	Conjunctival deposits, left eye
	左側眼結膜沈澱物
   H11113	Conjunctival deposits, bilateral
	雙側眼結膜沈澱物
   H11119	Conjunctival deposits, unspecified eye
	未特定側性之結膜沈澱物
  H1112	Conjunctival concretions
	結膜結石
   H11121	Conjunctival concretions, right eye
	右側眼結膜結石
   H11122	Conjunctival concretions, left eye
	左側眼結膜結石
   H11123	Conjunctival concretions, bilateral
	雙側眼結膜結石
   H11129	Conjunctival concretions, unspecified eye
	未特定側性之結膜結石
  H1113	Conjunctival pigmentations
	結膜色素沈著
   H11131	Conjunctival pigmentations, right eye
	右側眼結膜色素沈著
   H11132	Conjunctival pigmentations, left eye
	左側眼結膜色素沈著
   H11133	Conjunctival pigmentations, bilateral
	雙側眼結膜色素沈著
   H11139	Conjunctival pigmentations, unspecified eye
	未特定側性之結膜色素沈著
  H1114	Conjunctival xerosis NOS
	結膜乾燥症
   H11141	Conjunctival xerosis NOS, right eye
	右側眼結膜乾燥症
   H11142	Conjunctival xerosis NOS, left eye
	左側眼結膜乾燥症
   H11143	Conjunctival xerosis NOS, bilateral
	雙側眼結膜乾燥症
   H11149	Conjunctival xerosis NOS, unspecified eye
	未特定側性之結膜乾燥症
  H1115	Pinguecula
	眼瞼裂斑
   H11151	Pinguecula, right eye
	右側眼瞼裂斑
   H11152	Pinguecula, left eye
	左側眼瞼裂斑
   H11153	Pinguecula, bilateral
	雙側眼瞼裂斑
   H11159	Pinguecula, unspecified eye
	未特定側性之瞼裂斑
 H112	Conjunctival scars
	結膜結痂
  H1121	Conjunctival adhesions and strands (localized)
	結膜局部沾黏
   H11211	Conjunctival adhesions and strands (localized), right eye
	右側眼結膜局部沾黏
   H11212	Conjunctival adhesions and strands (localized), left eye
	左側眼結膜局部沾黏
   H11213	Conjunctival adhesions and strands (localized), bilateral
	雙側眼結膜局部沾黏
   H11219	Conjunctival adhesions and strands (localized), unspecified eye
	未特定側性之結膜局部沾黏
  H1122	Conjunctival granuloma
	結膜肉芽腫
   H11221	Conjunctival granuloma, right eye
	右側眼結膜肉芽腫
   H11222	Conjunctival granuloma, left eye
	左側眼結膜肉芽腫
   H11223	Conjunctival granuloma, bilateral
	雙側眼結膜肉芽腫
   H11229	Conjunctival granuloma, unspecified
	側性之結膜肉芽腫，未特定
  H1123	Symblepharon
	眼瞼眼球沾黏
   H11231	Symblepharon, right eye
	右側眼瞼眼球沾黏
   H11232	Symblepharon, left eye
	左側眼瞼眼球沾黏
   H11233	Symblepharon, bilateral
	雙側眼瞼眼球沾黏
   H11239	Symblepharon, unspecified eye
	未特定側性之眼瞼眼球沾黏
  H1124	Scarring of conjunctiva
	結膜結痂
   H11241	Scarring of conjunctiva, right eye
	右側眼結膜結痂
   H11242	Scarring of conjunctiva, left eye
	左側眼結膜結痂
   H11243	Scarring of conjunctiva, bilateral
	雙側眼結膜結痂
   H11249	Scarring of conjunctiva, unspecified eye
	未特定側性之結膜結痂
 H113	Conjunctival hemorrhage
	結膜出血
  H1130	Conjunctival hemorrhage, unspecified eye
	未特定側性之結膜出血
  H1131	Conjunctival hemorrhage, right eye
	右側眼結膜出血
  H1132	Conjunctival hemorrhage, left eye
	左側眼結膜出血
  H1133	Conjunctival hemorrhage, bilateral
	雙側眼結膜出血
 H114	Other conjunctival vascular disorders and cysts
	其他結膜血管疾患及囊腫
  H1141	Vascular abnormalities of conjunctiva
	結膜血管異常
   H11411	Vascular abnormalities of conjunctiva, right eye
	右側眼結膜血管異常
   H11412	Vascular abnormalities of conjunctiva, left eye
	左側眼結膜血管異常
   H11413	Vascular abnormalities of conjunctiva, bilateral
	雙側眼結膜血管異常
   H11419	Vascular abnormalities of conjunctiva, unspecified eye
	未特定側性之結膜血管異常
  H1142	Conjunctival edema
	結膜水腫
   H11421	Conjunctival edema, right eye
	右側眼結膜水腫
   H11422	Conjunctival edema, left eye
	左側眼結膜水腫
   H11423	Conjunctival edema, bilateral
	雙側眼結膜水腫
   H11429	Conjunctival edema, unspecified eye
	未特定側性之結膜水腫
  H1143	Conjunctival hyperemia
	結膜充血
   H11431	Conjunctival hyperemia, right eye
	右側眼結膜充血
   H11432	Conjunctival hyperemia, left eye
	左側眼結膜充血
   H11433	Conjunctival hyperemia, bilateral
	雙側眼結膜充血
   H11439	Conjunctival hyperemia, unspecified eye
	未特定側性之結膜充血
  H1144	Conjunctival cysts
	結膜囊腫
   H11441	Conjunctival cysts, right eye
	右側眼結膜囊腫
   H11442	Conjunctival cysts, left eye
	左側眼結膜囊腫
   H11443	Conjunctival cysts, bilateral
	雙側眼結膜囊腫
   H11449	Conjunctival cysts, unspecified eye
	未特定側性之結膜囊腫
 H118	Other specified disorders of conjunctiva
	結膜其他特定疾患
  H1181	Pseudopterygium of conjunctiva
	結膜假性翼狀贅肉
   H11811	Pseudopterygium of conjunctiva, right eye
	右側眼結膜假性翼狀贅肉
   H11812	Pseudopterygium of conjunctiva, left eye
	左側眼結膜假性翼狀贅肉
   H11813	Pseudopterygium of conjunctiva, bilateral
	雙側眼結膜假性翼狀贅肉
   H11819	Pseudopterygium of conjunctiva, unspecified eye
	未特定側性之結膜假性翼狀贅肉
  H1182	Conjunctivochalasis
	結膜鬆弛
   H11821	Conjunctivochalasis, right eye
	右側眼結膜鬆弛
   H11822	Conjunctivochalasis, left eye
	左側眼結膜鬆弛
   H11823	Conjunctivochalasis, bilateral
	雙側眼結膜鬆弛
   H11829	Conjunctivochalasis, unspecified eye
	未特定側性之結膜鬆弛
  H1189	Other specified disorders of conjunctiva
	結膜之其他特定疾患
 H119	Unspecified disorder of conjunctiva
	結膜疾患
H15	Disorders of sclera
	鞏膜疾患
 H150	Scleritis
	鞏膜炎
  H1500	Unspecified scleritis
	鞏膜炎
   H15001	Unspecified scleritis, right eye
	右側眼鞏膜炎
   H15002	Unspecified scleritis, left eye
	左側眼鞏膜炎
   H15003	Unspecified scleritis, bilateral
	雙側眼鞏膜炎
   H15009	Unspecified scleritis, unspecified eye
	未特定側性之鞏膜炎
  H1501	Anterior scleritis
	前鞏膜炎
   H15011	Anterior scleritis, right eye
	右側眼前鞏膜炎
   H15012	Anterior scleritis, left eye
	左側眼前鞏膜炎
   H15013	Anterior scleritis, bilateral
	雙側眼前鞏膜炎
   H15019	Anterior scleritis, unspecified eye
	未特定側性之前鞏膜炎
  H1502	Brawny scleritis
	Brawny氏鞏膜炎
   H15021	Brawny scleritis, right eye
	右側眼Brawny氏鞏膜炎
   H15022	Brawny scleritis, left eye
	左側眼Brawny氏鞏膜炎
   H15023	Brawny scleritis, bilateral
	雙側眼Brawny氏鞏膜炎
   H15029	Brawny scleritis, unspecified eye
	未特定側性之Brawny氏鞏膜炎
  H1503	Posterior scleritis
	後鞏膜炎
   H15031	Posterior scleritis, right eye
	右側眼後鞏膜炎
   H15032	Posterior scleritis, left eye
	左側眼後鞏膜炎
   H15033	Posterior scleritis, bilateral
	雙側眼後鞏膜炎
   H15039	Posterior scleritis, unspecified eye
	未特定側性之後鞏膜炎
  H1504	Scleritis with corneal involvement
	侵及角膜之鞏膜炎
   H15041	Scleritis with corneal involvement, right eye
	右側眼侵及角膜之鞏膜炎
   H15042	Scleritis with corneal involvement, left eye
	左側眼侵及角膜之鞏膜炎
   H15043	Scleritis with corneal involvement, bilateral
	雙側眼侵及角膜之鞏膜炎
   H15049	Scleritis with corneal involvement, unspecified eye
	未特定側性之侵及角膜的鞏膜炎
  H1505	Scleromalacia perforans
	穿孔性鞏膜軟化
   H15051	Scleromalacia perforans, right eye
	右側眼穿孔性鞏膜軟化
   H15052	Scleromalacia perforans, left eye
	左側眼穿孔性鞏膜軟化
   H15053	Scleromalacia perforans, bilateral
	雙側眼穿孔性鞏膜軟化
   H15059	Scleromalacia perforans, unspecified eye
	未特定側性之穿孔性鞏膜軟化
  H1509	Other scleritis
	其他鞏膜炎
   H15091	Other scleritis, right eye
	右側眼其他鞏膜炎
   H15092	Other scleritis, left eye
	左側眼其他鞏膜炎
   H15093	Other scleritis, bilateral
	雙側眼其他鞏膜炎
   H15099	Other scleritis, unspecified eye
	未特定側性之其他鞏膜炎
 H151	Episcleritis
	上鞏膜炎
  H1510	Unspecified episcleritis
	上鞏膜炎
   H15101	Unspecified episcleritis, right eye
	右側眼上鞏膜炎
   H15102	Unspecified episcleritis, left eye
	左側眼上鞏膜炎
   H15103	Unspecified episcleritis, bilateral
	雙側眼上鞏膜炎
   H15109	Unspecified episcleritis, unspecified eye
	未特定側性之上鞏膜炎
  H1511	Episcleritis periodica fugax
	眼周期發作性上鞏膜炎
   H15111	Episcleritis periodica fugax, right eye
	右側眼周期發作性上鞏膜炎
   H15112	Episcleritis periodica fugax, left eye
	左側眼周期發作性上鞏膜炎
   H15113	Episcleritis periodica fugax, bilateral
	雙側眼周期發作性上鞏膜炎
   H15119	Episcleritis periodica fugax, unspecified eye
	未特定側性之周期發作性上鞏膜炎
  H1512	Nodular episcleritis
	眼結節性上鞏膜炎
   H15121	Nodular episcleritis, right eye
	右側眼結節性上鞏膜炎
   H15122	Nodular episcleritis, left eye
	左側眼結節性上鞏膜炎
   H15123	Nodular episcleritis, bilateral
	雙側眼結節性上鞏膜炎
   H15129	Nodular episcleritis, unspecified eye
	未特定側性之結節性上鞏膜炎
 H158	Other disorders of sclera
	其他鞏膜疾患
  H1581	Equatorial staphyloma
	赤道葡萄腫
   H15811	Equatorial staphyloma, right eye
	右側眼赤道葡萄腫
   H15812	Equatorial staphyloma, left eye
	左側眼赤道葡萄腫
   H15813	Equatorial staphyloma, bilateral
	雙側眼赤道葡萄腫
   H15819	Equatorial staphyloma, unspecified eye
	未特定側性之赤道葡萄腫
  H1582	Localized anterior staphyloma
	局部前葡萄腫
   H15821	Localized anterior staphyloma, right eye
	右側眼局部前葡萄腫
   H15822	Localized anterior staphyloma, left eye
	左側眼局部前葡萄腫
   H15823	Localized anterior staphyloma, bilateral
	雙側眼局部前葡萄腫
   H15829	Localized anterior staphyloma, unspecified eye
	未特定側性之局部前葡萄腫
  H1583	Staphyloma posticum
	後部葡萄腫
   H15831	Staphyloma posticum, right eye
	右側眼後部葡萄腫
   H15832	Staphyloma posticum, left eye
	左側眼後部葡萄腫
   H15833	Staphyloma posticum, bilateral
	雙側眼後部葡萄腫
   H15839	Staphyloma posticum, unspecified eye
	未特定側性之後部葡萄腫
  H1584	Scleral ectasia
	鞏膜擴張
   H15841	Scleral ectasia, right eye
	右側眼鞏膜擴張
   H15842	Scleral ectasia, left eye
	左側眼鞏膜擴張
   H15843	Scleral ectasia, bilateral
	雙側眼鞏膜擴張
   H15849	Scleral ectasia, unspecified eye
	未特定側性之鞏膜擴張
  H1585	Ring staphyloma
	環狀葡萄腫
   H15851	Ring staphyloma, right eye
	右側眼環狀葡萄腫
   H15852	Ring staphyloma, left eye
	左側眼環狀葡萄腫
   H15853	Ring staphyloma, bilateral
	雙側眼環狀葡萄腫
   H15859	Ring staphyloma, unspecified eye
	未特定側性之環狀葡萄腫
  H1589	Other disorders of sclera
	其他鞏膜疾患
 H159	Unspecified disorder of sclera
	鞏膜疾患
H16	Keratitis
	角膜炎
 H160	Corneal ulcer
	角膜潰瘍
  H1600	Unspecified corneal ulcer
	角膜潰瘍
   H16001	Unspecified corneal ulcer, right eye
	右側眼角膜潰瘍
   H16002	Unspecified corneal ulcer, left eye
	左側眼角膜潰瘍
   H16003	Unspecified corneal ulcer, bilateral
	雙側眼角膜潰瘍
   H16009	Unspecified corneal ulcer, unspecified eye
	未特定側性之角膜潰瘍
  H1601	Central corneal ulcer
	中央角膜潰瘍
   H16011	Central corneal ulcer, right eye
	右側眼中央角膜潰瘍
   H16012	Central corneal ulcer, left eye
	左側眼中央角膜潰瘍
   H16013	Central corneal ulcer, bilateral
	雙側眼中央角膜潰瘍
   H16019	Central corneal ulcer, unspecified eye
	未特定側性之中央角膜潰瘍
  H1602	Ring corneal ulcer
	環狀角膜潰瘍
   H16021	Ring corneal ulcer, right eye
	右側眼環狀角膜潰瘍
   H16022	Ring corneal ulcer, left eye
	左側眼環狀角膜潰瘍
   H16023	Ring corneal ulcer, bilateral
	雙側眼環狀角膜潰瘍
   H16029	Ring corneal ulcer, unspecified eye
	未特定側性之環狀角膜潰瘍
  H1603	Corneal ulcer with hypopyon
	前房蓄膿性角膜潰瘍
   H16031	Corneal ulcer with hypopyon, right eye
	右側眼前房蓄膿性角膜潰瘍
   H16032	Corneal ulcer with hypopyon, left eye
	左側眼前房蓄膿性角膜潰瘍
   H16033	Corneal ulcer with hypopyon, bilateral
	雙側眼前房蓄膿性角膜潰瘍
   H16039	Corneal ulcer with hypopyon, unspecified eye
	未特定側性之前房蓄膿性角膜潰瘍
  H1604	Marginal corneal ulcer
	邊緣性角膜潰瘍
   H16041	Marginal corneal ulcer, right eye
	右側眼邊緣性角膜潰瘍
   H16042	Marginal corneal ulcer, left eye
	左側眼邊緣性角膜潰瘍
   H16043	Marginal corneal ulcer, bilateral
	雙側眼邊緣性角膜潰瘍
   H16049	Marginal corneal ulcer, unspecified eye
	未特定側性之邊緣性角膜潰瘍
  H1605	Mooren's corneal ulcer
	Mooren氏角膜潰瘍
   H16051	Mooren's corneal ulcer, right eye
	右側眼Mooren氏角膜潰瘍
   H16052	Mooren's corneal ulcer, left eye
	左側眼Mooren氏角膜潰瘍
   H16053	Mooren's corneal ulcer, bilateral
	雙側眼Mooren氏角膜潰瘍
   H16059	Mooren's corneal ulcer, unspecified eye
	未特定側性之Mooren氏角膜潰瘍
  H1606	Mycotic corneal ulcer
	黴菌性角膜潰瘍
   H16061	Mycotic corneal ulcer, right eye
	右側眼黴菌性角膜潰瘍
   H16062	Mycotic corneal ulcer, left eye
	左側眼黴菌性角膜潰瘍
   H16063	Mycotic corneal ulcer, bilateral
	雙側眼黴菌性角膜潰瘍
   H16069	Mycotic corneal ulcer, unspecified eye
	未特定側性之黴菌性角膜潰瘍
  H1607	Perforated corneal ulcer
	穿孔性角膜潰瘍
   H16071	Perforated corneal ulcer, right eye
	右側眼穿孔性角膜潰瘍
   H16072	Perforated corneal ulcer, left eye
	左側眼穿孔性角膜潰瘍
   H16073	Perforated corneal ulcer, bilateral
	雙側眼穿孔性角膜潰瘍
   H16079	Perforated corneal ulcer, unspecified eye
	未特定側性之穿孔性角膜潰瘍
 H161	Other and unspecified superficial keratitis without conjunctivitis
	其他及未特定表層角膜炎未併有結膜炎
  H1610	Unspecified superficial keratitis
	表層角膜炎
   H16101	Unspecified superficial keratitis, right eye
	右側眼表層角膜炎
   H16102	Unspecified superficial keratitis, left eye
	左側眼表層角膜炎
   H16103	Unspecified superficial keratitis, bilateral
	雙側眼表層角膜炎
   H16109	Unspecified superficial keratitis, unspecified eye
	未特定側性之表層角膜炎
  H1611	Macular keratitis
	斑狀角膜炎
   H16111	Macular keratitis, right eye
	右側眼斑狀角膜炎
   H16112	Macular keratitis, left eye
	左側眼斑狀角膜炎
   H16113	Macular keratitis, bilateral
	雙側眼斑狀角膜炎
   H16119	Macular keratitis, unspecified eye
	未特定側性之斑狀角膜炎
  H1612	Filamentary keratitis
	絲狀性角膜炎
   H16121	Filamentary keratitis, right eye
	右側眼絲狀性角膜炎
   H16122	Filamentary keratitis, left eye
	左側眼絲狀性角膜炎
   H16123	Filamentary keratitis, bilateral
	雙側眼絲狀性角膜炎
   H16129	Filamentary keratitis, unspecified eye
	未特定側性之絲狀性角膜炎
  H1613	Photokeratitis
	光照性角膜炎
   H16131	Photokeratitis, right eye
	右側眼光照性角膜炎
   H16132	Photokeratitis, left eye
	左側眼光照性角膜炎
   H16133	Photokeratitis, bilateral
	雙側眼光照性角膜炎
   H16139	Photokeratitis, unspecified eye
	未特定側性之光照性角膜炎
  H1614	Punctate keratitis
	點狀角膜炎
   H16141	Punctate keratitis, right eye
	右側眼點狀角膜炎
   H16142	Punctate keratitis, left eye
	左側眼點狀角膜炎
   H16143	Punctate keratitis, bilateral
	雙側眼點狀角膜炎
   H16149	Punctate keratitis, unspecified eye
	未特定側性之點狀角膜炎
 H162	keratoconjunctivitis
	角膜結膜炎
  H1620	Unspecified keratoconjunctivitis
	角膜結膜炎
   H16201	Unspecified keratoconjunctivitis, right eye
	右側眼角膜結膜炎
   H16202	Unspecified keratoconjunctivitis, left eye
	左側眼角膜結膜炎
   H16203	Unspecified keratoconjunctivitis, bilateral
	雙側眼角膜結膜炎
   H16209	Unspecified keratoconjunctivitis, unspecified eye
	未特定側性之角膜結膜炎
  H1621	Exposure keratoconjunctivitis
	曝露性角膜結膜炎
   H16211	Exposure keratoconjunctivitis, right eye
	右側眼曝露性角膜結膜炎
   H16212	Exposure keratoconjunctivitis, left eye
	左側眼曝露性角膜結膜炎
   H16213	Exposure keratoconjunctivitis, bilateral
	雙側眼曝露性角膜結膜炎
   H16219	Exposure keratoconjunctivitis, unspecified eye
	未特定側性之曝露性角膜結膜炎
  H1622	Keratoconjunctivitis sicca, not specified as Sjögren's
	乾性角膜結膜炎，未特定為Sjoren氏徵候群
   H16221	Keratoconjunctivitis sicca, not specified as Sjogren's, right eye
	右側眼乾性角膜結膜炎，未特定為Sjoren氏徵候群
   H16222	Keratoconjunctivitis sicca, not specified as Sjogren's, left eye
	左側眼乾性角膜結膜炎，未特定為Sjoren氏徵候群
   H16223	Keratoconjunctivitis sicca, not specified as Sjogren's, bilateral
	雙側眼乾性角膜結膜炎，未特定為Sjoren氏徵候群
   H16229	Keratoconjunctivitis sicca, not specified as Sjogren's, unspecified eye
	未特定側性之乾性角膜結膜炎，未特定為Sjoren氏徵候群
  H1623	Neurotrophic keratoconjunctivitis
	神經失養性角膜結膜炎
   H16231	Neurotrophic keratoconjunctivitis, right eye
	右側眼神經失養性角膜結膜炎
   H16232	Neurotrophic keratoconjunctivitis, left eye
	左側眼神經失養性角膜結膜炎
   H16233	Neurotrophic keratoconjunctivitis, bilateral
	雙側眼神經失養性角膜結膜炎
   H16239	Neurotrophic keratoconjunctivitis, unspecified eye
	未特定側性之神經失養性角膜結膜炎
  H1624	Ophthalmia nodosa
	結節性眼炎
   H16241	Ophthalmia nodosa, right eye
	右側眼結節性眼炎
   H16242	Ophthalmia nodosa, left eye
	左側眼結節性眼炎
   H16243	Ophthalmia nodosa, bilateral
	雙側眼結節性眼炎
   H16249	Ophthalmia nodosa, unspecified eye
	未特定側性之結節性眼炎
  H1625	Phlyctenular keratoconjunctivitis
	小水皰性角膜結膜炎
   H16251	Phlyctenular keratoconjunctivitis, right eye
	右側眼小水皰性角膜結膜炎
   H16252	Phlyctenular keratoconjunctivitis, left eye
	左側眼小水皰性角膜結膜炎
   H16253	Phlyctenular keratoconjunctivitis, bilateral
	雙側眼小水皰性角膜結膜炎
   H16259	Phlyctenular keratoconjunctivitis, unspecified eye
	未特定側性之小水皰性角膜結膜炎
  H1626	Vernal keratoconjunctivitis, with limbar and corneal involvement
	侵及角膜輪部及角膜之春季型結膜炎
   H16261	Vernal keratoconjunctivitis, with limbar and corneal involvement, right eye
	右側眼侵及角膜輪部及角膜之春季型結膜炎
   H16262	Vernal keratoconjunctivitis, with limbar and corneal involvement, left eye
	左側眼侵及角膜輪部及角膜之春季型結膜炎
   H16263	Vernal keratoconjunctivitis, with limbar and corneal involvement, bilateral
	雙側眼侵及角膜輪部及角膜之春季型結膜炎
   H16269	Vernal keratoconjunctivitis, with limbar and corneal involvement, unspecified eye
	未特定側性之侵及角膜輪部及角膜之春季型結膜炎
  H1629	Other keratoconjunctivitis
	其它角膜結膜炎
   H16291	Other keratoconjunctivitis, right eye
	右側眼其它角膜結膜炎
   H16292	Other keratoconjunctivitis, left eye
	左側眼其它角膜結膜炎
   H16293	Other keratoconjunctivitis, bilateral
	雙側眼其它角膜結膜炎
   H16299	Other keratoconjunctivitis, unspecified eye
	未特定側性之其它角膜結膜炎
 H163	Interstitial and deep keratitis
	間質性及深層角膜炎
  H1630	Unspecified interstitial keratitis
	間質性角膜炎
   H16301	Unspecified interstitial keratitis, right eye
	右側眼間質性角膜炎
   H16302	Unspecified interstitial keratitis, left eye
	左側眼間質性角膜炎
   H16303	Unspecified interstitial keratitis, bilateral
	雙側眼間質性角膜炎
   H16309	Unspecified interstitial keratitis, unspecified eye
	未特定側性之間質性角膜炎
  H1631	Corneal abscess
	角膜膿瘍
   H16311	Corneal abscess, right eye
	右側眼角膜膿瘍
   H16312	Corneal abscess, left eye
	左側眼角膜膿瘍
   H16313	Corneal abscess, bilateral
	雙側眼角膜膿瘍
   H16319	Corneal abscess, unspecified eye
	未特定側性之角膜膿瘍
  H1632	Diffuse interstitial keratitis
	濔漫性間質性角膜炎
   H16321	Diffuse interstitial keratitis, right eye
	右側眼濔漫性間質性角膜炎
   H16322	Diffuse interstitial keratitis, left eye
	左側眼濔漫性間質性角膜炎
   H16323	Diffuse interstitial keratitis, bilateral
	雙側眼濔漫性間質性角膜炎
   H16329	Diffuse interstitial keratitis, unspecified eye
	未特定側性之濔漫性間質性角膜炎
  H1633	Sclerosing keratitis
	硬化性角膜炎
   H16331	Sclerosing keratitis, right eye
	右側眼硬化性角膜炎
   H16332	Sclerosing keratitis, left eye
	左側眼硬化性角膜炎
   H16333	Sclerosing keratitis, bilateral
	雙側眼硬化性角膜炎
   H16339	Sclerosing keratitis, unspecified eye
	未特定側性之硬化性角膜炎
  H1639	Other interstitial and deep keratitis
	其他間質性及深層角膜炎
   H16391	Other interstitial and deep keratitis, right eye
	右側眼其他間質性及深層角膜炎
   H16392	Other interstitial and deep keratitis, left eye
	左側眼其他間質性及深層角膜炎
   H16393	Other interstitial and deep keratitis, bilateral
	雙側眼其他間質性及深層角膜炎
   H16399	Other interstitial and deep keratitis, unspecified eye
	未特定側性之其他間質性及深層角膜炎
 H164	Corneal neovascularization
	角膜新生血管形成
  H1640	Unspecified corneal neovascularization,
	角膜新生血管
   H16401	Unspecified corneal neovascularization, right eye
	右側眼角膜新生血管
   H16402	Unspecified corneal neovascularization, left eye
	左側眼角膜新生血管
   H16403	Unspecified corneal neovascularization, bilateral
