M00	Pyogenic arthritis
	未特定部位幼年型類風濕性關節炎
  M0801	Unspecified juvenile rheumatoid arthritis, shoulder
	肩部幼年型類風濕性關節炎
   M08011	Unspecified juvenile rheumatoid arthritis, right shoulder
	右側肩部幼年型類風濕性關節炎
   M08012	Unspecified juvenile rheumatoid arthritis, left shoulder
	左側肩部幼年型類風濕性關節炎
   M08019	Unspecified juvenile rheumatoid arthritis, unspecified shoulder
	未特定側性肩部幼年型類風濕性關節炎
  M0802	Unspecified juvenile rheumatoid arthritis, of elbow
	肘部幼年型類風濕性關節炎
   M08021	Unspecified juvenile rheumatoid arthritis, right elbow
	右側肘部幼年型類風濕性關節炎
   M08022	Unspecified juvenile rheumatoid arthritis, left elbow
	左側肘部幼年型類風濕性關節炎
   M08029	Unspecified juvenile rheumatoid arthritis, unspecified elbow
	未特定側性肘部幼年型類風濕性關節炎
  M0803	Unspecified juvenile rheumatoid arthritis, wrist
	腕部幼年型類風濕性關節炎
   M08031	Unspecified juvenile rheumatoid arthritis, right wrist
	右側腕部幼年型類風濕性關節炎
   M08032	Unspecified juvenile rheumatoid arthritis, left wrist
	左側腕部幼年型類風濕性關節炎
   M08039	Unspecified juvenile rheumatoid arthritis, unspecified wrist
	未特定側性腕部幼年型類風濕性關節炎
  M0804	Unspecified juvenile rheumatoid arthritis, hand
	手部幼年型類風濕性關節炎
   M08041	Unspecified juvenile rheumatoid arthritis, right hand
	右側手部幼年型類風濕性關節炎
   M08042	Unspecified juvenile rheumatoid arthritis, left hand
	左側手部幼年型類風濕性關節炎
   M08049	Unspecified juvenile rheumatoid arthritis, unspecified hand
	未特定側性手部幼年型類風濕性關節炎
  M0805	Unspecified juvenile rheumatoid arthritis, hip
	髖部幼年型類風濕性關節炎
   M08051	Unspecified juvenile rheumatoid arthritis, right hip
	右側髖部幼年型類風濕性關節炎
   M08052	Unspecified juvenile rheumatoid arthritis, left hip
	左側髖部幼年型類風濕性關節炎
   M08059	Unspecified juvenile rheumatoid arthritis, unspecified hip
	未特定側性髖部幼年型類風濕性關節炎
  M0806	Unspecified juvenile rheumatoid arthritis, knee
	膝部幼年型類風濕性關節炎
   M08061	Unspecified juvenile rheumatoid arthritis, right knee
	右側膝部幼年型類風濕性關節炎
   M08062	Unspecified juvenile rheumatoid arthritis, left knee
	左側膝部幼年型類風濕性關節炎
   M08069	Unspecified juvenile rheumatoid arthritis, unspecified knee
	未特定側性膝部幼年型類風濕性關節炎
  M0807	Unspecified juvenile rheumatoid arthritis, ankle and foot
	踝部及足部幼年型類風濕性關節炎
   M08071	Unspecified juvenile rheumatoid arthritis, right ankle and foot
	右側踝部及足部幼年型類風濕性關節炎
   M08072	Unspecified juvenile rheumatoid arthritis, left ankle and foot
	左側踝部及足部幼年型類風濕性關節炎
   M08079	Unspecified juvenile rheumatoid arthritis, unspecified ankle and foot
	未特定側性髖部及足部側幼年型類風濕性關節炎
  M0808	Unspecified juvenile rheumatoid arthritis, vertebrae
	脊椎幼年型類風濕性關節炎
  M0809	Unspecified juvenile rheumatoid arthritis, multiple sites
	多部位幼年型類風濕性關節炎
 M081	Juvenile ankylosing spondylitis
	 幼年型僵直性脊椎炎
 M082	Juvenile rheumatoid arthritis with systemic onset
	幼年型關節炎伴有全身性發作
  M0820	Juvenile rheumatoid arthritis with systemic onset, unspecified site
	未特定部位幼年型類風濕性關節炎伴有全身性發作
  M0821	Juvenile rheumatoid arthritis with systemic onset, shoulder
	肩部幼年型關節炎伴有全身性發作
   M08211	Juvenile rheumatoid arthritis with systemic onset, right shoulder
	 右側肩部幼年型類風濕性關節炎伴有全身性發作
   M08212	Juvenile rheumatoid arthritis with systemic onset, left shoulder
	 左側肩部幼年型類風濕性關節炎伴有全身性發作
   M08219	Juvenile rheumatoid arthritis with systemic onset, unspecified shoulder
	 未特定側性肩部幼年型類風濕性關節炎伴有全身性發作
  M0822	Juvenile rheumatoid arthritis with systemic onset, elbow
	肘部幼年型關節炎伴有全身性發作
   M08221	Juvenile rheumatoid arthritis with systemic onset, right elbow
	 右側肘部幼年型類風濕性關節炎伴有全身性發作
   M08222	Juvenile rheumatoid arthritis with systemic onset, left elbow
	 左側肘部幼年型類風濕性關節炎伴有全身性發作
   M08229	Juvenile rheumatoid arthritis with systemic onset, unspecified elbow
	 未特定側性肘部幼年型類風濕性關節炎伴有全身性發作
  M0823	Juvenile rheumatoid arthritis with systemic onset, wrist
	腕部幼年型關節炎伴有全身性發作
   M08231	Juvenile rheumatoid arthritis with systemic onset, right wrist
	 右側腕部幼年型類風濕性關節炎伴有全身性發作
   M08232	Juvenile rheumatoid arthritis with systemic onset, left wrist
	 左側腕部幼年型類風濕性關節炎伴有全身性發作
   M08239	Juvenile rheumatoid arthritis with systemic onset, unspecified wrist
	 未特定側性腕部幼年型類風濕性關節炎伴有全身性發作
  M0824	Juvenile rheumatoid arthritis with systemic onset, hand
	手部幼年型關節炎伴有全身性發作
   M08241	Juvenile rheumatoid arthritis with systemic onset, right hand
	 右側手部幼年型類風濕性關節炎伴有全身性發作
   M08242	Juvenile rheumatoid arthritis with systemic onset, left hand
	 左側手部幼年型類風濕性關節炎伴有全身性發作
   M08249	Juvenile rheumatoid arthritis with systemic onset, unspecified hand
	 未特定側性手部幼年型類風濕性關節炎伴有全身性發作
  M0825	Juvenile rheumatoid arthritis with systemic onset, hip
	髖部幼年型關節炎伴有全身性發作
   M08251	Juvenile rheumatoid arthritis with systemic onset, right hip
	 右側髖部幼年型類風濕性關節炎伴有全身性發作
   M08252	Juvenile rheumatoid arthritis with systemic onset, left hip
	 左側髖部幼年型類風濕性關節炎伴有全身性發作
   M08259	Juvenile rheumatoid arthritis with systemic onset, unspecified hip
	 未特定側性髖部幼年型類風濕性關節炎伴有全身性發作
  M0826	Juvenile rheumatoid arthritis with systemic onset, knee
	膝部幼年型關節炎伴有全身性發作
   M08261	Juvenile rheumatoid arthritis with systemic onset, right knee
	 右側膝部幼年型類風濕性關節炎伴有全身性發作
   M08262	Juvenile rheumatoid arthritis with systemic onset, left knee
	 左側膝部幼年型類風濕性關節炎伴有全身性發作
   M08269	Juvenile rheumatoid arthritis with systemic onset, unspecified knee
	 未特定側性膝部幼年型類風濕性關節炎伴有全身性發作
  M0827	Juvenile rheumatoid arthritis with systemic onset, ankle and foot
	踝部及足部幼年型關節炎伴有全身性發作
   M08271	Juvenile rheumatoid arthritis with systemic onset, right ankle and foot
	 右側踝部及足部幼年型類風濕性關節炎伴有全身性發作
   M08272	Juvenile rheumatoid arthritis with systemic onset, left ankle and foot
	 左側踝部及足部幼年型類風濕性關節炎伴有全身性發作
   M08279	Juvenile rheumatoid arthritis with systemic onset, unspecified ankle and foot
	 未特定側性髖部及足部側幼年型類風濕性關節炎伴有全身性發作
  M0828	Juvenile rheumatoid arthritis with systemic onset, vertebrae
	 脊椎幼年型類風濕性關節炎伴有全身性發作
  M0829	Juvenile rheumatoid arthritis with systemic onset, multiple sites
	 多部位幼年型類風濕性關節炎伴有全身性發作
 M083	Juvenile rheumatoid polyarthritis (seronegative)
	幼年型類風濕性多關節炎(血清陰性反應)
 M084	Pauciarticular juvenile rheumatoid arthritis
	少關節性幼年型關節炎
  M0840	Pauciarticular juvenile rheumatoid arthritis, unspecified site
	未特定部位少關節性幼年型類風濕性關節炎
  M0841	Pauciarticular juvenile rheumatoid arthritis, shoulder
	肩部少關節性幼年型關節炎
   M08411	Pauciarticular juvenile rheumatoid arthritis, right shoulder
	 右側肩部少關節性幼年型類風濕性關節炎
   M08412	Pauciarticular juvenile rheumatoid arthritis, left shoulder
	 左側肩部少關節性幼年型類風濕性關節炎
   M08419	Pauciarticular juvenile rheumatoid arthritis, unspecified shoulder
	 未特定側性肩部少關節性幼年型類風濕性關節炎
  M0842	Pauciarticular juvenile rheumatoid arthritis, elbow
	肘部少關節性幼年型關節炎
   M08421	Pauciarticular juvenile rheumatoid arthritis, right elbow
	 右側肘部少關節性幼年型類風濕性關節炎
   M08422	Pauciarticular juvenile rheumatoid arthritis, left elbow
	 左側肘部少關節性幼年型類風濕性關節炎
   M08429	Pauciarticular juvenile rheumatoid arthritis, unspecified elbow
	 未特定側性肘部少關節性幼年型類風濕性關節炎
  M0843	Pauciarticular juvenile rheumatoid arthritis, wrist
	腕部少關節性幼年型關節炎
   M08431	Pauciarticular juvenile rheumatoid arthritis, right wrist
	 右側腕部少關節性幼年型類風濕性關節炎
   M08432	Pauciarticular juvenile rheumatoid arthritis, left wrist
	 左側腕部少關節性幼年型類風濕性關節炎
   M08439	Pauciarticular juvenile rheumatoid arthritis, unspecified wrist
	 未特定側性腕部少關節性幼年型類風濕性關節炎
  M0844	Pauciarticular juvenile rheumatoid arthritis, hand
	手部少關節性幼年型關節炎
   M08441	Pauciarticular juvenile rheumatoid arthritis, right hand
	 右側手部少關節性幼年型類風濕性關節炎
   M08442	Pauciarticular juvenile rheumatoid arthritis, left hand
	 左側手部少關節性幼年型類風濕性關節炎
   M08449	Pauciarticular juvenile rheumatoid arthritis, unspecified hand
	 未特定側性手部少關節性幼年型類風濕性關節炎
  M0845	Pauciarticular juvenile rheumatoid arthritis, hip
	髖部少關節性幼年型關節炎
   M08451	Pauciarticular juvenile rheumatoid arthritis, right hip
	 右側髖部少關節性幼年型類風濕性關節炎
   M08452	Pauciarticular juvenile rheumatoid arthritis, left hip
	 左側髖部少關節性幼年型類風濕性關節炎
   M08459	Pauciarticular juvenile rheumatoid arthritis, unspecified hip
	 未特定側性髖部少關節性幼年型類風濕性關節炎
  M0846	Pauciarticular juvenile rheumatoid arthritis, knee
	膝部少關節性幼年型關節炎
   M08461	Pauciarticular juvenile rheumatoid arthritis, right knee
	 右側膝部少關節性幼年型類風濕性關節炎
   M08462	Pauciarticular juvenile rheumatoid arthritis, left knee
	 左側膝部少關節性幼年型類風濕性關節炎
   M08469	Pauciarticular juvenile rheumatoid arthritis, unspecified knee
	 未特定側性膝部少關節性幼年型類風濕性關節炎
  M0847	Pauciarticular juvenile rheumatoid arthritis, ankle and foot
	踝部及足部少關節性幼年型類風濕性關節炎
   M08471	Pauciarticular juvenile rheumatoid arthritis, right ankle and foot
	 右側踝部及足部少關節性幼年型類風濕性關節炎
   M08472	Pauciarticular juvenile rheumatoid arthritis, left ankle and foot
	 左側踝部及足部少關節性幼年型類風濕性關節炎
   M08479	Pauciarticular juvenile rheumatoid arthritis, unspecified ankle and foot
	 未特定側性髖部及足部側少關節性幼年型類風濕性關節炎
  M0848	Pauciarticular juvenile rheumatoid arthritis, vertebrae
	 脊椎少關節性幼年型類風濕性關節炎
 M088	Other juvenile arthritis
	其他幼年型關節炎
  M0880	Other juvenile arthritis, unspecified site
	未特定部位其他幼年型關節炎
  M0881	Other juvenile arthritis, shoulder
	肩部其他幼年型關節炎
   M08811	Other juvenile arthritis, right shoulder
	 右側肩部其他幼年型關節炎
   M08812	Other juvenile arthritis, left shoulder
	 左側肩部其他幼年型關節炎
   M08819	Other juvenile arthritis, unspecified shoulder
	 未特定側性肩部其他幼年型關節炎
  M0882	Other juvenile arthritis, elbow
	肘部其他幼年型關節炎
   M08821	Other juvenile arthritis, right elbow
	 右側肘部其他幼年型關節炎
   M08822	Other juvenile arthritis, left elbow
	 左側肘部其他幼年型關節炎
   M08829	Other juvenile arthritis, unspecified elbow
	 未特定側性肘部其他幼年型關節炎
  M0883	Other juvenile arthritis, wrist
	腕部其他幼年型關節炎
   M08831	Other juvenile arthritis, right wrist
	 右側腕部其他幼年型關節炎
   M08832	Other juvenile arthritis, left wrist
	 左側腕部其他幼年型關節炎
   M08839	Other juvenile arthritis, unspecified wrist
	 未特定側性腕部其他幼年型關節炎
  M0884	Other juvenile arthritis, hand
	手部其他幼年型關節炎
   M08841	Other juvenile arthritis, right hand
	 右側手部其他幼年型關節炎
   M08842	Other juvenile arthritis, left hand
	 左側手部其他幼年型關節炎
   M08849	Other juvenile arthritis, unspecified hand
	 未特定側性手部其他幼年型關節炎
  M0885	Other juvenile arthritis, hip
	髖部其他幼年型關節炎
   M08851	Other juvenile arthritis, right hip
	 右側髖部其他幼年型關節炎
   M08852	Other juvenile arthritis, left hip
	 左側髖部其他幼年型關節炎
   M08859	Other juvenile arthritis, unspecified hip
	 未特定側性髖部其他幼年型關節炎
  M0886	Other juvenile arthritis, knee
	膝部其他幼年型關節炎
   M08861	Other juvenile arthritis, right knee
	 右側膝部其他幼年型關節炎
   M08862	Other juvenile arthritis, left knee
	 左側膝部其他幼年型關節炎
   M08869	Other juvenile arthritis, unspecified knee
	 未特定側性膝部其他幼年型關節炎
  M0887	Other juvenile arthritis, ankle and foot
	踝部及足部其他幼年型關節炎
   M08871	Other juvenile arthritis, right ankle and foot
	 右側踝部及足部其他幼年型關節炎
   M08872	Other juvenile arthritis, left ankle and foot
	 左側踝部及足部其他幼年型關節炎
   M08879	Other juvenile arthritis, unspecified ankle and foot
	 未特定側性髖部及足部側其他幼年型關節炎
  M0888	Other juvenile arthritis, vertebrae
	 脊椎其他幼年型關節炎
  M0889	Other juvenile arthritis, multiple sites
	多部位其他幼年型關節炎
 M089	Juvenile arthritis, unspecified
	幼年型關節炎
  M0890	Juvenile arthritis, unspecified, unspecified site
	未特定部位幼年型關節炎
  M0891	Juvenile arthritis, unspecified, shoulder
	肩部幼年型關節炎
   M08911	Juvenile arthritis, unspecified, right shoulder
	 右側肩部幼年型關節炎
   M08912	Juvenile arthritis, unspecified, left shoulder
	 左側肩部幼年型關節炎
   M08919	Juvenile arthritis, unspecified, unspecified shoulder
	 未特定側性肩部幼年型關節炎
  M0892	Juvenile arthritis, unspecified, elbow
	肘部幼年型關節炎
   M08921	Juvenile arthritis, unspecified, right elbow
	 右側肘部幼年型關節炎
   M08922	Juvenile arthritis, unspecified, left elbow
	 左側肘部幼年型關節炎
   M08929	Juvenile arthritis, unspecified, unspecified elbow
	 未特定側性肘部幼年型關節炎
  M0893	Juvenile arthritis, unspecified, wrist
	腕部幼年型關節炎
   M08931	Juvenile arthritis, unspecified, right wrist
	 右側腕部幼年型關節炎
   M08932	Juvenile arthritis, unspecified, left wrist
	 左側腕部幼年型關節炎
   M08939	Juvenile arthritis, unspecified, unspecified wrist
	 未特定側性腕部幼年型關節炎
  M0894	Juvenile arthritis, unspecified, hand
	手部幼年型關節炎
   M08941	Juvenile arthritis, unspecified, right hand
	 右側手部幼年型關節炎
   M08942	Juvenile arthritis, unspecified, left hand
	 左側手部幼年型關節炎
   M08949	Juvenile arthritis, unspecified, unspecified hand
	 未特定側性手部幼年型關節炎
  M0895	Juvenile arthritis, unspecified, hip
	髖部幼年型關節炎
   M08951	Juvenile arthritis, unspecified, right hip
	 右側髖部幼年型關節炎
   M08952	Juvenile arthritis, unspecified, left hip
	 左側髖部幼年型關節炎
   M08959	Juvenile arthritis, unspecified, unspecified hip
	 未特定側性髖部幼年型關節炎
  M0896	Juvenile arthritis, unspecified, knee
	膝部幼年型關節炎
   M08961	Juvenile arthritis, unspecified, right knee
	 右側膝部幼年型關節炎
   M08962	Juvenile arthritis, unspecified, left knee
	 左側膝部幼年型關節炎
   M08969	Juvenile arthritis, unspecified, unspecified knee
	 未特定側性膝部幼年型關節炎
  M0897	Juvenile arthritis, unspecified, ankle and foot
	踝部及足部幼年型關節炎
   M08971	Juvenile arthritis, unspecified, right ankle and foot
	 右側踝部及足部幼年型關節炎
   M08972	Juvenile arthritis, unspecified, left ankle and foot
	 左側踝部及足部幼年型關節炎
   M08979	Juvenile arthritis, unspecified, unspecified ankle and foot
	 未特定側性踝部及足部側幼年型關節炎
  M0898	Juvenile arthritis, unspecified, vertebrae
	 脊椎幼年型關節炎
  M0899	Juvenile arthritis, unspecified, multiple sites
	 多部位幼年型關節炎
M10	Gout
	痛風
 M100	Idiopathic gout
	特發性痛風
  M1000	Idiopathic gout, unspecified site
	未特定部位特發性痛風
  M1001	Idiopathic gout, shoulder
	肩部特發性痛風
   M10011	Idiopathic gout, right shoulder
	右側肩部特發性痛風
   M10012	Idiopathic gout, left shoulder
	左側肩部特發性痛風
   M10019	Idiopathic gout, unspecified shoulder
	未特定側性肩部特發性痛風
  M1002	Idiopathic gout, elbow Hydroxyapatite deposition disease, elbow
	肘部特發性痛風
   M10021	Idiopathic gout, right elbow
	右側肘部特發性痛風
   M10022	Idiopathic gout, left elbow
	左側肘部特發性痛風
   M10029	Idiopathic gout, unspecified elbow
	未特定側性肘部特發性痛風
  M1003	Idiopathic gout, wrist
	腕部特發性痛風
   M10031	Idiopathic gout, right wrist
	右側腕部特發性痛風
   M10032	Idiopathic gout, left wrist
	左側腕部特發性痛風
   M10039	Idiopathic gout, unspecified wrist
	未特定側性腕部，特發性痛風
  M1004	Idiopathic gout, hand
	手部特發性痛風
   M10041	Idiopathic gout, right hand
	右側手部，特發性痛風
   M10042	Idiopathic gout, left hand
	左側手部，特發性痛風
   M10049	Idiopathic gout, unspecified hand
	未特定側性手部，特發性痛風
  M1005	Idiopathic gout, hip
	髖部特發性痛風
   M10051	Idiopathic gout, right hip
	右側髖部，特發性痛風
   M10052	Idiopathic gout, left hip
	左側髖部，特發性痛風
   M10059	Idiopathic gout, unspecified hip
	未特定側性髖部，特發性痛風
  M1006	Idiopathic gout, knee
	膝部特發性痛風
   M10061	Idiopathic gout, right knee
	右側膝部，特發性痛風
   M10062	Idiopathic gout, left knee
	左側膝部，特發性痛風
   M10069	Idiopathic gout, unspecified knee
	未特定側性膝部，特發性痛風
  M1007	Idiopathic gout, ankle and foot
	踝部及足部特發性痛風
   M10071	Idiopathic gout, right ankle and foot
	右側踝及足部，特發性痛風
   M10072	Idiopathic gout, left ankle and foot
	左側踝及足部，特發性痛風
   M10079	Idiopathic gout, unspecified ankle and foot
	未特定側性踝及足部，特發性痛風
  M1008	Idiopathic gout, vertebrae
	脊椎，特發性痛風
  M1009	Idiopathic gout, multiple sites
	多處部位，特發性痛風
 M101	Lead-induced gout
	鉛導致之痛風
  M1010	Lead-induced gout, unspecified site
	未特定部位，鉛導致之痛風
  M1011	Lead-induced gout, shoulder
	肩部鉛導致之痛風
   M10111	Lead-induced gout, right shoulder
	右側肩部，鉛導致之痛風
   M10112	Lead-induced gout, left shoulder
	左側肩部，鉛導致之痛風
   M10119	Lead-induced gout, unspecified shoulder
	未特定側性肩部，鉛導致之痛風
  M1012	Lead-induced gout, elbow
	肘部鉛導致之痛風
   M10121	Lead-induced gout, right elbow
	右側肘部，鉛導致之痛風
   M10122	Lead-induced gout, left elbow
	左側肘部，鉛導致之痛風
   M10129	Lead-induced gout, unspecified elbow
	未特定側性肘部，鉛導致之痛風
  M1013	Lead-induced gout, wrist
	腕部鉛導致之痛風
   M10131	Lead-induced gout, right wrist
	右側腕部，鉛導致之痛風
   M10132	Lead-induced gout, left wrist
	左側腕部，鉛導致之痛風
   M10139	Lead-induced gout, unspecified wrist
	未特定側性腕部，鉛導致之痛風
  M1014	Lead-induced gout, hand
	手部鉛導致之痛風
   M10141	Lead-induced gout, right hand
	右側手部，鉛導致之痛風
   M10142	Lead-induced gout, left hand
	左側手部，鉛導致之痛風
   M10149	Lead-induced gout, unspecified hand
	未特定側性手部，鉛導致之痛風
  M1015	Lead-induced gout, hip
	髖部鉛導致之痛風
   M10151	Lead-induced gout, right hip
	右側髖部，鉛導致之痛風
   M10152	Lead-induced gout, left hip
	左側髖部，鉛導致之痛風
   M10159	Lead-induced gout, unspecified hip
	未特定側性髖部，鉛導致之痛風
  M1016	Lead-induced gout, knee
	膝部鉛導致之痛風
   M10161	Lead-induced gout, right knee
	右側膝部，鉛導致之痛風
   M10162	Lead-induced gout, left knee
	左側膝部，鉛導致之痛風
   M10169	Lead-induced gout, unspecified knee
	未特定側性膝部，鉛導致之痛風
  M1017	Lead-induced gout, ankle and foot
	踝部及足部鉛導致之痛風
   M10171	Lead-induced gout, right ankle and foot
	右側踝及足部，鉛導致之痛風
   M10172	Lead-induced gout, left ankle and foot
	左側踝及足部，鉛導致之痛風
   M10179	Lead-induced gout, unspecified ankle and foot
	未特定側性側踝及足部，鉛導致之痛風
  M1018	Lead-induced gout, vertebrae
	脊椎，鉛導致之痛風
  M1019	Lead-induced gout, multiple sites
	多處部位，鉛導致之痛風
 M102	Drug-induced gout
	藥物導致之痛風
  M1020	Drug-induced gout, unspecified site
	未特定部位，藥物導致之痛風
  M1021	Drug-induced gout, shoulder
	肩部藥物導致之痛風
   M10211	Drug-induced gout, right shoulder
	右側肩部，藥物導致之痛風
   M10212	Drug-induced gout, left shoulder
	左側肩部，藥物導致之痛風
   M10219	Drug-induced gout, unspecified shoulder
	未特定側性肩部，藥物導致之痛風
  M1022	Drug-induced gout, elbow
	肘部藥物導致之痛風
   M10221	Drug-induced gout, right elbow
	右側肘部，藥物導致之痛風
   M10222	Drug-induced gout, left elbow
	左側肘部，藥物導致之痛風
   M10229	Drug-induced gout, unspecified elbow
	未特定側性肘部，藥物導致之痛風
  M1023	Drug-induced gout, wrist
	腕部藥物導致之痛風
   M10231	Drug-induced gout, right wrist
	右側腕部，藥物導致之痛風
   M10232	Drug-induced gout, left wrist
	左側腕部，藥物導致之痛風
   M10239	Drug-induced gout, unspecified wrist
	未特定側性腕部，藥物導致之痛風
  M1024	Drug-induced gout, hand
	手部藥物導致之痛風
   M10241	Drug-induced gout, right hand
	右側手部，藥物導致之痛風
   M10242	Drug-induced gout, left hand
	左側手部，藥物導致之痛風
   M10249	Drug-induced gout, unspecified hand
	未特定側性手部，藥物導致之痛風
  M1025	Drug-induced gout, hip
	髖部藥物導致之痛風
   M10251	Drug-induced gout, right hip
	右側髖部，藥物導致之痛風
   M10252	Drug-induced gout, left hip
	左側髖部，藥物導致之痛風
   M10259	Drug-induced gout, unspecified hip
	未特定側性髖部，藥物導致之痛風
  M1026	Drug-induced gout, knee
	膝部藥物導致之痛風
   M10261	Drug-induced gout, right knee
	右側膝部，藥物導致之痛風
   M10262	Drug-induced gout, left knee
	左側膝部，藥物導致之痛風
   M10269	Drug-induced gout, unspecified knee
	未特定側性膝部，藥物導致之痛風
  M1027	Drug-induced gout, ankle and foot
	踝部及足部藥物導致之痛風
   M10271	Drug-induced gout, right ankle and foot
	右側踝及足部，藥物導致之痛風
   M10272	Drug-induced gout, left ankle and foot
	左側踝及足部，藥物導致之痛風
   M10279	Drug-induced gout, unspecified ankle and foot
	未特定側性踝及足部，藥物導致之痛風
  M1028	Drug-induced gout, vertebrae
	脊椎，藥物導致之痛風
  M1029	Drug-induced gout, multiple sites
	多處部位，藥物導致之痛風
 M103	Gout due to renal impairment
	腎功能損傷所致的痛風
  M1030	Gout due to renal impairment, unspecified site
	未特定部位，腎功能損傷所致的痛風
  M1031	Gout due to renal impairment, shoulder
	肩部，腎功能損傷所致的痛風
   M10311	Gout due to renal impairment, right shoulder
	右側肩部，腎功能損傷所致的痛風
   M10312	Gout due to renal impairment, left shoulder
	左側肩部，腎功能損傷所致的痛風
   M10319	Gout due to renal impairment, unspecified shoulder
	未特定側性肩部，腎功能損傷所致的痛風
  M1032	Gout due to renal impairment, elbow
	肘部，腎功能損傷所致的痛風
   M10321	Gout due to renal impairment, right elbow
	右側肘部，腎功能損傷所致的痛風
   M10322	Gout due to renal impairment, left elbow
	左側肘部，腎功能損傷所致的痛風
   M10329	Gout due to renal impairment, unspecified elbow
	未特定側性肘部，腎功能損傷所致的痛風
  M1033	Gout due to renal impairment, wrist
	腕部，腎功能損傷所致的痛風
   M10331	Gout due to renal impairment, right wrist
	右側腕部，腎功能損傷所致的痛風
   M10332	Gout due to renal impairment, left wrist
	左側腕部，腎功能損傷所致的痛風
   M10339	Gout due to renal impairment, unspecified wrist
	未特定側性腕部，腎功能損傷所致的痛風
  M1034	Gout due to renal impairment, hand
	手部，腎功能損傷所致的痛風
   M10341	Gout due to renal impairment, right hand
	右側手部，腎功能損傷所致的痛風
   M10342	Gout due to renal impairment, left hand
	左側手部，腎功能損傷所致的痛風
   M10349	Gout due to renal impairment, unspecified hand
	未特定側性手部，腎功能損傷所致的痛風
  M1035	Gout due to renal impairment, hip
	髖部，腎功能損傷所致的痛風
   M10351	Gout due to renal impairment, right hip
	右側髖部，腎功能損傷所致的痛風
   M10352	Gout due to renal impairment, left hip
	左側髖部，腎功能損傷所致的痛風
   M10359	Gout due to renal impairment, unspecified hip
	未特定側性髖部，腎功能損傷所致的痛風
  M1036	Gout due to renal impairment, knee
	膝部，腎功能損傷所致的痛風
   M10361	Gout due to renal impairment, right knee
	右側膝部，腎功能損傷所致的痛風
   M10362	Gout due to renal impairment, left knee
	左側膝部，腎功能損傷所致的痛風
   M10369	Gout due to renal impairment, unspecified knee
	未特定側性膝部，腎功能損傷所致的痛風
  M1037	Gout due to renal impairment, ankle and foot
	踝部及足部，腎功能損傷所致的痛風
   M10371	Gout due to renal impairment, right ankle and foot
	右側踝及足部，腎功能損傷所致的痛風
   M10372	Gout due to renal impairment, left ankle and foot
	左側踝及足部，腎功能損傷所致的痛風
   M10379	Gout due to renal impairment, unspecified ankle and foot
	未特定側性踝及足部，腎功能損傷所致的痛風
  M1038	Gout due to renal impairment, vertebrae
	脊椎，腎功能損傷所致的痛風
  M1039	Gout due to renal impairment, multiple sites
	多處部位，腎功能損傷所致的痛風
 M104	Other secondary gout
	其他續發性痛風
  M1040	Other secondary gout, unspecified site
	未特定部位，其他續發性痛風
  M1041	Other secondary gout, shoulder
	肩部，其他續發性痛風
   M10411	Other secondary gout, right shoulder
	右側肩部，其他續發性痛風
   M10412	Other secondary gout, left shoulder
	左側肩部，其他續發性痛風
   M10419	Other secondary gout, unspecified shoulder
	未特定側性肩部，其他續發性痛風
  M1042	Other secondary gout, elbow
	肘部，其他續發性痛風
   M10421	Other secondary gout, right elbow
	右側肘部，其他續發性痛風
   M10422	Other secondary gout, left elbow
	左側肘部，其他續發性痛風
   M10429	Other secondary gout, unspecified elbow
	未特定側性肘部，其他續發性痛風
  M1043	Other secondary gout, wrist
	腕部，其他續發性痛風
   M10431	Other secondary gout, right wrist
	右側腕部，其他續發性痛風
   M10432	Other secondary gout, left wrist
	左側腕部，其他續發性痛風
   M10439	Other secondary gout, unspecified wrist
	未特定側性腕部，藥物引起之痛風
  M1044	Other secondary gout, hand
	手部，其他續發性痛風
   M10441	Other secondary gout, right hand
	右側手部，其他續發性痛風
   M10442	Other secondary gout, left hand
	左側手部，其他續發性痛風
   M10449	Other secondary gout, unspecified hand
	未特定側性手部，其他續發性痛風
  M1045	Other secondary gout, hip
	髖部，其他續發性痛風
   M10451	Other secondary gout, right hip
	右側髖部，其他續發性痛風
   M10452	Other secondary gout, left hip
	左側髖部，其他續發性痛風
   M10459	Other secondary gout, unspecified hip
	未特定側性髖部，其他續發性痛風
  M1046	Other secondary gout, knee
	膝部，其他續發性痛風
   M10461	Other secondary gout, right knee
	右側膝，其他續發性痛風
   M10462	Other secondary gout, left knee
	左側膝，其他續發性痛風
   M10469	Other secondary gout, unspecified knee
	未特定側性膝部，其他續發性痛風
  M1047	Other secondary gout, ankle and foot
	踝部及足部，其他續發性痛風
   M10471	Other secondary gout, right ankle and foot
	右側踝及足部，其他續發性痛風
   M10472	Other secondary gout, left ankle and foot
	左側踝及足部，其他續發性痛風
   M10479	Other secondary gout, unspecified ankle and foot
	未特定側性踝及足部，其他續發性痛風
  M1048	Other secondary gout, vertebrae
	脊椎，其他續發性痛風
  M1049	Other secondary gout, multiple sites
	多處部位，其他續發性痛風
 M109	Gout, unspecified
	痛風，未特定
M11	Other crystal arthropathies
	其他結晶性關節病變
 M110	Hydroxyapatite deposition disease
	氫氧磷灰石沈積疾病
  M1100	Hydroxyapatite deposition disease, unspecified site
	未特定部位，氫氧磷灰石沉積病
  M1101	Hydroxyapatite deposition disease, shoulder
	肩部氫氧磷灰石沈積疾病
