E00	Congential iodine-deficiency syndrome
   E10628	Type 1 diabetes mellitus with other skin complications
	第1型糖尿病，伴有其他皮膚併發症
  E1063	Type 1 diabetes mellitus with oral complications
	第1型糖尿病，伴有口腔併發症
   E10630	Type 1 diabetes mellitus with periodontal disease
	第1型糖尿病，伴有牙周疾病
   E10638	Type 1 diabetes mellitus with other oral complications
	第1型糖尿病，伴有其他口腔併發症
  E1064	Type 1 diabetes mellitus with hypoglycemia
	第1型糖尿病，伴有低血糖
   E10641	Type 1 diabetes mellitus with hypoglycemia with coma
	第1型糖尿病，伴有低血糖，伴有昏迷
   E10649	Type 1 diabetes mellitus with hypoglycemia without coma
	第1型糖尿病，伴有低血糖，未伴有昏迷
  E1065	Type 1 diabetes mellitus with hyperglycemia
	第1型糖尿病，伴有高血糖
  E1069	Type 1 diabetes mellitus with other specified complication
	第1型糖尿病，伴有其他特定的併發症
 E108	Type 1 diabetes mellitus with unspecified complications
	第1型糖尿病，伴有未特定之併發症
 E109	Type 1 diabetes mellitus without complications
	第1型糖尿病，未伴有併發症
E11	Type 2 diabetes mellitus
	第2型糖尿病
 E110	Type 2 diabetes mellitus with hyperosmolarity
	第2型糖尿病，伴有高滲透壓
  E1100	Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
	第2型糖尿病，伴有高滲透壓，未伴有非酮病之高血糖-高滲透壓的昏迷
  E1101	Type 2 diabetes mellitus with hyperosmolarity with coma
	第2型糖尿病，伴有高滲透壓，伴有昏迷
 E112	Type 2 diabetes mellitus with kidney complications
	第2型糖尿病，伴有腎臟併發症
  E1121	Type 2 diabetes mellitus with diabetic nephropathy
	第2型糖尿病，伴有糖尿病的腎臟病變
  E1122	Type 2 diabetes mellitus with diabetic chronic kidney disease
	第2型糖尿病，糖尿病的慢性腎臟疾病
  E1129	Type 2 diabetes mellitus with other diabetic kidney complication
	第2型糖尿病，伴有其他糖尿病的腎臟併發症
 E113	Type 2 diabetes mellitus with ophthalmic complications
	第2型糖尿病，伴有眼部併發症
  E1131	Type 2 diabetes mellitus with unspecified diabetic retinopathy
	第2型糖尿病，伴有未明示糖尿病的視網膜病變
   E11311	Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema
	第2型糖尿病，伴有糖尿病的視網膜病變，伴有黃斑部水腫
   E11319	Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema
	第2型糖尿病，伴有糖尿病的視網膜病變，未伴有黃斑部水腫
  E1132	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy
	第2型糖尿病，伴有輕度糖尿病的非增殖型視網膜病變
   E11321	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema
	第2型糖尿病，伴有輕度糖尿病的非增殖型視網膜病變，伴有黃斑部水腫
   E11329	Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
	第2型糖尿病，伴有輕度糖尿病的非增殖型視網膜病變，未伴有黃斑部水腫
  E1133	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy
	第2型糖尿病，伴有中度糖尿病的非增殖型視網膜病變
   E11331	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema
	第2型糖尿病，伴有中度糖尿病的非增殖型視網膜病變，伴有黃斑部水腫
   E11339	Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema
	第2型糖尿病，伴有中度糖尿病的非增殖型視網膜病變，未伴有黃斑部水腫
  E1134	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy
	第2型糖尿病，伴有重度糖尿病的非增殖型視網膜病變
   E11341	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
	第2型糖尿病，伴有重度糖尿病的非增殖型視網膜病變，伴有黃斑部水腫
   E11349	Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
	第2型糖尿病，伴有重度糖尿病的非增殖型視網膜病變，未伴有黃斑部水腫
  E1135	Type 2 diabetes mellitus with proliferative diabetic retinopathy
	第2型糖尿病，伴有糖尿病的增殖型視網膜病變
   E11351	Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema
	第2型糖尿病，伴有糖尿病的增殖型視網膜病變，伴有黃斑部水腫
   E11359	Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema
	第2型糖尿病，伴有糖尿病的增殖型視網膜病變，未伴有黃斑部水腫
  E1136	Type 2 diabetes mellitus with diabetic cataract
	第2型糖尿病，伴有糖尿病的白內障
  E1139	Type 2 diabetes mellitus with other diabetic ophthalmic complication
	第2型糖尿病，伴有其他糖尿病的眼睛併發症
 E114	Type 2 diabetes mellitus with neurological complications
	第2型糖尿病，伴有神經併發症
  E1140	Type 2 diabetes mellitus with diabetic neuropathy, unspecified
	第2型糖尿病，伴有糖尿病的神經病變，未特定
  E1141	Type 2 diabetes mellitus with diabetic mononeuropathy
	第2型糖尿病，伴有糖尿病的單一神經病變
  E1142	Type 2 diabetes mellitus with diabetic polyneuropathy
	第2型糖尿病，伴有糖尿病的多發神經病變
  E1143	Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy
	第2型糖尿病，伴有糖尿病的自主(多發)神經病變
  E1144	Type 2 diabetes mellitus with diabetic amyotrophy
	第2型糖尿病，糖尿病的肌肉萎縮
  E1149	Type 2 diabetes mellitus with other diabetic neurological complication
	第2型糖尿病，伴有其他糖尿病的神經併發症
 E115	Type 2 diabetes mellitus with circulatory complications
	第2型糖尿病，伴有循環併發症
  E1151	Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene
	第2型糖尿病，伴有糖尿病的周邊血管病變，未伴有壞疽
  E1152	Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene
	第2型糖尿病，伴有糖尿病的周邊血管病變，伴有壞疽
  E1159	Type 2 diabetes mellitus with other circulatory complications
	第2型糖尿病，伴有其他糖尿病的循環併發症
 E116	Type 2 diabetes mellitus with other specified complications
	第2型糖尿病，伴有其他特定併發症
  E1161	Type 2 diabetes mellitus with diabetic arthropathy
	第2型糖尿病，伴有其他糖尿病的關節病變
   E11610	Type 2 diabetes mellitus with diabetic neuropathic arthropathy
	第2型糖尿病，伴有糖尿病的神經病變引起之關節病變
   E11618	Type 2 diabetes mellitus with other diabetic arthropathy
	第2型糖尿病，伴有其他糖尿病的關節病變
  E1162	Type 2 diabetes mellitus with skin complications
	第2型糖尿病，伴有皮膚併發症
   E11620	Type 2 diabetes mellitus with diabetic dermatitis
	第2型糖尿病，伴有糖尿病性皮膚炎
   E11621	Type 2 diabetes mellitus with foot ulcer
	第2型糖尿病，伴有足部潰瘍
   E11622	Type 2 diabetes mellitus with other skin ulcer
	第2型糖尿病，伴有其他皮膚潰瘍
   E11628	Type 2 diabetes mellitus with other skin complications
	第2型糖尿病，伴有其他皮膚併發症
  E1163	Type 2 diabetes mellitus with oral complications
	第2型糖尿病，伴有口腔併發症
   E11630	Type 2 diabetes mellitus with periodontal disease
	第2型糖尿病，伴有牙周疾病
   E11638	Type 2 diabetes mellitus with other oral complications
	第2型糖尿病，伴有其他口腔併發症
  E1164	Type 2 diabetes mellitus with hypoglycemia
	第2型糖尿病，伴有低血糖
   E11641	Type 2 diabetes mellitus with hypoglycemia with coma
	第2型糖尿病，伴有低血糖，伴有昏迷
   E11649	Type 2 diabetes mellitus with hypoglycemia without coma
	第2型糖尿病，伴有低血糖，未伴有昏迷
  E1165	Type 2 diabetes mellitus with hyperglycemia
	第2型糖尿病，伴有高血糖
  E1169	Type 2 diabetes mellitus with other specified complication
	第2型糖尿病，伴有其他特定的併發症
 E118	Type 2 diabetes mellitus with unspecified complications
	第2型糖尿病，伴有未特定之併發症
 E119	Type 2 diabetes mellitus without complications
	第2型糖尿病，未伴有併發症
E13	Other specified diabetes mellitus
	其他特定的糖尿病
 E130	Other specified diabetes mellitus with hyperosmolarity
	其他特定的糖尿病，伴有高滲透壓
  E1300	Other specified diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
	其他特定的糖尿病，伴有高滲透壓，未伴有非酮病之高血糖-高滲透壓的昏迷
  E1301	Other specified diabetes mellitus with hyperosmolarity with coma
	其他特定的糖尿病，伴有高滲透壓，伴有昏迷
 E131	Other specified diabetes mellitus with ketoacidosis
	其他特定的糖尿病，伴有酮酸中毒
  E1310	Other specified diabetes mellitus with ketoacidosis without coma
	其他特定的糖尿病，伴有酮酸中毒，未伴有昏迷
  E1311	Other specified diabetes mellitus with ketoacidosis with coma
	其他特定的糖尿病，伴有酮酸中毒，伴有昏迷
 E132	Other specified diabetes mellitus with kidney complications
	其他特定的糖尿病，伴有腎臟併發症
  E1321	Other specified diabetes mellitus with diabetic nephropathy
	其他特定的糖尿病，伴有糖尿病的腎臟病變
  E1322	Other specified diabetes mellitus with diabetic chronic kidney disease
	其他特定的糖尿病，糖尿病的慢性腎臟疾病
  E1329	Other specified diabetes mellitus with other diabetic kidney complication
	其他特定的糖尿病，伴有其他特定糖尿病的腎臟併發症
 E133	Other specified diabetes mellitus with ophthalmic complications
	其他特定的糖尿病，伴有眼部併發症
  E1331	Other specified diabetes mellitus with unspecified diabetic retinopathy
	其他特定的糖尿病，伴有未明示糖尿病的視網膜病變
   E13311	Other specified diabetes mellitus with unspecified diabetic retinopathy with macular edema
	其他特定的糖尿病，伴有糖尿病的視網膜病變，伴有黃斑部水腫
   E13319	Other specified diabetes mellitus with unspecified diabetic retinopathy without macular edema
	其他特定的糖尿病，伴有糖尿病的視網膜病變，未伴有黃斑部水腫
  E1332	Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy
	其他特定的糖尿病，伴有輕度糖尿病的非增殖型視網膜病變
   E13321	Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema
	其他特定的糖尿病，伴有輕度糖尿病的非增殖型視網膜病變，伴有黃斑部水腫
   E13329	Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
	其他特定的糖尿病，伴有輕度糖尿病的非增殖型視網膜病變，未伴有黃斑部水腫
  E1333	Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy
	其他特定的糖尿病，伴有中度糖尿病的非增殖型視網膜病變
   E13331	Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema
	其他特定的糖尿病，伴有中度糖尿病的非增殖型視網膜病變，伴有黃斑部水腫
   E13339	Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema
	其他特定的糖尿病，伴有中度糖尿病的非增殖型視網膜病變，未伴有黃斑部水腫
  E1334	Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy
	其他特定的糖尿病，伴有重度糖尿病的非增殖型視網膜病變
   E13341	Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
	其他特定的糖尿病，伴有重度糖尿病的非增殖型視網膜病變，伴有黃斑部水腫
   E13349	Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
	其他特定的糖尿病，伴有重度糖尿病的非增殖型視網膜病變，未伴有黃斑部水腫
  E1335	Other specified diabetes mellitus with proliferative diabetic retinopathy
	其他特定的糖尿病，伴有糖尿病的增殖型視網膜病變
   E13351	Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema
	其他特定的糖尿病，伴有糖尿病的增殖型視網膜病變，伴有黃斑部水腫
   E13359	Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema
	其他特定的糖尿病，伴有糖尿病的增殖型視網膜病變，未伴有黃斑部水腫
  E1336	Other specified diabetes mellitus with diabetic cataract
	其他特定的糖尿病，伴有糖尿病的白內障
  E1339	Other specified diabetes mellitus with other diabetic ophthalmic complication
	其他特定的糖尿病，伴有其他特定糖尿病的眼睛併發症
 E134	Other specified diabetes mellitus with neurological complications
	其他特定的糖尿病，伴有神經併發症
  E1340	Other specified diabetes mellitus with diabetic neuropathy, unspecified
	其他特定的糖尿病，伴有糖尿病的神經病變，未特定
  E1341	Other specified diabetes mellitus with diabetic mononeuropathy
	其他特定的糖尿病，伴有糖尿病的單一神經病變
  E1342	Other specified diabetes mellitus with diabetic polyneuropathy
	其他特定的糖尿病，伴有糖尿病的多發神經病變
  E1343	Other specified diabetes mellitus with diabetic autonomic (poly)neuropathy
	其他特定的糖尿病，伴有糖尿病的自主(多發)神經病變
  E1344	Other specified diabetes mellitus with diabetic amyotrophy
	其他特定的糖尿病，糖尿病的肌肉萎縮
  E1349	Other specified diabetes mellitus with other diabetic neurological complication
	其他特定的糖尿病，伴有其他特定糖尿病的神經併發症
 E135	Other specified diabetes mellitus with circulatory complications
	其他特定的糖尿病，伴有循環併發症
  E1351	Other specified diabetes mellitus with diabetic peripheral angiopathy without gangrene
	其他特定的糖尿病，伴有糖尿病的周邊血管病變，未伴有壞疽
  E1352	Other specified diabetes mellitus with diabetic peripheral angiopathy with gangrene
	其他特定的糖尿病，伴有糖尿病的周邊血管病變，伴有壞疽
  E1359	Other specified diabetes mellitus with other circulatory complications
	其他特定的糖尿病，伴有其他特定糖尿病的循環併發症
 E136	Other specified diabetes mellitus with other specified complications
	其他特定的糖尿病，伴有其他特定併發症
  E1361	Other specified diabetes mellitus with diabetic arthropathy
	其他特定的糖尿病，伴有其他糖尿病的關節病變
   E13610	Other specified diabetes mellitus with diabetic neuropathic arthropathy
	其他特定的糖尿病，伴有糖尿病的神經病變引起之關節病變
   E13618	Other specified diabetes mellitus with other diabetic arthropathy
	其他特定的糖尿病，伴有其他特定糖尿病的關節病變
  E1362	Other specified diabetes mellitus with skin complications
	其他特定的糖尿病，伴有皮膚併發症
   E13620	Other specified diabetes mellitus with diabetic dermatitis
	其他特定的糖尿病，伴有糖尿病性皮膚炎
   E13621	Other specified diabetes mellitus with foot ulcer
	其他特定的糖尿病，伴有足部潰瘍
   E13622	Other specified diabetes mellitus with other skin ulcer
	其他特定的糖尿病，伴有其他特定皮膚潰瘍
   E13628	Other specified diabetes mellitus with other skin complications
	其他特定的糖尿病，伴有其他特定皮膚併發症
  E1363	Other specified diabetes mellitus with oral complications
	其他特定的糖尿病，伴有口腔併發症
   E13630	Other specified diabetes mellitus with periodontal disease
	其他特定的糖尿病，伴有牙周疾病
   E13638	Other specified diabetes mellitus with other oral complications
	其他特定的糖尿病，伴有其他特定口腔併發症
  E1364	Other specified diabetes mellitus with hypoglycemia
	其他特定的糖尿病，伴有低血糖
   E13641	Other specified diabetes mellitus with hypoglycemia with coma
	其他特定的糖尿病，伴有低血糖，伴有昏迷
   E13649	Other specified diabetes mellitus with hypoglycemia without coma
	其他特定的糖尿病，伴有低血糖，未伴有昏迷
  E1365	Other specified diabetes mellitus with hyperglycemia
	其他特定的糖尿病，伴有高血糖
  E1369	Other specified diabetes mellitus with other specified complication
	其他特定的糖尿病，伴有其他特定的併發症
 E138	Other specified diabetes mellitus with unspecified complications
	其他特定的糖尿病，伴有未特定之併發症
 E139	Other specified diabetes mellitus without complications
	其他特定的糖尿病，未伴有併發症
E15	Nondiabetic hypoglycemic coma
	非糖尿病的低血糖性昏迷
E16	Other disorders of pancreatic internal secretion
	其他胰臟內分泌疾患
 E160	Drug-induced hypoglycemia without coma
	藥物導致之低血糖，未伴有昏迷
 E161	Other hypoglycemia
	其他低血糖
 E162	Hypoglycemia, unspecified
	低血糖，未特定
 E163	Increased secretion of glucagon
	升糖激素分泌增加
 E164	Increased secretion of gastrin
	胃泌素分泌增加
 E168	Other specified disorders of pancreatic internal secretion
	其他特定的胰臟內分泌疾患
 E169	Disorder of pancreatic internal secretion, unspecified
	胰臟內分泌疾患，未特定
E20	Hypoparathyroidism
	副甲狀腺低下症
 E200	Idiopathic hypoparathyroidism
	自發性副甲狀腺低下
 E201	Pseudohypoparathyroidism
	假性副甲狀腺低下
 E208	Other hypoparathyroidism
	其他副甲狀腺低下
 E209	Hypoparathyroidism, unspecified
	副甲狀腺低下，未特定
E21	Hyperparathyroidism and other disorders of parathyroid gland
	副甲狀腺亢進及其他副甲狀腺疾患
 E210	Primary hyperparathyroidism
	原發性副甲狀腺亢進
 E211	Secondary hyperparathyroidism, not elsewhere classified
	繼發性副甲狀腺亢進，他處未歸類者
 E212	Other hyperparathyroidism
	其他副甲狀腺亢進
 E213	Hyperparathyroidism, unspecified
	副甲狀腺亢進，未特定
 E214	Other specified disorders of parathyroid gland
	其他特定的副甲狀腺疾患
 E215	Disorder of parathyroid gland, unspecified
	副甲狀腺疾患，未特定
E22	Hyperfunction of pituitary gland
	腦下腺功能亢進
 E220	Acromegaly and pituitary gigantism
	肢端肥大症及腦下腺的巨人症
 E221	Hyperprolactinemia
	高泌乳素血症
 E222	Syndrome of inappropriate secretion of antidiuretic hormone
	不適當的抗利尿激素分泌症候群
 E228	Other hyperfunction of pituitary gland
	其他腦下腺功能亢進
 E229	Hyperfunction of pituitary gland, unspecified
	腦下腺功能亢進，未特定
E23	Hypofunction and other disorders of the pituitary gland
	其他腦下腺疾患功能低下
 E230	Hypopituitarism
	腦下腺功能低下
 E231	Drug-induced hypopituitarism
	藥物導致之腦下腺功能低下
 E232	Diabetes insipidus
	尿崩症
 E233	Hypothalamic dysfunction, not elsewhere classified
	下視丘功能障礙，他處未歸類者
 E236	Other disorders of pituitary gland
	其他腦下腺疾患
 E237	Disorder of pituitary gland, unspecified
	腦下腺疾患，未特定
E24	Cushing's syndrome
	庫欣氏疾病
 E240	Pituitary-dependent Cushing's disease
	腦下垂體依賴型庫欣氏疾病
 E241	Nelson's syndrome
	尼爾森氏症候群
 E242	Drug-induced Cushing's syndrome
	藥物導致之庫欣氏症候群
 E243	Ectopic ACTH syndrome
	異位性腎上腺皮質促素症候群
 E244	Alcohol-induced pseudo-Cushing's syndrome
	酒精導致之假性庫欣氏症候群
 E248	Other Cushing's syndrome
	其他庫欣氏症候群
 E249	Cushing's syndrome, unspecified
	庫欣氏症候群，未特定
E25	Adrenogenital disorders
	腎上腺性生殖器疾患
 E250	Congenital adrenogenital disorders associated with enzyme deficiency
	先天性腎上腺性生殖器疾患，與缺乏酵素有關
 E258	Other adrenogenital disorders
	其他的腎上腺性生殖器疾患
 E259	Adrenogenital disorder, unspecified
	腎上腺性生殖器疾患，未特定
E26	Hyperaldosteronism
	高醛固酮症
 E260	Primary hyperaldosteronism
	原發性高醛固酮症
  E2601	Conn's syndrome
	康恩氏症候群
  E2602	Glucocorticoid-remediable aldosteronism
	可用糖皮質激素治療的醛固酮過多症
  E2609	Other primary hyperaldosteronism
	其他原發性高醛固酮症
 E261	Secondary hyperaldosteronism
	繼發性高醛固酮症
 E268	Other hyperaldosteronism
	其他高醛固酮症
  E2681	Bartter's syndrome
	巴特氏症候群
  E2689	Other hyperaldosteronism
	其他高醛固酮症
 E269	Hyperaldosteronism, unspecified
	其他高醛固酮症，未特定
E27	Other disorders of adrenal gland
	其他腎上腺疾患
 E270	Other adrenocortical overactivity
	其他腎上腺皮質功能過多
 E271	Primary adrenocortical insufficiency
	原發性腎上腺皮質功能不足
 E272	Addisonian crisis
	艾迪森氏危象
 E273	Drug-induced adrenocortical insufficiency
	藥物導致之腎上腺皮質功能不足
 E274	Other and unspecified adrenocortical insufficiency
	其他或未明示之腎上腺皮質功能不足
  E2740	Unspecified adrenocortical insufficiency
	未特定之腎上腺皮質功能不足
  E2749	Other adrenocortical insufficiency
	其他的腎上腺皮質功能不足
 E275	Adrenomedullary hyperfunction
	腎上腺髓質功能亢進
 E278	Other specified disorders of adrenal gland
	其他特定的腎上腺疾患
 E279	Disorder of adrenal gland, unspecified
	腎上腺疾患，未特定
E28	Ovarian dysfunction
	卵巢功能障礙
 E280	Estrogen excess
	動情激素過多
 E281	Androgen excess
	雄性激素過多
 E282	Polycystic ovarian syndrome
	多囊性卵巢症候群
 E283	Primary ovarian failure
	原發性卵巢衰竭
  E2831	Premature menopause
	早發性更年期
   E28310	Symptomatic premature menopause
	有症狀之早發性更年期
   E28319	Asymptomatic premature menopause
	無症狀之早發性更年期
  E2839	Other primary ovarian failure
	其他原發性卵巢衰竭
 E288	Other ovarian dysfunction
	其他卵巢功能障礙
 E289	Ovarian dysfunction, unspecified
	卵巢功能障礙，未特定
E29	Testicular dysfunction
	睪丸功能障礙
 E290	Testicular hyperfunction
	睪丸功能亢進
 E291	Testicular hypofunction
	睪丸功能低下
 E298	Other testicular dysfunction
	其他睪丸功能障礙
 E299	Testicular dysfunction, unspecified
	睪丸功能障礙，未特定
E30	Disorders of puberty, not elsewhere classified
	青春期疾患
 E300	Delayed puberty
	青春期遲延
 E301	Precocious puberty
	青春期過早
 E308	Other disorders of puberty
	其他青春期疾患
 E309	Disorder of puberty, unspecified
	青春期疾患，未特定
E31	Polyglandular dysfunction
	多腺體功能障礙
 E310	Autoimmune polyglandular failure
	自體免疫的多腺體衰竭
 E311	Polyglandular hyperfunction
	多腺體功能亢進
 E312	Multiple endocrine neoplasia [MEN] syndromes
	多發性內分泌腫瘤症候群
  E3120	Multiple endocrine neoplasia [MEN] syndrome, unspecified
	多發性內分泌腫瘤症候群，未特定
  E3121	Multiple endocrine neoplasia [MEN] type I
	多發性內分泌腫瘤，第I型
  E3122	Multiple endocrine neoplasia [MEN] type IIA
	多發性內分泌腫瘤，第IIA型
  E3123	Multiple endocrine neoplasia [MEN] type IIB
	多發性內分泌腫瘤，第IIB型
 E318	Other polyglandular dysfunction
	其他多腺體功能障礙
 E319	Polyglandular dysfunction, unspecified
	多腺體功能障礙，未特定
E32	Diseases of thymus
	胸腺疾病
 E320	Persistent hyperplasia of thymus
	持續的胸腺增生
 E321	Abscess of thymus
	胸腺膿瘍
 E328	Other diseases of thymus
	其他胸腺疾病
 E329	Disease of thymus, unspecified
	胸腺疾病，未特定
E34	Other endocrine disorders
	其他內分泌疾患
 E340	Carcinoid syndrome
	類癌症候群
 E341	Other hypersecretion of intestinal hormones
	其他腸激素分泌過多
 E342	Ectopic hormone secretion, not elsewhere classified
	異位性激素分泌，他處未歸類者
 E343	Short stature due to endocrine disorder
	起因於內分泌疾患的身材短小
 E344	Constitutional tall stature
	天生的身材高大
 E345	Androgen insensitivity syndrome
	對雄性激素不敏感症候群
  E3450	Androgen insensitivity syndrome, unspecified
	對雄性激素不敏感症候群，未特定
  E3451	Complete androgen insensitivity syndrome
	完全對雄性激素不敏感症候群
  E3452	Partial androgen insensitivity syndrome
	部分對雄性激素不敏感症候群
 E348	Other specified endocrine disorders
	其他特定的內分泌疾患
 E349	Endocrine disorder, unspecified
	內分泌疾患，未特定
E35	Disorders of endocrine glands in diseases classified elsewhere
	歸類於他處疾患所致之內分泌腺疾患
E36	Intraoperative complications of endocrine system
	手術中的內分泌系統併發症
 E360	Intraoperative hemorrhage and hematoma of an endocrine system organ or structure complicating a procedure
	手術中的內分泌器官或結構出血或血腫
  E3601	Intraoperative hemorrhage and hematoma of an endocrine system organ or structure complicating an endocrine system procedure
	手術中的內分泌器官或結構出血或血腫使內分泌系統處置複雜化
  E3602	Intraoperative hemorrhage and hematoma of an endocrine system organ or structure complicating other procedure
	手術中的內分泌器官或結構出血或血腫使其他處置複雜化
 E361	Accidental puncture and laceration of an endocrine system organ or structure during a procedure
	對於內分泌器官或結構的意外穿刺和撕裂傷，發生在處置過程中
  E3611	Accidental puncture and laceration of an endocrine system organ or structure during an endocrine system procedure
	對於內分泌器官或結構的意外穿刺和撕裂傷，發生在內分泌系統處置過程中
  E3612	Accidental puncture and laceration of an endocrine system organ or structure during other procedure
	對於內分泌器官或結構的意外穿刺和撕裂傷，發生在其他處置過程中
 E368	Other intraoperative complications of endocrine system
	其他手術中的內分泌系統併發症
E40	Kwashiorkor
	小兒惡性營養不良症
E41	Nutritional marasmus
	營養性消瘦症
E42	Marasmic kwashiorkor
	消瘦性小兒惡性營養不良症
E43	Unspecified severe protein-calorie malnutrition
	未特定之重度蛋白質-熱量營養不良症
E44	Protein-calorie malnutrition of moderate and mild degree
	輕度至中度蛋白質-熱量營養不良症
 E440	Moderate protein-calorie malnutrition
	中度蛋白質-熱量營養不良症
 E441	Mild protein-calorie malnutrition
	輕度蛋白質-熱量營養不良症
E45	Retarded development following protein-calorie malnutrition
	蛋白質-熱量營養不良之後的發育遲滯
E46	Unspecified protein-calorie malnutrition
	未特定之蛋白質-熱量營養不良症
E50	Vitamin A deficiency
	維生素A缺乏症
 E500	Vitamin A deficiency with conjunctival xerosis
	維生素A缺乏伴有結膜乾燥症
 E501	Vitamin A deficiency with Bitot's spot and conjunctival xerosis
	維生素A缺乏伴有Bitot氏斑點及結膜乾燥症
 E502	Vitamin A deficiency with corneal xerosis
	維生素A缺乏伴有角膜乾燥症
 E503	Vitamin A deficiency with corneal ulceration and xerosis
	維生素A缺乏伴有角膜潰瘍及乾燥症
 E504	Vitamin A deficiency with keratomalacia
	維生素A缺乏伴有角膜軟化症
 E505	Vitamin A deficiency with night blindness
	維生素A缺乏伴有夜盲症
 E506	Vitamin A deficiency with xerophthalmic scars of cornea
	維生素A缺乏伴有角膜眼乾燥症的疤痕
 E507	Other ocular manifestations of vitamin A deficiency
	其他維生素A缺乏的其他眼部表徵
 E508	Other manifestations of vitamin A deficiency
	維生素A缺乏的其他表徵
 E509	Vitamin A deficiency, unspecified
	維生素A缺乏，未特定
E51	Thiamine deficiency
	維生素B1 (硫胺素)缺乏症
 E511	Beriberi
	腳氣病
  E5111	Dry beriberi
	乾性腳氣病
  E5112	Wet beriberi
	濕性腳氣病
 E512	Wernicke's encephalopathy
	Wernicke氏腦病變
 E518	Other manifestations of thiamine deficiency
	硫胺素(維生素B1)缺乏的其他表徵
 E519	Thiamine deficiency, unspecified
	維生素B1 (硫胺素)缺乏，未特定
E52	Niacin deficiency [pellagra]
	菸鹼酸缺乏(糙皮病)
E53	Deficiency of other B group vitamins
	其他維生素B群缺乏症
 E530	Riboflavin deficiency
	核黃素(維生素B２)缺乏
 E531	Pyridoxine deficiency
	維生素B6缺乏
 E538	Deficiency of other specified B group vitamins
	其他特定的維生素B群缺乏症
 E539	Vitamin B deficiency, unspecified
	維生素B群缺乏症，未特定
E54	Ascorbic acid deficiency
	抗壞血酸(維生素C)缺乏
E55	Vitamin D deficiency
	維生素D缺乏症
 E550	Rickets, active
	活動性之佝僂症
 E559	Vitamin D deficiency, unspecified
	維生素D缺乏，未特定
E56	Other vitamin deficiencies
	其他維生素缺乏症
 E560	Deficiency of vitamin E
	維生素E缺乏
 E561	Deficiency of vitamin K
	維生素K缺乏
 E568	Deficiency of other vitamins
	其他維生素缺乏
 E569	Vitamin deficiency, unspecified
	維生素缺乏症，未特定
E58	Dietary calcium deficiency
	飲食缺鈣
E59	Dietary selenium deficiency
	飲食缺硒
E60	Dietary zinc deficiency
	飲食缺鋅
E61	Deficiency of other nutrient elements
	其他營養元素缺乏
 E610	Copper deficiency
	缺銅
 E611	Iron deficiency
	缺鐵
 E612	Magnesium deficiency
	缺鎂
 E613	Manganese deficiency
	缺錳
 E614	Chromium deficiency
	缺鉻
 E615	Molybdenum deficiency
	缺鉬
 E616	Vanadium deficiency
	缺釩
 E617	Deficiency of multiple nutrient elements
	多種營養元素缺乏
 E618	Deficiency of other specified nutrient elements
	其他特定營養元素缺乏
 E619	Deficiency of nutrient element, unspecified
	營養元素缺乏，未特定
E63	Other nutritional deficiencies
	其他營養缺乏
 E630	Essential fatty acid [EFA] deficiency
	必需脂肪酸缺乏
 E631	Imbalance of constituents of food intake
	食物攝取成分不均衡
 E638	Other specified nutritional deficiencies
	其他特定之營養缺乏
 E639	Nutritional deficiency, unspecified
	營養缺乏，未特定
E64	Sequelae of malnutrition and other nutritional deficiencies
	營養不良及其他營養缺乏的後遺症
 E640	Sequelae of protein-calorie malnutrition
	蛋白質-熱量營養不良的後遺症
 E641	Sequelae of vitamin A deficiency
	維生素A缺乏的後遺症
 E642	Sequelae of vitamin C deficiency
